feature,outcome,n,pearson,spearman
phase_variance_rad2,row_ls_SCNR_improvement_dB,35,-0.0020162275675202892,-0.08298082123158522
phase_variance_rad2,best_adaptive_SCNR_improvement_dB,35,-0.028878498370629876,-0.042008402520840295
phase_variance_rad2,current_failure,35,1.3356747317124645e-18,0.0
phase_variance_rad2,row_ls_failure,35,1.3356747317124645e-18,0.0
phase_variance_rad2,jdl_failure,35,nan,nan
phase_variance_rad2,adaptive_failure,35,nan,nan
distance_to_clutter_ridge_hz,current_SCNR_improvement_dB,35,-0.37932231512639536,-0.28014666543077643
distance_to_clutter_ridge_hz,row_ls_SCNR_improvement_dB,35,-0.25120266405605995,-0.15573150496126617
distance_to_clutter_ridge_hz,best_adaptive_SCNR_improvement_dB,35,0.843265332487718,0.8067226890756304
distance_to_clutter_ridge_hz,current_failure,35,-0.5765209126527194,-0.6063390625908324
distance_to_clutter_ridge_hz,row_ls_failure,35,-0.5765209126527194,-0.6063390625908324
distance_to_clutter_ridge_hz,jdl_failure,35,nan,nan
distance_to_clutter_ridge_hz,adaptive_failure,35,nan,nan
distance_to_support_edge_rows,current_SCNR_improvement_dB,35,0.37899325891793734,0.29347955558014244
distance_to_support_edge_rows,row_ls_SCNR_improvement_dB,35,0.24594935979636656,0.18167782012104058
distance_to_support_edge_rows,best_adaptive_SCNR_improvement_dB,35,-0.8331308837915774,-0.8658441332621519
distance_to_support_edge_rows,current_failure,35,0.577247656504342,0.6294651817966896
distance_to_support_edge_rows,row_ls_failure,35,0.577247656504342,0.6294651817966896
distance_to_support_edge_rows,jdl_failure,35,nan,nan
distance_to_support_edge_rows,adaptive_failure,35,nan,nan
dl_global_covariance_condition_number,current_SCNR_improvement_dB,35,-0.06153003987689816,-0.10322004592221576
dl_global_covariance_condition_number,row_ls_SCNR_improvement_dB,35,-0.06379784065279588,-0.04047844938126108
dl_global_covariance_condition_number,best_adaptive_SCNR_improvement_dB,35,0.01807653378337993,0.05601120336112039
dl_global_covariance_condition_number,current_failure,35,-2.3830379776192084e-17,0.0
dl_global_covariance_condition_number,row_ls_failure,35,-2.3830379776192084e-17,0.0
dl_global_covariance_condition_number,jdl_failure,35,nan,nan
