packet_index,beam_index,pulse_index,prt_counter,theta_cmd_deg,closure_phase_C12_C23_minus_C13_rad,C13_effective_sample_count,C13_cross_real,C13_cross_imag,C13_cross_magnitude,C13_coherence,C13_phase_rad,C13_right_minus_left_phase_rad,C24_effective_sample_count,C24_cross_real,C24_cross_imag,C24_cross_magnitude,C24_coherence,C24_phase_rad,C24_right_minus_left_phase_rad,C12_effective_sample_count,C12_cross_real,C12_cross_imag,C12_cross_magnitude,C12_coherence,C12_phase_rad,C12_right_minus_left_phase_rad,C14_effective_sample_count,C14_cross_real,C14_cross_imag,C14_cross_magnitude,C14_coherence,C14_phase_rad,C14_right_minus_left_phase_rad,C23_effective_sample_count,C23_cross_real,C23_cross_imag,C23_cross_magnitude,C23_coherence,C23_phase_rad,C23_right_minus_left_phase_rad,C34_effective_sample_count,C34_cross_real,C34_cross_imag,C34_cross_magnitude,C34_coherence,C34_phase_rad,C34_right_minus_left_phase_rad
0,0,0,0,-6.0,2.3638202739766148,4096,-0.07802494937734662,-0.08877369836711574,0.11818909529695686,0.02879040303297035,-2.291842007045978,,4096,0.011936256653738098,-0.04071565338547713,0.042429219336563594,0.010337129745041305,-1.285625254752216,,4096,-0.06697064772548254,-0.03273127611408706,0.0745412911937222,0.018218498555124054,-2.686993050081463,2.686993050081463,4096,-0.025820858895639516,-0.052449539660232775,0.05846084984567755,0.014268403718272638,-2.0282642236822257,2.0282642236822257,4096,-0.08153338024520138,0.03281355192376485,0.08788868689462942,0.02137115399442204,2.7589713170121,2.7589713170121,4096,-0.028695712085228586,-0.04217657901640362,0.05101281907134002,0.012387079227809721,-2.168226485278389,2.168226485278389
1,0,1,1,-6.0,3.1117841719373085,4096,-0.039721355058335475,-0.053331721476439824,0.06649856061082003,0.016265801193599518,-2.2109597806188077,,4096,-0.03709628502268778,0.04872484914018939,0.06123924629041987,0.014798686774632837,2.2215170276237273,,4096,0.08014594933286108,0.006098529747541098,0.08037764154008986,0.019706248764258145,0.07594644677879255,-0.07594644677879255,4096,0.06426126012996947,0.046270381920926,0.07918622226498723,0.01911672910616084,0.6240463643326248,-0.6240463643326247,4096,0.04295282732139725,0.04648567552518396,0.06329189050687661,0.01549675128239585,0.8248779445397083,0.8248779445397083,4096,-0.050267317337015574,-0.036197573544795705,0.06194406769652055,0.01493439297965795,-2.5175027187726498,2.5175027187726498
2,0,2,2,-6.0,-2.816298319860318,4096,0.00016141468237497805,0.015093714775644702,0.01509457784862503,0.003712030122340868,1.5601025690427246,,4096,-0.07591135246189853,-0.012658694907882113,0.07695957373430176,0.01858265007084151,-2.9763567840202914,,4096,-0.04731638577865338,0.02267350851133631,0.05246835571435408,0.012730869080092386,2.6947317312580683,-2.6947317312580683,4096,-0.005949881993651283,0.025075981765035654,0.025772193488695843,0.006237548687879626,1.8037623157227671,-1.8037623157227671,4096,-0.01209567931811858,0.012689056572693343,0.017530476743995688,0.004300972611909525,2.3322578251039245,2.3322578251039245,4096,0.010344251023539697,-0.007261562330358212,0.012638584442716655,0.003092953224286779,-0.6120603872676532,0.6120603872676532
3,0,3,3,-6.0,2.5702106789172117,4096,0.0632140063754183,-0.010678771594643179,0.06410964642549499,0.015474508048472226,-0.16735048174888706,,4096,0.013009141418358686,-0.08729519239991415,0.08825921128460691,0.021340385929171188,-1.4228603365407988,,4096,-0.023162186491606465,-0.032262415201066603,0.039715869846674266,0.009450087588800402,-2.193455392903853,2.193455392903853,4096,0.028143087256755947,-0.0032258800789640024,0.028327365966945035,0.006903677233730242,-0.11412615871874976,0.11412615871874976,4096,-0.00850922778531693,-0.07297950340735526,0.07347390608295293,0.017595213461214603,-1.686869717107408,-1.686869717107408,4096,-0.05420687095865903,0.009288377361546623,0.054996898213801146,0.013489695228419321,2.971890170873173,-2.971890170873173
4,0,4,4,-6.0,2.2103183084556983,4096,-0.03126915696817632,-0.03643697315574946,0.04801471847520567,0.011847722320269984,-2.2800150438320377,,4096,-0.0075151898796553054,0.022061989498068306,0.023306854346739927,0.005724448295104743,1.8991081512194408,,4096,-0.035798277952293546,0.01775211549948718,0.03995815697772858,0.009762919798294314,2.681236038032153,-2.681236038032153,4096,0.010245430221377154,0.04536933641313587,0.04651177836838111,0.011384821959724005,1.34869887727951,-1.34869887727951,4096,-0.09040122591680005,-0.03722962065897313,0.09776720463259324,0.024206965691909058,-2.7509327734084925,-2.7509327734084925,4096,0.0588181397802888,0.04060118806968791,0.07147048369700432,0.017728129008144817,0.6041749747157523,-0.6041749747157523
5,0,5,5,-6.0,0.5820140656391921,4096,0.01621141694679603,0.04757608469570759,0.05026225098815221,0.012440930267030926,1.242388211677189,,4096,-0.011318871835279607,-0.061834647582474714,0.06286207522244498,0.015095640509383591,-1.7518425871475325,,4096,-0.02640208634486181,-0.054342301722528887,0.060416520256167554,0.014649599655978411,-2.023058191060897,2.023058191060897,4096,-0.004726847026656239,0.015389170038611844,0.016098746450910934,0.0038992098378143273,1.8688035450333644,-1.8688035450333644,4096,-0.043520008979026796,-0.03709510884519735,0.05718424854600795,0.01403348786900321,-2.4357248388023085,-2.4357248388023085,4096,0.015225932699567124,0.03142556486872954,0.03491983897286005,0.00856004280111745,1.1196190767624528,-1.1196190767624528
6,0,6,6,-6.0,0.2770448372752885,4096,-0.018102638238180566,0.04205111206088606,0.04578210935223097,0.011429020564061976,1.977308952156233,,4096,-0.07026577963454939,0.0702860945779134,0.09938518440223594,0.024458780931999855,2.356049953213835,,4096,0.019509378336467483,-0.10541162078233948,0.10720179867444003,0.026718981485122473,-1.3877890842517655,1.3877890842517655,4096,-0.0016268436666983643,-0.02651634837669023,0.026566206946982085,0.006610615110806341,-1.6320719981723244,1.6320719981723244,4096,-0.03994602573533887,-0.02185116059369807,0.045531946931137685,0.011241655586320135,-2.6410424334962994,-2.6410424334962994,4096,0.0005209762468737812,-0.03830850455357613,0.03831204689625927,0.009443737437514069,-1.557197671901427,1.557197671901427
7,0,7,7,-6.0,1.277351176444997,4096,0.04314483788122951,0.0010758410358302252,0.04315824915044577,0.010529211455302528,0.024930401690566047,,4096,-0.015649661323726805,0.03120878088151868,0.03491274700819167,0.008588979801374906,2.0356037275976715,,4096,-0.027010864078738043,-0.007909363413108154,0.02814506720334267,0.006981387831133882,-2.85673452346542,2.85673452346542,4096,0.009667351832417456,0.05861953922824977,0.059411346313512026,0.014460127772858475,1.4073506208422601,-1.4073506208422601,4096,-0.015367578843081679,-0.02487647092567992,0.02924040501112339,0.007210580621504907,-2.124169205578603,-2.124169205578603,4096,0.09861252147824076,-0.051147111439420266,0.1110876068735526,0.02687916208194283,-0.47846984937553566,0.4784698493755356
8,1,0,8,-4.0,2.346144818328958,4096,-0.0074889424156697,0.032502404799943,0.03335401889254988,0.00808248298798953,1.7972559307175286,,4096,0.02543512430957342,-0.06308379820501445,0.06801846179247541,0.01655014723735701,-1.1875379644096844,,4096,0.013668114178497306,-0.04724753565392727,0.04918482459626716,0.011899833403096596,-1.2891963996177962,1.2891963996177962,4096,-0.06261614690423034,0.02853880359272512,0.06881311767124271,0.016643075522797784,2.7139475614586117,-2.7139475614586117,4096,0.008173742912271558,-0.009315483307442671,0.012393074777760062,0.0030212621161592092,-0.8505881585153036,-0.8505881585153036,4096,0.0413878694049635,-0.07214928492657205,0.0831773710169899,0.0202706240640256,-1.0499831219218998,1.0499831219218998
9,1,1,9,-4.0,-2.2855925139036755,4096,-0.006384713040298293,0.03429096717364096,0.0348802951580212,0.008468584550674492,1.7548806622326336,,4096,0.029782991391460147,0.06300626042504152,0.06969085613602363,0.017048017446298237,1.1292271369932312,,4096,0.0262277632225727,0.04248749111938421,0.0499307767341856,0.012223800601201816,1.017749257352179,-1.017749257352179,4096,-0.09637542904458889,-0.04971849118701395,0.10844423308522114,0.026606252109890382,-2.665319157428316,2.665319157428316,4096,0.0007724364682860536,-0.034578038393029906,0.03458666502002453,0.008372597342714306,-1.5484611090232208,-1.5484611090232208,4096,0.03123745985426464,-0.022238933878644937,0.038345131088647184,0.009302529372424411,-0.6186889252636798,0.6186889252636798
