feature,outcome,n,pearson,spearman
F1_F2_energy_ratio_dB,best_adaptive_SCNR_improvement_dB,90,-0.026680749593932566,0.15805986791231563
F1_F2_energy_ratio_dB,current_failure,90,0.4316143641729864,0.18116712414118097
F1_F2_energy_ratio_dB,row_ls_failure,90,-0.02725577136751506,-0.015943164410597732
F1_F2_energy_ratio_dB,jdl_failure,90,nan,nan
F1_F2_energy_ratio_dB,adaptive_failure,90,nan,nan
phase_variance_rad2,current_SCNR_improvement_dB,90,0.009315262197716338,-0.047709034207507446
phase_variance_rad2,row_ls_SCNR_improvement_dB,90,-0.011354467668377497,-0.056828783677875735
phase_variance_rad2,best_adaptive_SCNR_improvement_dB,90,-0.02397810892351088,0.0924229445951863
phase_variance_rad2,current_failure,90,-0.16309578637689667,-0.09813219224313971
phase_variance_rad2,row_ls_failure,90,-0.01609202763165635,-0.019694497213091314
phase_variance_rad2,jdl_failure,90,nan,nan
phase_variance_rad2,adaptive_failure,90,nan,nan
distance_to_clutter_ridge_hz,current_SCNR_improvement_dB,90,-0.581656779678193,-0.18419080214336397
distance_to_clutter_ridge_hz,row_ls_SCNR_improvement_dB,90,-0.5365553194955269,-0.1525613262125585
distance_to_clutter_ridge_hz,best_adaptive_SCNR_improvement_dB,90,0.9022160600895603,0.3663569725188184
distance_to_clutter_ridge_hz,current_failure,90,-0.21798538336613657,-0.36233424828236194
distance_to_clutter_ridge_hz,row_ls_failure,90,-0.21737565978666526,-0.39857911026494325
distance_to_clutter_ridge_hz,jdl_failure,90,nan,nan
distance_to_clutter_ridge_hz,adaptive_failure,90,nan,nan
distance_to_support_edge_rows,current_SCNR_improvement_dB,90,0.5853872729607021,0.31032891338505275
distance_to_support_edge_rows,row_ls_SCNR_improvement_dB,90,0.5394309272910716,0.2922608492547677
distance_to_support_edge_rows,best_adaptive_SCNR_improvement_dB,90,-0.9001218586870889,-0.38115375372071214
distance_to_support_edge_rows,current_failure,90,0.21312499248476185,0.4701421270489165
distance_to_support_edge_rows,row_ls_failure,90,0.21155427408838462,0.5455871787806285
distance_to_support_edge_rows,jdl_failure,90,nan,nan
distance_to_support_edge_rows,adaptive_failure,90,nan,nan
dl_global_covariance_condition_number,current_SCNR_improvement_dB,90,0.04016726660080408,0.30039726499537084
dl_global_covariance_condition_number,row_ls_SCNR_improvement_dB,90,0.046836396767853075,0.3233704270005817
dl_global_covariance_condition_number,best_adaptive_SCNR_improvement_dB,90,0.09158799357746376,-0.2624235689808526
dl_global_covariance_condition_number,current_failure,90,-0.3093859499999679,-0.18871575431373022
