case_id,factor,factor_level,seed,scenario_label,method,comparison_protocol,method_family,target_id,target_snr_config_dB,target_fd_truth_hz,fa_ctr_hz,target_clutter_center_offset_hz,target_motion_ve_mps,target_motion_vn_mps,target_velocity_mode,target_radial_speed_config_mps,target_azimuth_offset_deg,channel_valid_fraction,target_row_truth,target_range_bin_truth,runtime_ms,status,training_source,steering_source,p38_fit_source,p38_rmse_rad,p38_inlier_ratio,p38_sample_count,p38_k_rad_per_hz,p38_b_rad,covariance_condition_number,estimated_clutter_rank,loading_coefficient,shrinkage_coefficient,steering_projection_error_mean,steering_projection_error_p95,robust_lsq_condition_number,robust_lsq_confidence,robust_lsq_iterations,residual_suppression_dB,input_SCNR_dB,output_SCNR_dB,SCNR_improvement_dB,target_loss_dB,background_residual_p95_dB_over_input_median,background_residual_p99_dB_over_input_median,background_residual_cvar95_dB_over_input_median,high_tail_fraction_15dB,target_signal_power_before,target_signal_power_after,background_power_before_roi,background_power_after_roi,target_detected,detection_threshold_scale,target_cfar_candidate_cells,target_peak_power,false_alarm_count,background_Pfa,cfar_test_cells,cfar_alpha,academic_reference_status,training_mode,training_sample_count,training_valid_fraction,training_channel_valid_fraction,covariance_condition_number_p95,weight_build_runtime_ms,cut_guard_bins,range_block_size
baseline_v2_targetradialspeedmps4p0_s20260981,target_radial_speed_mps,4.0,20260981,Baseline V2 controlled single-target case,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_target_radial_speed_mps_4.0_20260981,10.0,-425.975186156,-0.909364336483343,-425.06582181951666,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,368.24696800067613,ok,paired C+N background,not applicable to two-channel CSI,observed,0.004053316743882672,1.0,34.0,0.0008660372687760726,-0.006703163609681044,nan,nan,nan,nan,nan,nan,75572.61479056418,0.9175517885970342,5.0,18.94424942851335,36.17915966170465,36.17915966170465,0.0,0.0,8.409139733723826,12.345595244133872,11.362807868107552,0.00210387902695595,20823490.931364875,20823490.931364875,5019.235487202768,5019.235487202768,1.0,1.0,216.0,295238940.74339813,187.0,0.0003546502806857836,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmps4p0_s20260981,target_radial_speed_mps,4.0,20260981,Baseline V2 controlled single-target case,DL-SMI/MVDR global,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_4.0_20260981,10.0,-425.975186156,-0.909364336483343,-425.06582181951666,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,2138.6246940001,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,16804.766238819397,1.0,7352.74937969336,0.0,7.712863493119589e-17,2.2591401799415137e-16,,,,-0.8027730451148217,41.73688620173525,42.251374315851045,0.5144881141157924,-0.011799074965449937,24.955764580582326,36.287950390255375,35.21751628836926,0.15222879684418145,21072606.489068147,21015433.343613967,1412.6339419611872,1251.4137373271687,1.0,1.0,2335.0,294330215.84615904,2306.0,0.00437338795326961,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,84543.18339058201,1893.5507030000736,4,256
baseline_v2_targetradialspeedmps4p0_s20260981,target_radial_speed_mps,4.0,20260981,Baseline V2 controlled single-target case,DL-SMI/MVDR local,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_4.0_20260981,10.0,-425.975186156,-0.909364336483343,-425.06582181951666,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,1607.3449710002023,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,772102.1705474459,1.0,7365.621406677926,0.0,7.134318685184237e-17,2.244791046816224e-16,,,,0.11671198078855438,41.73688620173525,42.43610630544677,0.699220103711518,-0.012033676769123319,23.719390281069863,35.20508678555085,34.317238622405824,0.13574528036066497,21072606.489068147,21014298.140287366,1412.6339419611872,1199.234900437701,1.0,1.0,2453.0,294318943.7467459,2423.0,0.00459528144439387,527280.0,13.44971616743564,corrected research baseline,local,487.875,1.0,1.0,4355840.544702246,1374.4647610001266,4,256
baseline_v2_targetradialspeedmps4p0_s20260981,target_radial_speed_mps,4.0,20260981,Baseline V2 controlled single-target case,Shrinkage-SMI/MVDR global,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_4.0_20260981,10.0,-425.975186156,-0.909364336483343,-425.06582181951666,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,4565.800087000753,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,1225.8828437852987,1.0,7352.74937969336,0.0023941608903096327,7.657403163467877e-17,2.2591401799415137e-16,,,,-0.6140244281892294,41.73688620173525,42.27553219900337,0.5386459972681195,-0.011785680827166089,24.732854899669682,36.07549362778141,35.029681575394505,0.14946369869446793,21072606.489068147,21015498.157712717,1412.6339419611872,1244.4758385346802,1.0,1.0,2357.0,294330517.4129468,2327.0,0.004413214990138067,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,1488.2891401094673,4348.783764000473,4,256
baseline_v2_targetradialspeedmps4p0_s20260981,target_radial_speed_mps,4.0,20260981,Baseline V2 controlled single-target case,Shrinkage-SMI/MVDR local,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_4.0_20260981,10.0,-425.975186156,-0.909364336483343,-425.06582181951666,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,1696.4204020005127,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,263.59700452303326,1.0,7365.621406677926,0.018565276494849816,7.440750770978396e-17,2.2530044628618934e-16,,,,-0.08041174242335805,41.73688620173525,42.42470870259715,0.6878225008618983,-0.01192438267335624,24.019912123662653,35.45625727871534,34.50889732025156,0.1395115995115995,21072606.489068147,21014826.990574237,1412.6339419611872,1202.4165595230547,1.0,1.0,2412.0,294325884.9638671,2382.0,0.004517523896222121,527280.0,13.44971616743564,corrected research baseline,local,487.875,1.0,1.0,395.2316540856518,1472.0323370002006,4,256
baseline_v2_targetradialspeedmps4p0_s20260981,target_radial_speed_mps,4.0,20260981,Baseline V2 controlled single-target case,Corrected JDL physical,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_4.0_20260981,10.0,-425.975186156,-0.909364336483343,-425.06582181951666,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,3181.4698110010795,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,2990672.3418755713,4.091826923076923,7352.749379693364,0.0,8.02873027568697e-17,2.2887833992611187e-16,,,,-2.3396305095689476,41.73688620173525,62.65354450219502,20.916658300459765,3.0788681404505382,26.183564716322593,38.0365469387638,36.83000341033552,0.15587489433643278,21072606.489068147,42815899.39031379,1412.6339419611872,23.24077579364158,1.0,1.0,2438.0,541218072.2817775,2263.0,0.004291837353967531,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,15524774.9318348,2819.03302200044,4,256
baseline_v2_targetradialspeedmps4p0_s20260981,target_radial_speed_mps,4.0,20260981,Baseline V2 controlled single-target case,MNEC physical,scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_4.0_20260981,10.0,-425.975186156,-0.909364336483343,-425.06582181951666,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,1960.3702749991498,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,16804.766238819397,1.0,7352.74937969336,0.0,6.994427360473471e-17,2.237726045655905e-16,,,,-0.22412933544747282,41.73688620173525,42.25038017546513,0.5134939737298794,-0.011883850073247985,24.300367310530273,35.64113232493048,34.639146954921884,0.14460599229829998,21072606.489068147,21015023.122367088,1412.6339419611872,1251.6757971503089,1.0,1.0,2377.0,294325925.19806814,2347.0,0.004451145501441359,527280.0,13.44971616743564,corrected research baseline,global,4086.0,1.0,1.0,84543.18339058201,1738.239493999572,4,256
baseline_v2_targetradialspeedmps4p0_s20260981,target_radial_speed_mps,4.0,20260981,Baseline V2 controlled single-target case,SA-MNEC physical [approximate academic reference],scientific_controlled,4-channel physical academic reference,B2_TARGET_target_radial_speed_mps_4.0_20260981,10.0,-425.975186156,-0.909364336483343,-425.06582181951666,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,5915.205117000369,ok,paired C+N background only,configured beam-center spatial hypothesis; Doppler row used only for temporal/JDL frequency,,,,,,,6463.674784072479,1.0,2.3705602876357336e-06,0.0,7.395420491993064e-17,2.2435808018097274e-16,,,,-0.22079783131850964,41.73688620173525,42.17390938728996,0.43702318555470754,0.006009242806551813,24.293466377501325,35.63465147805366,34.63523418790014,0.14476378322532168,28.572839025691838,28.612402036273934,0.0019154233363027318,0.0017344563712358816,1.0,1.0,2385.0,400.7706811397567,2356.0,0.004468214231527841,527280.0,13.44971616743564,approximate academic reference,global,16344.0,1.0,1.0,26565.08110014809,5702.477832999648,4,256
baseline_v2_targetradialspeedmps4p0_s20260982,target_radial_speed_mps,4.0,20260982,Baseline V2 controlled single-target case,Current legacy CSI [production replay],production_replay,F1/F2 strict,B2_TARGET_target_radial_speed_mps_4.0_20260982,10.0,-425.975186156,-0.2938081779490834,-425.68137797805093,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,220.08485100013786,ok,target-observation P38,not applicable to two-channel CSI,observed,0.004145538257891134,1.0,34.0,0.0008774389227164761,-0.007704202106399662,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.26284547395526,31.90500647986182,31.90500647986182,0.0,0.0,7.15762622985967,11.046977224572059,10.052837603832561,0.0008096177326946558,19472068.351596843,19472068.351596843,12557.738564486333,12557.738564486333,1.0,1.0,1189.0,273051693.98910356,1167.0,0.0022132453345471096,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmps4p0_s20260982,target_radial_speed_mps,4.0,20260982,Baseline V2 controlled single-target case,Phase-only CSI [production replay],production_replay,F1/F2 strict,B2_TARGET_target_radial_speed_mps_4.0_20260982,10.0,-425.975186156,-0.2938081779490834,-425.68137797805093,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,216.31667899964668,ok,target-observation P38,not applicable to two-channel CSI,observed,0.004145538257891134,1.0,34.0,0.0008774389227164761,-0.007704202106399662,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.52769132668505,31.90500647986182,31.90500647986182,0.0,0.0,8.766495181084492,12.966017272466761,11.780766066691289,0.002905982905982906,19472068.351596843,19472068.351596843,12557.738564486333,12557.738564486333,1.0,1.0,129.0,273051693.98910356,99.0,0.0001877560309512972,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmps4p0_s20260982,target_radial_speed_mps,4.0,20260982,Baseline V2 controlled single-target case,Current legacy CSI [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_target_radial_speed_mps_4.0_20260982,10.0,-425.975186156,-0.2938081779490834,-425.68137797805093,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,216.4515439999377,ok,paired C+N background,not applicable to two-channel CSI,observed,0.00412725651449224,1.0,34.0,0.0008771508748916763,-0.007431996843085408,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.262797529120398,31.90500647986182,31.90500647986182,0.0,0.0,7.158244716912688,11.047438274235024,10.052956627981759,0.000800225415610031,19472068.351596843,19472068.351596843,12557.738564486333,12557.738564486333,1.0,1.0,1186.0,273051693.9891037,1162.0,0.0022037627067212867,527280.0,13.44971616743564,,,,,,,,,
baseline_v2_targetradialspeedmps4p0_s20260982,target_radial_speed_mps,4.0,20260982,Baseline V2 controlled single-target case,Phase-only CSI [scientific controlled],scientific_controlled,F1/F2 strict,B2_TARGET_target_radial_speed_mps_4.0_20260982,10.0,-425.975186156,-0.2938081779490834,-425.68137797805093,-0.5,0.5,radial,4.0,0.0,1.0,22,2200,219.09472799961804,ok,paired C+N background,not applicable to two-channel CSI,observed,0.00412725651449224,1.0,34.0,0.0008771508748916763,-0.007431996843085408,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.52763822020603,31.90500647986182,31.90500647986182,0.0,0.0,8.76687423181419,12.966497366067886,11.780924866540412,0.002909739832816756,19472068.351596843,19472068.351596843,12557.738564486333,12557.738564486333,1.0,1.0,127.0,273051693.9891037,97.0,0.00018396297982096798,527280.0,13.44971616743564,,,,,,,,,
