split,scene_id,family,snr_db,method,target_id,target_row,target_col,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,on_roi_cells,off_roi_cells,target_only_roi_cells,L_causal_dB,L_target_only_dB,peak_transfer_dB,integrated_roi_energy_candidate,integrated_roi_energy_current,range_centroid_shift_cells,doppler_centroid_shift_cells,peak_bin_shift_cells,roi_spreading_delta_cells,delta_definition,target_only_definition,delta_cell_count,delta_sum_real,delta_sum_imag,delta_energy,delta_peak_abs,delta_peak_real,delta_peak_imag,delta_peak_row,delta_peak_col,delta_centroid_row,delta_centroid_col,delta_spread_rms_cells,target_only_cell_count,target_only_sum_real,target_only_sum_imag,target_only_energy,target_only_peak_abs,target_only_peak_real,target_only_peak_imag,target_only_peak_row,target_only_peak_col,target_only_centroid_row,target_only_centroid_col,target_only_spread_rms_cells,lambda
target_safe_oracle,target_safe_oracle_000,M1,14.0,J0_Current,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,2602985.0796259674,2602985.0796259674,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,370.9997955560684,1254.952158510685,2602985.0796259674,1528.650354688038,120.6936388015747,1523.8782603740692,67,350,66.96481923931611,350.03168301952314,0.553139167934513,25,-65.46192836761475,-151.81686687469482,248877.80359261055,317.7004935541573,-85.4697265625,-305.98779296875,64,350,64.99416867596612,349.83651342130304,1.6205239806824714,0.0
target_safe_oracle,target_safe_oracle_000,M1,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,0.3443461208645327,-4.930096661577913,0.31156078631850204,2817774.86488723,2602985.0796259674,-0.02561066003124779,0.006761352076992466,"(0, 0)",-0.003358367536160478,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,392.5263534486294,1411.694992363453,2817774.86488723,1584.4779533343587,123.80674362182617,1579.6335887908936,67,350,66.9715805913931,350.0060723594919,0.5497808003983525,25,105.78240633010864,-122.44824767112732,79979.09750825756,158.47361019587134,-40.8173828125,-153.1268310546875,64,350,65.49583720169815,349.8322639435316,1.5450859459589097,0.25
target_safe_oracle,target_safe_oracle_000,M1,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-10.898533649649462,24.494614398416005,-11.396949543449672,211650.0199590107,2602985.0796259674,0.019967072610768355,-0.2716810824448572,"(0, 0)",0.41899985681195995,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,136.4411445260048,-640.6015863716602,211650.0199590107,411.5860856000847,-81.13203620910645,-403.51046895980835,67,350,66.69313815687126,350.0516500921339,0.972139024746473,25,-2198.799141407013,8174.279579639435,70056365.93322287,7957.964523833345,-2420.31396484375,7580.9814453125,64,350,64.00261231667035,350.02126162961997,0.43925696748436477,0.5
target_safe_oracle,target_safe_oracle_000,M1,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-8.732124410758216,24.68346263418529,-9.101070800528365,348545.3054869658,2602985.0796259674,-0.056310111805657925,-0.1624002937039961,"(0, 0)",0.3039658793844072,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,130.37782150506973,-741.9903376102448,348545.3054869658,536.1108804514434,-111.34733867645264,-524.4202954769135,67,350,66.80241894561212,349.9753729077175,0.8571050473189202,25,-2335.9441990852356,8635.257504463196,73169894.48901805,8031.141682364593,-2429.06591796875,7654.990234375,64,350,64.00291236948716,349.9798328423655,0.4746380475652049,0.75
target_safe_oracle,target_safe_oracle_000,M1,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,1.8999635364325478,-3.2511687564738057,1.6963225785277602,4031512.701194977,2602985.0796259674,-0.06620066843385075,0.022806362863803997,"(0, 0)",-0.0008826013950751221,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,474.8408329486847,2030.885648727417,4031512.701194977,1858.3362145344329,114.29043579101562,1854.8183691501617,67,350,66.98762560217992,349.9654823510893,0.5522565665394379,25,150.38996934890747,-190.08657026290894,117725.16009528535,144.71058725883105,107.49336242675781,-96.8830795288086,67,349,66.11722288628039,349.7740776558161,1.598716105222463,1.0
target_safe_oracle,target_safe_oracle_000,M1,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-0.009090599326270377,-3.581495157011423,-0.03697314541810004,2597542.241313649,2602985.0796259674,-0.0205298162688905,0.0037405481398877782,"(0, 0)",0.002125441713324183,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,387.63416293263435,1323.188462227583,2597542.241313649,1522.157192475242,124.7823133468628,1517.03391289711,67,350,66.968559787456,350.01115320325425,0.5552646096478372,25,80.9559154510498,-170.33462595939636,109102.98923133317,219.61677821724655,-57.478515625,-211.961669921875,64,350,65.15007320383714,349.8918669630488,1.4965084602786292,0.25
target_safe_oracle,target_safe_oracle_000,M1,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,0.9151606112237743,24.372022573030428,0.8478395170125119,3213569.8181757843,2602985.0796259674,-0.04086455230475394,0.011772857518351998,"(0, 0)",-0.006617265393880523,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,405.6705902814865,1591.5653312206268,3213569.8181757843,1685.3889308140785,122.05038166046143,1680.9638760089874,67,350,66.97659209683447,349.9908184672184,0.5465219025406325,25,-2117.552469730377,7939.469239234924,68106478.08387926,7878.590401991676,-2394.40380859375,7505.93212890625,64,350,64.00253646751405,350.0367927417902,0.42397163190129317,0.5
target_safe_oracle,target_safe_oracle_000,M1,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,1.5272772523522926,24.58216978476873,1.3825074785838443,3699980.233793622,2602985.0796259674,-0.06326811124785081,0.016471389331826458,"(0, 0)",-0.002148782095246493,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,426.0826140642166,1826.3226423859596,3699980.233793622,1792.394222413628,118.68414211273193,1788.460545539856,67,350,66.98129062864794,349.9684149082753,0.5509903858392665,25,-2262.5448064804077,8378.214482307434,71483061.41789363,8001.4015914707215,-2429.61669921875,7623.607421875,64,350,64.0027024527939,350.00564477395295,0.45341868705505894,0.75
target_safe_oracle,target_safe_oracle_000,M1,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-7.448953898856225,24.685606969882027,-7.741552065852567,468356.2163294146,2602985.0796259674,-0.06959781081081928,-0.11337840414630307,"(0, 0)",0.2300193352657557,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,107.76315569877625,-831.5451297163963,468356.2163294146,626.9466095637205,-134.68684482574463,-612.3083415031433,67,350,66.85144083516981,349.9620852087123,0.7831585032002687,25,-2326.817307472229,8615.916894435883,73206031.15770821,8030.845256594614,-2426.45947265625,7655.505859375,64,350,64.00298919096561,349.97681949444325,0.4769110911736527,1.0
target_safe_oracle,target_safe_oracle_001,M2,14.0,J0_Current,MISMATCH_B01_S000_R00,105,487,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,88075241.89562154,88075241.89562154,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-1563.2719195447862,9177.698448691517,88075241.89562154,8820.670300535325,-1551.923487663269,8683.073075771332,105,487,104.99934550908357,486.96951133730175,0.5149903942995383,25,-5906.329761534929,7230.872857570648,88607503.42046271,8857.115373510107,-5769.0224609375,6720.63037109375,105,487,104.99958630349525,486.99807806986513,0.5131810774753783,0.0
