split,scene_id,family,snr_db,method,lambda,cancellation_db,scnr_gain_db_vs_current,residual_p95_rad,coherence,phase_rmse_rad,L_causal_min_dB,L_causal_mean_dB,paired_hit_count,on_hit_count,off_hit_count,target_count,current_detected_targets_lost,target_preservation_ok,off_pfa,off_pfa_delta_vs_current,off_false_clusters,off_false_clusters_delta_vs_current,causal_transfer_floor_db,causal_transfer_ok,pfa_acceptable,false_clusters_acceptable,safe
target_safe_oracle,target_safe_oracle_000,M1,14.0,J0_Current,0.0,4.95836674106192,0.0,2.34870937819025,0.840406069245212,0.595175525895742,0.0,0.0,0,0,0,1,0,True,0.007379114275147929,0.0,50.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_000,M1,14.0,J5_Selective_Physics_Calibration,0.25,4.82960359313982,-0.12876314792210053,2.21479909511886,0.835615394849666,0.603232554238875,0.3443461208645327,0.3443461208645327,0,0,0,1,0,True,0.007531280818540434,0.00015216654339250506,56.0,6.0,-0.25,True,False,False,False
target_safe_oracle,target_safe_oracle_000,M1,14.0,J5_Selective_Physics_Calibration,0.5,4.93316061756662,-0.025206123495300048,2.11447780676027,0.839493796652356,0.59477031208891,-10.898533649649462,-10.898533649649462,0,0,0,1,0,True,0.007533206977317554,0.00015409270216962517,53.0,3.0,-0.25,False,False,False,False
target_safe_oracle,target_safe_oracle_000,M1,14.0,J5_Selective_Physics_Calibration,0.75,4.96396843671173,0.005601695649810168,2.07762678209571,0.840625733003301,0.592089808879504,-8.732124410758216,-8.732124410758216,0,0,0,1,0,True,0.007538985453648915,0.00015987117850098636,50.0,0.0,-0.25,False,False,True,False
target_safe_oracle,target_safe_oracle_000,M1,14.0,J5_Selective_Physics_Calibration,1.0,4.95014865470132,-0.008218086360599841,2.12538821537878,0.840118449477053,0.593060108925316,1.8999635364325478,1.8999635364325478,0,0,0,1,0,True,0.007535133136094675,0.00015601886094674614,51.0,1.0,-0.25,True,False,False,False
target_safe_oracle,target_safe_oracle_000,M1,14.0,J6_Joint_Phase_Surface,0.25,4.81032194422005,-0.14804479684187033,2.24386474340682,0.83488218730257,0.604904874079505,-0.009090599326270377,-0.009090599326270377,0,0,0,1,0,True,0.007510093071992111,0.00013097879684418213,56.0,6.0,-0.25,True,False,False,False
target_safe_oracle,target_safe_oracle_000,M1,14.0,J6_Joint_Phase_Surface,0.5,4.89154424805003,-0.06682249301189014,2.14758961081496,0.837947065836213,0.598115381774717,0.9151606112237743,0.9151606112237743,0,0,0,1,0,True,0.007558247041420118,0.00017913276627218918,53.0,3.0,-0.25,True,False,False,False
target_safe_oracle,target_safe_oracle_000,M1,14.0,J6_Joint_Phase_Surface,0.75,4.94991761360084,-0.008449127461080508,2.09179208589765,0.84011156498653,0.593347674567321,1.5272772523522926,1.5272772523522926,0,0,0,1,0,True,0.007513945389546351,0.00013483111439842235,54.0,4.0,-0.25,True,False,False,False
target_safe_oracle,target_safe_oracle_000,M1,14.0,J6_Joint_Phase_Surface,1.0,4.96545161101968,0.007084869957759921,2.07843297626254,0.840680065522388,0.591947637075897,-7.448953898856225,-7.448953898856225,0,0,0,1,0,True,0.0075486162475345165,0.00016950197238658777,51.0,1.0,-0.25,False,False,False,False
target_safe_oracle,target_safe_oracle_001,M2,14.0,J0_Current,0.0,6.52442415979561,0.0,2.10400275060032,0.891286788203494,0.490542632121322,0.0,0.0,0,0,0,1,0,True,0.010343472633136095,0.0,65.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_001,M2,14.0,J5_Selective_Physics_Calibration,0.25,6.52678605411402,0.0023618943184100516,2.10349696563386,0.891346800567091,0.490397608084768,0.0009229599665670687,0.0009229599665670687,0,0,0,1,0,True,0.010343472633136095,0.0,65.0,0.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_001,M2,14.0,J5_Selective_Physics_Calibration,0.5,6.52920473505766,0.00478057526204978,2.10318654766902,0.89140849341448,0.490249329092767,0.0018404794233028527,0.0018404794233028527,0,0,0,1,0,True,0.010345398791913214,1.9261587771192412e-06,65.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_001,M2,14.0,J5_Selective_Physics_Calibration,0.75,6.53159036203878,0.0071662022431695505,2.10233607871106,0.891469031654178,0.490103092223011,0.0027530480842188326,0.0027530480842188326,0,0,0,1,0,True,0.010345398791913214,1.9261587771192412e-06,65.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_001,M2,14.0,J5_Selective_Physics_Calibration,1.0,6.53382687356313,0.009402713767519444,2.10168264889561,0.891525811205365,0.489965577528475,0.003660024343461607,0.003660024343461607,0,0,0,1,0,True,0.010351177268244575,7.704635108480434e-06,66.0,1.0,-0.25,True,False,False,False
target_safe_oracle,target_safe_oracle_001,M2,14.0,J6_Joint_Phase_Surface,0.25,6.64470975666383,0.12028559686821971,2.07884693845173,0.894292265343087,0.483210022726039,0.04487878736462742,0.04487878736462742,0,0,0,1,0,True,0.010355029585798817,1.1556952662722386e-05,65.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_001,M2,14.0,J6_Joint_Phase_Surface,0.5,6.73776633039956,0.21334217060394955,2.05264853054881,0.896567061303441,0.477649721514803,0.07407764836838562,0.07407764836838562,0,0,0,1,0,True,0.010341546474358974,-1.926158777120976e-06,63.0,-2.0,-0.25,True,True,True,True
target_safe_oracle,target_safe_oracle_001,M2,14.0,J6_Joint_Phase_Surface,0.75,6.80281226028271,0.27838810048710005,2.03228827009546,0.898121403207319,0.473818374663968,0.0875435526967741,0.0875435526967741,0,0,0,1,0,True,0.010362734220907298,1.926158777120282e-05,65.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_001,M2,14.0,J6_Joint_Phase_Surface,1.0,6.83932752483203,0.3149033650364199,2.02189183946841,0.89897328188103,0.471680396036839,0.08537158996139488,0.08537158996139488,0,0,0,1,0,True,0.010358881903353058,1.5409270216962603e-05,65.0,0.0,-0.25,True,False,True,False
target_safe_oracle,target_safe_oracle_002,M1+M2,14.0,J0_Current,0.0,7.11233454987376,0.0,2.7658355860857,0.90281457589939,0.476665508738641,0.0,0.0,0,0,0,1,0,True,0.003921659270216963,0.0,0.0,0.0,-0.25,True,True,True,True
