split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode
screen,screen_003,target_on,J3_D3_P1_joint,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_off,J4_D3_P2_joint,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_on,J4_D3_P2_joint,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_off,J5_Selective_Physics_Calibration,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_on,J5_Selective_Physics_Calibration,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_off,J6_Joint_Phase_Surface,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_003,target_on,J6_Joint_Phase_Surface,measured,0.010713295118343196,5562,79,79,519168,1e-06,dynamic
screen,screen_004,target_off,J0_Current,measured,0.007783607618343195,4041,61,61,519168,1e-06,dynamic
screen,screen_004,target_on,J0_Current,measured,0.007772050665680473,4035,61,61,519168,1e-06,dynamic
screen,screen_004,target_off,J1_D3_delay_only,measured,0.00787028476331361,4086,61,61,519168,1e-06,dynamic
screen,screen_004,target_on,J1_D3_delay_only,measured,0.007860653969428007,4081,61,61,519168,1e-06,dynamic
screen,screen_004,target_off,J2_P1_phase_only,measured,0.007783607618343195,4041,61,61,519168,1e-06,dynamic
screen,screen_004,target_on,J2_P1_phase_only,measured,0.007772050665680473,4035,61,61,519168,1e-06,dynamic
screen,screen_004,target_off,J3_D3_P1_joint,measured,0.00787028476331361,4086,61,61,519168,1e-06,dynamic
screen,screen_004,target_on,J3_D3_P1_joint,measured,0.007860653969428007,4081,61,61,519168,1e-06,dynamic
screen,screen_004,target_off,J4_D3_P2_joint,measured,0.00787028476331361,4086,61,61,519168,1e-06,dynamic
screen,screen_004,target_on,J4_D3_P2_joint,measured,0.007860653969428007,4081,61,61,519168,1e-06,dynamic
screen,screen_004,target_off,J5_Selective_Physics_Calibration,measured,0.00787028476331361,4086,61,61,519168,1e-06,dynamic
screen,screen_004,target_on,J5_Selective_Physics_Calibration,measured,0.007860653969428007,4081,61,61,519168,1e-06,dynamic
screen,screen_004,target_off,J6_Joint_Phase_Surface,measured,0.007814426158777121,4057,61,61,519168,1e-06,dynamic
screen,screen_004,target_on,J6_Joint_Phase_Surface,measured,0.007814426158777121,4057,61,61,519168,1e-06,dynamic
screen,screen_005,target_off,J0_Current,measured,0.008253590359960553,4285,13,13,519168,1e-06,dynamic
screen,screen_005,target_on,J0_Current,measured,0.008257442677514793,4287,13,13,519168,1e-06,dynamic
screen,screen_005,target_off,J1_D3_delay_only,measured,0.008253590359960553,4285,13,13,519168,1e-06,dynamic
screen,screen_005,target_on,J1_D3_delay_only,measured,0.008257442677514793,4287,13,13,519168,1e-06,dynamic
screen,screen_005,target_off,J2_P1_phase_only,measured,0.008253590359960553,4285,13,13,519168,1e-06,dynamic
screen,screen_005,target_on,J2_P1_phase_only,measured,0.008257442677514793,4287,13,13,519168,1e-06,dynamic
screen,screen_005,target_off,J3_D3_P1_joint,measured,0.008253590359960553,4285,13,13,519168,1e-06,dynamic
screen,screen_005,target_on,J3_D3_P1_joint,measured,0.008257442677514793,4287,13,13,519168,1e-06,dynamic
screen,screen_005,target_off,J4_D3_P2_joint,measured,0.008253590359960553,4285,13,13,519168,1e-06,dynamic
screen,screen_005,target_on,J4_D3_P2_joint,measured,0.008257442677514793,4287,13,13,519168,1e-06,dynamic
screen,screen_005,target_off,J5_Selective_Physics_Calibration,measured,0.008253590359960553,4285,13,13,519168,1e-06,dynamic
screen,screen_005,target_on,J5_Selective_Physics_Calibration,measured,0.008257442677514793,4287,13,13,519168,1e-06,dynamic
screen,screen_005,target_off,J6_Joint_Phase_Surface,measured,0.008253590359960553,4285,13,13,519168,1e-06,dynamic
screen,screen_005,target_on,J6_Joint_Phase_Surface,measured,0.008257442677514793,4287,13,13,519168,1e-06,dynamic
screen,screen_006,target_off,J0_Current,measured,0.009430473372781065,4896,67,67,519168,1e-06,dynamic
screen,screen_006,target_on,J0_Current,measured,0.009407359467455622,4884,68,68,519168,1e-06,dynamic
screen,screen_006,target_off,J1_D3_delay_only,measured,0.009430473372781065,4896,67,67,519168,1e-06,dynamic
screen,screen_006,target_on,J1_D3_delay_only,measured,0.009407359467455622,4884,68,68,519168,1e-06,dynamic
screen,screen_006,target_off,J2_P1_phase_only,measured,0.009430473372781065,4896,67,67,519168,1e-06,dynamic
screen,screen_006,target_on,J2_P1_phase_only,measured,0.009407359467455622,4884,68,68,519168,1e-06,dynamic
screen,screen_006,target_off,J3_D3_P1_joint,measured,0.009430473372781065,4896,67,67,519168,1e-06,dynamic
screen,screen_006,target_on,J3_D3_P1_joint,measured,0.009407359467455622,4884,68,68,519168,1e-06,dynamic
screen,screen_006,target_off,J4_D3_P2_joint,measured,0.009430473372781065,4896,67,67,519168,1e-06,dynamic
screen,screen_006,target_on,J4_D3_P2_joint,measured,0.009407359467455622,4884,68,68,519168,1e-06,dynamic
screen,screen_006,target_off,J5_Selective_Physics_Calibration,measured,0.009430473372781065,4896,68,68,519168,1e-06,dynamic
screen,screen_006,target_on,J5_Selective_Physics_Calibration,measured,0.009409285626232741,4885,69,69,519168,1e-06,dynamic
screen,screen_006,target_off,J6_Joint_Phase_Surface,measured,0.009430473372781065,4896,67,67,519168,1e-06,dynamic
screen,screen_006,target_on,J6_Joint_Phase_Surface,measured,0.009407359467455622,4884,68,68,519168,1e-06,dynamic
screen,screen_007,target_off,J0_Current,measured,0.004279924802761341,2222,4,4,519168,1e-06,dynamic
screen,screen_007,target_on,J0_Current,measured,0.004341561883629191,2254,5,5,519168,1e-06,dynamic
screen,screen_007,target_off,J1_D3_delay_only,measured,0.004279924802761341,2222,4,4,519168,1e-06,dynamic
screen,screen_007,target_on,J1_D3_delay_only,measured,0.004341561883629191,2254,5,5,519168,1e-06,dynamic
screen,screen_007,target_off,J2_P1_phase_only,measured,0.0042953340729783036,2230,4,4,519168,1e-06,dynamic
screen,screen_007,target_on,J2_P1_phase_only,measured,0.004358897312623274,2263,5,5,519168,1e-06,dynamic
screen,screen_007,target_off,J3_D3_P1_joint,measured,0.0042953340729783036,2230,4,4,519168,1e-06,dynamic
screen,screen_007,target_on,J3_D3_P1_joint,measured,0.004358897312623274,2263,5,5,519168,1e-06,dynamic
screen,screen_007,target_off,J4_D3_P2_joint,measured,0.0042934079142011835,2229,4,4,519168,1e-06,dynamic
screen,screen_007,target_on,J4_D3_P2_joint,measured,0.004353118836291913,2260,5,5,519168,1e-06,dynamic
screen,screen_007,target_off,J5_Selective_Physics_Calibration,measured,0.0042953340729783036,2230,4,4,519168,1e-06,dynamic
screen,screen_007,target_on,J5_Selective_Physics_Calibration,measured,0.004358897312623274,2263,5,5,519168,1e-06,dynamic
screen,screen_007,target_off,J6_Joint_Phase_Surface,measured,0.004279924802761341,2222,4,4,519168,1e-06,dynamic
screen,screen_007,target_on,J6_Joint_Phase_Surface,measured,0.004341561883629191,2254,5,5,519168,1e-06,dynamic
screen,screen_008,target_off,J0_Current,measured,0.010474451429980276,5438,72,72,519168,1e-06,dynamic
screen,screen_008,target_on,J0_Current,measured,0.010459042159763314,5430,71,71,519168,1e-06,dynamic
screen,screen_008,target_off,J1_D3_delay_only,measured,0.010474451429980276,5438,72,72,519168,1e-06,dynamic
screen,screen_008,target_on,J1_D3_delay_only,measured,0.010459042159763314,5430,71,71,519168,1e-06,dynamic
screen,screen_008,target_off,J2_P1_phase_only,measured,0.010484082223865878,5443,73,73,519168,1e-06,dynamic
screen,screen_008,target_on,J2_P1_phase_only,measured,0.010466746794871794,5434,73,73,519168,1e-06,dynamic
screen,screen_008,target_off,J3_D3_P1_joint,measured,0.010484082223865878,5443,73,73,519168,1e-06,dynamic
screen,screen_008,target_on,J3_D3_P1_joint,measured,0.010466746794871794,5434,73,73,519168,1e-06,dynamic
screen,screen_008,target_off,J4_D3_P2_joint,measured,0.010484082223865878,5443,73,73,519168,1e-06,dynamic
screen,screen_008,target_on,J4_D3_P2_joint,measured,0.010462894477317554,5432,73,73,519168,1e-06,dynamic
screen,screen_008,target_off,J5_Selective_Physics_Calibration,measured,0.010484082223865878,5443,73,73,519168,1e-06,dynamic
screen,screen_008,target_on,J5_Selective_Physics_Calibration,measured,0.010466746794871794,5434,73,73,519168,1e-06,dynamic
screen,screen_008,target_off,J6_Joint_Phase_Surface,measured,0.010474451429980276,5438,72,72,519168,1e-06,dynamic
screen,screen_008,target_on,J6_Joint_Phase_Surface,measured,0.010459042159763314,5430,71,71,519168,1e-06,dynamic
screen,screen_009,target_off,J0_Current,measured,0.008829511834319527,4584,31,31,519168,1e-06,dynamic
screen,screen_009,target_on,J0_Current,measured,0.008825659516765286,4582,31,31,519168,1e-06,dynamic
screen,screen_009,target_off,J1_D3_delay_only,measured,0.008829511834319527,4584,31,31,519168,1e-06,dynamic
screen,screen_009,target_on,J1_D3_delay_only,measured,0.008825659516765286,4582,31,31,519168,1e-06,dynamic
screen,screen_009,target_off,J2_P1_phase_only,measured,0.008829511834319527,4584,31,31,519168,1e-06,dynamic
screen,screen_009,target_on,J2_P1_phase_only,measured,0.008825659516765286,4582,31,31,519168,1e-06,dynamic
screen,screen_009,target_off,J3_D3_P1_joint,measured,0.008829511834319527,4584,31,31,519168,1e-06,dynamic
screen,screen_009,target_on,J3_D3_P1_joint,measured,0.008825659516765286,4582,31,31,519168,1e-06,dynamic
screen,screen_009,target_off,J4_D3_P2_joint,measured,0.008829511834319527,4584,31,31,519168,1e-06,dynamic
screen,screen_009,target_on,J4_D3_P2_joint,measured,0.008825659516765286,4582,31,31,519168,1e-06,dynamic
screen,screen_009,target_off,J5_Selective_Physics_Calibration,measured,0.008829511834319527,4584,31,31,519168,1e-06,dynamic
screen,screen_009,target_on,J5_Selective_Physics_Calibration,measured,0.008825659516765286,4582,31,31,519168,1e-06,dynamic
screen,screen_009,target_off,J6_Joint_Phase_Surface,measured,0.008829511834319527,4584,31,31,519168,1e-06,dynamic
screen,screen_009,target_on,J6_Joint_Phase_Surface,measured,0.008825659516765286,4582,31,31,519168,1e-06,dynamic
screen,screen_010,target_off,J0_Current,measured,0.009549895216962525,4958,41,41,519168,1e-06,dynamic
screen,screen_010,target_on,J0_Current,measured,0.009546042899408283,4956,41,41,519168,1e-06,dynamic
screen,screen_010,target_off,J1_D3_delay_only,measured,0.009549895216962525,4958,41,41,519168,1e-06,dynamic
screen,screen_010,target_on,J1_D3_delay_only,measured,0.009546042899408283,4956,41,41,519168,1e-06,dynamic
screen,screen_010,target_off,J2_P1_phase_only,measured,0.009549895216962525,4958,41,41,519168,1e-06,dynamic
screen,screen_010,target_on,J2_P1_phase_only,measured,0.009546042899408283,4956,41,41,519168,1e-06,dynamic
screen,screen_010,target_off,J3_D3_P1_joint,measured,0.009549895216962525,4958,41,41,519168,1e-06,dynamic
