split,scene_id,actual_mechanism,role,method,branch,active,fallback,current_cancellation_db,deterministic_cancellation_db,oracle_cancellation_db,recoverable_headroom_db,deterministic_gain_db,remaining_gap_db,recovery_ratio
screen,screen_003,M1,target_off,J0_Current,,False,True,6.32594225366133,6.32594225366133,6.61130551263937,0.28536325897804016,0.0,0.28536325897804016,0.0
screen,screen_003,M1,target_off,J1_D3_delay_only,,False,True,6.32594225366133,6.32594225366133,6.61130551263937,0.28536325897804016,0.0,0.28536325897804016,0.0
screen,screen_003,M1,target_off,J2_P1_phase_only,,False,True,6.32594225366133,6.32594225366133,6.61130551263937,0.28536325897804016,0.0,0.28536325897804016,0.0
screen,screen_003,M1,target_off,J3_D3_P1_joint,,False,True,6.32594225366133,6.32594225366133,6.61130551263937,0.28536325897804016,0.0,0.28536325897804016,0.0
screen,screen_003,M1,target_off,J4_D3_P2_joint,,False,True,6.32594225366133,6.32594225366133,6.61130551263937,0.28536325897804016,0.0,0.28536325897804016,0.0
screen,screen_003,M1,target_off,J5_Selective_Physics_Calibration,D0P0,False,True,6.32594225366133,6.32594225366133,6.61130551263937,0.28536325897804016,0.0,0.28536325897804016,0.0
screen,screen_003,M1,target_off,J6_Joint_Phase_Surface,D0P0,False,True,6.32594225366133,6.32594225366133,6.61130551263937,0.28536325897804016,0.0,0.28536325897804016,0.0
screen,screen_003,M1,target_on,J0_Current,,False,True,6.3258386995211,6.3258386995211,6.61120655656742,0.28536785704632006,0.0,0.28536785704632006,0.0
screen,screen_003,M1,target_on,J1_D3_delay_only,,False,True,6.3258386995211,6.3258386995211,6.61120655656742,0.28536785704632006,0.0,0.28536785704632006,0.0
screen,screen_003,M1,target_on,J2_P1_phase_only,,False,True,6.3258386995211,6.3258386995211,6.61120655656742,0.28536785704632006,0.0,0.28536785704632006,0.0
screen,screen_003,M1,target_on,J3_D3_P1_joint,,False,True,6.3258386995211,6.3258386995211,6.61120655656742,0.28536785704632006,0.0,0.28536785704632006,0.0
screen,screen_003,M1,target_on,J4_D3_P2_joint,,False,True,6.3258386995211,6.3258386995211,6.61120655656742,0.28536785704632006,0.0,0.28536785704632006,0.0
screen,screen_003,M1,target_on,J5_Selective_Physics_Calibration,D0P0,False,True,6.3258386995211,6.3258386995211,6.61120655656742,0.28536785704632006,0.0,0.28536785704632006,0.0
screen,screen_003,M1,target_on,J6_Joint_Phase_Surface,D0P0,False,True,6.3258386995211,6.3258386995211,6.61120655656742,0.28536785704632006,0.0,0.28536785704632006,0.0
screen,screen_004,M1,target_off,J0_Current,,True,True,3.74392695944473,3.74392695944473,3.6711432775698,-0.07278368187493012,0.0,-0.07278368187493012,
screen,screen_004,M1,target_off,J1_D3_delay_only,,True,False,3.74392695944473,3.69327286419529,3.6711432775698,-0.07278368187493012,-0.05065409524944009,-0.022129586625490028,
screen,screen_004,M1,target_off,J2_P1_phase_only,,True,True,3.74392695944473,3.74392695944473,3.6711432775698,-0.07278368187493012,0.0,-0.07278368187493012,
screen,screen_004,M1,target_off,J3_D3_P1_joint,,True,False,3.74392695944473,3.69327286419529,3.6711432775698,-0.07278368187493012,-0.05065409524944009,-0.022129586625490028,
screen,screen_004,M1,target_off,J4_D3_P2_joint,,True,False,3.74392695944473,3.69327286419529,3.6711432775698,-0.07278368187493012,-0.05065409524944009,-0.022129586625490028,
screen,screen_004,M1,target_off,J5_Selective_Physics_Calibration,D1P0,True,False,3.74392695944473,3.69327286419529,3.6711432775698,-0.07278368187493012,-0.05065409524944009,-0.022129586625490028,
screen,screen_004,M1,target_off,J6_Joint_Phase_Surface,D1P0,True,False,3.74392695944473,3.73004832746932,3.6711432775698,-0.07278368187493012,-0.013878631975409839,-0.05890504989952028,
screen,screen_004,M1,target_on,J0_Current,,True,True,3.74706928396667,3.74706928396667,3.6745415850782,-0.07252769888846977,0.0,-0.07252769888846977,
screen,screen_004,M1,target_on,J1_D3_delay_only,,True,False,3.74706928396667,3.69666695139642,3.6745415850782,-0.07252769888846977,-0.050402332570250064,-0.022125366318219708,
screen,screen_004,M1,target_on,J2_P1_phase_only,,True,True,3.74706928396667,3.74706928396667,3.6745415850782,-0.07252769888846977,0.0,-0.07252769888846977,
screen,screen_004,M1,target_on,J3_D3_P1_joint,,True,False,3.74706928396667,3.69666695139642,3.6745415850782,-0.07252769888846977,-0.050402332570250064,-0.022125366318219708,
screen,screen_004,M1,target_on,J4_D3_P2_joint,,True,False,3.74706928396667,3.69666695139642,3.6745415850782,-0.07252769888846977,-0.050402332570250064,-0.022125366318219708,
screen,screen_004,M1,target_on,J5_Selective_Physics_Calibration,D1P0,True,False,3.74706928396667,3.69666695139642,3.6745415850782,-0.07252769888846977,-0.050402332570250064,-0.022125366318219708,
screen,screen_004,M1,target_on,J6_Joint_Phase_Surface,D1P0,True,False,3.74706928396667,3.73190938437728,3.6745415850782,-0.07252769888846977,-0.015159899589389791,-0.05736779929907998,
screen,screen_005,M1,target_off,J0_Current,,False,True,3.53324487791564,3.53324487791564,4.58091790823486,1.04767303031922,0.0,1.04767303031922,0.0
screen,screen_005,M1,target_off,J1_D3_delay_only,,False,True,3.53324487791564,3.53324487791564,4.58091790823486,1.04767303031922,0.0,1.04767303031922,0.0
screen,screen_005,M1,target_off,J2_P1_phase_only,,False,True,3.53324487791564,3.53324487791564,4.58091790823486,1.04767303031922,0.0,1.04767303031922,0.0
screen,screen_005,M1,target_off,J3_D3_P1_joint,,False,True,3.53324487791564,3.53324487791564,4.58091790823486,1.04767303031922,0.0,1.04767303031922,0.0
screen,screen_005,M1,target_off,J4_D3_P2_joint,,False,True,3.53324487791564,3.53324487791564,4.58091790823486,1.04767303031922,0.0,1.04767303031922,0.0
screen,screen_005,M1,target_off,J5_Selective_Physics_Calibration,D0P0,False,True,3.53324487791564,3.53324487791564,4.58091790823486,1.04767303031922,0.0,1.04767303031922,0.0
screen,screen_005,M1,target_off,J6_Joint_Phase_Surface,D0P0,False,True,3.53324487791564,3.53324487791564,4.58091790823486,1.04767303031922,0.0,1.04767303031922,0.0
screen,screen_005,M1,target_on,J0_Current,,False,True,3.53008029245377,3.53008029245377,4.58588431467247,1.0558040222187004,0.0,1.0558040222187004,0.0
screen,screen_005,M1,target_on,J1_D3_delay_only,,False,True,3.53008029245377,3.53008029245377,4.58588431467247,1.0558040222187004,0.0,1.0558040222187004,0.0
screen,screen_005,M1,target_on,J2_P1_phase_only,,False,True,3.53008029245377,3.53008029245377,4.58588431467247,1.0558040222187004,0.0,1.0558040222187004,0.0
screen,screen_005,M1,target_on,J3_D3_P1_joint,,False,True,3.53008029245377,3.53008029245377,4.58588431467247,1.0558040222187004,0.0,1.0558040222187004,0.0
screen,screen_005,M1,target_on,J4_D3_P2_joint,,False,True,3.53008029245377,3.53008029245377,4.58588431467247,1.0558040222187004,0.0,1.0558040222187004,0.0
screen,screen_005,M1,target_on,J5_Selective_Physics_Calibration,D0P0,False,True,3.53008029245377,3.53008029245377,4.58588431467247,1.0558040222187004,0.0,1.0558040222187004,0.0
screen,screen_005,M1,target_on,J6_Joint_Phase_Surface,D0P0,False,True,3.53008029245377,3.53008029245377,4.58588431467247,1.0558040222187004,0.0,1.0558040222187004,0.0
screen,screen_006,M2,target_off,J0_Current,,False,True,6.55189797155679,6.55189797155679,7.05203328926162,0.5001353177048298,0.0,0.5001353177048298,0.0
screen,screen_006,M2,target_off,J1_D3_delay_only,,False,True,6.55189797155679,6.55189797155679,7.05203328926162,0.5001353177048298,0.0,0.5001353177048298,0.0
screen,screen_006,M2,target_off,J2_P1_phase_only,,False,True,6.55189797155679,6.55189797155679,7.05203328926162,0.5001353177048298,0.0,0.5001353177048298,0.0
screen,screen_006,M2,target_off,J3_D3_P1_joint,,False,True,6.55189797155679,6.55189797155679,7.05203328926162,0.5001353177048298,0.0,0.5001353177048298,0.0
screen,screen_006,M2,target_off,J4_D3_P2_joint,,False,True,6.55189797155679,6.55189797155679,7.05203328926162,0.5001353177048298,0.0,0.5001353177048298,0.0
screen,screen_006,M2,target_off,J5_Selective_Physics_Calibration,D0P1,True,False,6.55189797155679,6.56210105179024,7.05203328926162,0.5001353177048298,0.010203080233449846,0.4899322374713799,0.020400639331516892
screen,screen_006,M2,target_off,J6_Joint_Phase_Surface,D0P0,False,False,6.55189797155679,6.55189797155679,7.05203328926162,0.5001353177048298,0.0,0.5001353177048298,0.0
screen,screen_006,M2,target_on,J0_Current,,False,True,6.55204244229672,6.55204244229672,7.05223899179236,0.50019654949564,0.0,0.50019654949564,0.0
screen,screen_006,M2,target_on,J1_D3_delay_only,,False,True,6.55204244229672,6.55204244229672,7.05223899179236,0.50019654949564,0.0,0.50019654949564,0.0
