case_id,run_id,result_id,period_id,beam_id,roi_name,valid_cells,before_mean_power,after_mean_power,before_median_power,after_median_power,before_rms,after_rms,before_p95,after_p95,before_max,after_max,CA_ROI_dB,phase_model_valid_cells,phase_model_weighted_coherence,phase_model_weighted_circular_rmse_rad,phase_model_median_abs_residual_rad,phase_model_p95_abs_residual_rad,status
temp_config_stage2_period_0000,20260910_133933_320698,GMTI01,0,1,active_support_unmasked,159705,182176.690782556,718.01016017422,154.220458984375,2.86932158470154,426.821614708717,26.795711600445,43684.6328125,904.011047363281,1392089856,1216921,24.0436221915169,159705,0.998034692157885,0.0664578455607268,0.138190453534735,1.25086097258847,diagnostic_noise_and_clutter_mixed
temp_config_stage2_period_0000,20260910_133933_320698,GMTI01,0,1,clutter_band_strong_power_top10pct,15972,1815586.02034034,6587.21165014646,43680.697265625,378.962890625,1347.43683352517,81.1616390306804,4224680,32678.888671875,1392089856,1216921,24.4031521235297,159705,0.998034692157885,0.0664578455607268,0.138190453534735,1.25086097258847,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133933_320698,GMTI01,0,1,clutter_band_strong_power_top1pct,1599,17073800.9267511,22289.2578598159,4207627,7365.9033203125,4132.04561043935,149.29587355254,67953992,95063.234375,1392089856,572512.4375,28.8423460491715,159705,0.998034692157885,0.0664578455607268,0.138190453534735,1.25086097258847,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133933_320698,GMTI01,0,1,clutter_band_strong_power_top0p1pct,161,109723960.84472,39722.8200678381,67461184,20640.484375,10474.9205650793,199.305845543572,305124800,139310.453125,1392089856,448193.375,34.4126140342649,159705,0.998034692157885,0.0664578455607268,0.138190453534735,1.25086097258847,formal_clutter_band_strong_roi_before_power_selected
