split,scene_id,family,snr_db,method,target_id,target_row,target_col,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,on_roi_cells,off_roi_cells,target_only_roi_cells,L_causal_dB,L_target_only_dB,peak_transfer_dB,integrated_roi_energy_candidate,integrated_roi_energy_current,range_centroid_shift_cells,doppler_centroid_shift_cells,peak_bin_shift_cells,roi_spreading_delta_cells,delta_definition,target_only_definition,delta_cell_count,delta_sum_real,delta_sum_imag,delta_energy,delta_peak_abs,delta_peak_real,delta_peak_imag,delta_peak_row,delta_peak_col,delta_centroid_row,delta_centroid_col,delta_spread_rms_cells,target_only_cell_count,target_only_sum_real,target_only_sum_imag,target_only_energy,target_only_peak_abs,target_only_peak_real,target_only_peak_imag,target_only_peak_row,target_only_peak_col,target_only_centroid_row,target_only_centroid_col,target_only_spread_rms_cells,support_percentile,edge_guard_percentile
j8_support_only,j8_fast_target,fast_target,14.0,J0_Current,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,4759100.110672058,4759100.110672058,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,328.9826225042343,1781.0665574669838,4759100.110672058,2077.2228674260764,45.04538857936859,2076.7343965768814,67,350,66.97740313885018,350.0367404285331,0.5134838057690879,25,16.275205969810486,39.33790111541748,95483.25502320233,188.04516919277904,-180.59104919433594,52.420021057128906,64,349,65.18183972066876,349.738033296393,1.8117426634824756,80.0,5.0
j8_support_only,j8_fast_target,fast_target,14.0,J8_SupportOnly_P1,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-1.846342749402837,-1.8162175718164264,-1.872638754198726,3110932.3394166334,4759100.110672058,0.01913388623341916,-0.0004922557179440901,"(0, 0)",0.07166832435515691,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,387.3552258014679,1211.372011423111,3110932.3394166334,1674.3689327222958,99.65426826477051,1671.4007148742676,67,350,66.97691088313223,350.0558743147665,0.5851521301242448,25,209.4066023826599,-95.19896078109741,62850.02553945128,136.64739117127186,-35.1357421875,-132.052978515625,64,350,66.01319362478291,350.2901290191085,1.8379510738914548,80.0,5.0
j8_support_only,j8_fast_target,fast_target,14.0,J8_SupportOnly_Joint,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-1.3708949935106869,-1.8612627418843886,-1.3911049334651473,3470845.9725841046,4759100.110672058,0.015580347840966624,-0.000523092267584957,"(0, 0)",0.05372549057755893,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,386.92679566144943,1353.7836874723434,3470845.9725841046,1769.8149048251191,90.49198961257935,1767.4999284744263,67,350,66.9768800465826,350.0523207763741,0.5672092963466469,25,202.92047357559204,-82.08922338485718,62201.51197197579,140.45492810657768,-36.1572265625,-135.72119140625,64,350,65.99155019137645,350.3003477589315,1.847379358823826,80.0,5.0
j8_support_only,j8_support_edge_target,support_edge_target,14.0,J0_Current,MISMATCH_B01_S000_R00,59,1500,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,17641850.4901586,17641850.4901586,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-3021.2814942598343,-1404.973016858101,17641850.4901586,3200.7995030548445,-2453.5125579833984,-2055.576217651367,60,1500,60.125890681313074,1500.0687950457873,0.8405284833668489,25,-755.8876962661743,-237.03404331207275,121917.29109195837,139.97885667399038,-118.8360595703125,-73.97344970703125,61,1500,59.30663922459018,1500.1098178320444,1.5626977115858531,80.0,5.0
j8_support_only,j8_support_edge_target,support_edge_target,14.0,J8_SupportOnly_P1,MISMATCH_B01_S000_R00,59,1500,True,False,True,nan,nan,nan,25,25,25,0.7606113910620251,0.1980725443093283,0.8706991966214034,21018672.16146115,17641850.4901586,-0.006194371782612507,-0.04413574661016639,"(0, 0)",0.006318830244850249,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-4014.0267691612244,-2079.499165967107,21018672.16146115,3538.2900468606394,-2746.2869262695312,-2231.009765625,60,1500,60.08175493470291,1500.0626006740047,0.8468473136116992,25,-463.26008462905884,-621.6540288925171,127606.43003225542,145.84118857958484,-123.8507080078125,-77.0107421875,61,1500,59.21383819290731,1499.860601364762,1.8262064688029511,80.0,5.0
j8_support_only,j8_support_edge_target,support_edge_target,14.0,J8_SupportOnly_Joint,MISMATCH_B01_S000_R00,59,1500,False,False,False,nan,nan,nan,25,25,25,-4.337727385771851,-1.8135636342975234,-4.078016509367755,6497875.689932833,17641850.4901586,-0.010260227437129288,-0.10697559380708554,"(0, 0)",0.035105052377954804,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-2283.1191560029984,-1739.5196567475796,6497875.689932833,2001.5094524686376,-1377.6059875488281,-1451.9785919189453,60,1500,60.01891508750599,1500.0585348183502,0.8756335357448037,25,-400.9718794822693,-371.12157249450684,80298.77889135104,111.83764200737252,-96.80931091308594,-55.99656677246094,57,1500,58.84190266582779,1499.9929393661348,1.7735650168823065,80.0,5.0
j8_support_only,j8_slow_near_ridge_target,slow_near_ridge_target,16.0,J0_Current,MISMATCH_B01_S000_R00,64,1309,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,478161.28579553077,478161.28579553077,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-195.72707509994507,185.51965832710266,478161.28579553077,419.9181900327955,-229.6066915988922,351.58505868911743,62,1309,63.49227266776213,1308.9464875348806,1.7615841289728016,25,4100.530576705933,5251.183080673218,55034868.863448836,6936.907039726529,4339.31396484375,5412.119140625,64,1309,64.00606451485929,1309.001205084768,0.5469475276940979,80.0,5.0
j8_support_only,j8_slow_near_ridge_target,slow_near_ridge_target,16.0,J8_SupportOnly_P1,MISMATCH_B01_S000_R00,64,1309,False,False,False,nan,nan,nan,25,25,25,0.007686393310629082,-0.15701186649936552,-0.004553312030840775,479008.3124540799,478161.28579553077,-0.0017355466206936399,-0.0012986657752094288,"(0, 0)",-0.0037136301530018567,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-182.67755556106567,213.32876479625702,479008.3124540799,419.69811845058223,-229.66522002220154,351.28392696380615,62,1309,63.49097400198692,1308.94475198826,1.7578704988197997,25,3992.2099838256836,5167.955678939819,53080713.18243932,6811.513390550053,4235.4267578125,5334.59228515625,64,1309,64.00623061310911,1309.0013610631038,0.5480902616776558,80.0,5.0
j8_support_only,j8_slow_near_ridge_target,slow_near_ridge_target,16.0,J8_SupportOnly_Joint,MISMATCH_B01_S000_R00,64,1309,False,False,False,nan,nan,nan,25,25,25,-1.639178666613805,-4.270676008305497,-0.7823893360219637,327835.92589882767,478161.28579553077,0.029322571651846374,-0.38349566606459007,"(0, 0)",-0.23212721651278767,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-594.4046540260315,89.85058641433716,327835.92589882767,383.747201192722,-250.22696208953857,290.94394969940186,62,1309,63.10877700169754,1308.9758101065324,1.529456912460014,25,-1597.3285751342773,-4075.277696609497,20585922.580530476,4217.681728880703,-1103.697265625,-4070.71142578125,64,1309,63.984618103793366,1309.001303862773,0.5620031588359514,80.0,5.0
