case_id,factor,factor_level,seed,method,comparison_protocol,threshold_scale,target_detected,background_Pfa
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,3.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,5.0,1.0,0.0
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR global,scientific_controlled,0.5,1.0,0.011066226672735548
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR global,scientific_controlled,0.75,1.0,0.006195949021392809
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR global,scientific_controlled,1.0,1.0,0.004363905325443787
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR global,scientific_controlled,1.5,1.0,0.0025280685783644363
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR global,scientific_controlled,2.0,1.0,0.0016139432559550903
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR global,scientific_controlled,3.0,1.0,0.000720679714762555
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR global,scientific_controlled,5.0,1.0,0.0002048247610377788
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR local,scientific_controlled,0.5,1.0,0.010891746320740404
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR local,scientific_controlled,0.75,1.0,0.006324912759824003
baseline_v2_targetsnrdb10p0_s20261031,target_snr_db,10.0,20261031,DL-SMI/MVDR local,scientific_controlled,1.0,1.0,0.00461993627674101
