feature,outcome,n,pearson,spearman
distance_to_clutter_ridge_hz,current_SCNR_improvement_dB,5,-0.6674699937652815,-0.7
distance_to_clutter_ridge_hz,row_ls_SCNR_improvement_dB,5,-0.7511006137208102,-0.6
distance_to_clutter_ridge_hz,best_adaptive_SCNR_improvement_dB,5,0.5671206710999779,0.49999999999999994
distance_to_clutter_ridge_hz,current_failure,5,nan,nan
distance_to_clutter_ridge_hz,row_ls_failure,5,nan,nan
distance_to_clutter_ridge_hz,jdl_failure,5,nan,nan
distance_to_clutter_ridge_hz,adaptive_failure,5,nan,nan
distance_to_support_edge_rows,current_SCNR_improvement_dB,5,nan,nan
distance_to_support_edge_rows,row_ls_SCNR_improvement_dB,5,nan,nan
distance_to_support_edge_rows,best_adaptive_SCNR_improvement_dB,5,nan,nan
distance_to_support_edge_rows,current_failure,5,nan,nan
distance_to_support_edge_rows,row_ls_failure,5,nan,nan
distance_to_support_edge_rows,jdl_failure,5,nan,nan
distance_to_support_edge_rows,adaptive_failure,5,nan,nan
dl_global_covariance_condition_number,current_SCNR_improvement_dB,5,0.4248655803545393,0.6
dl_global_covariance_condition_number,row_ls_SCNR_improvement_dB,5,0.2530753985600125,0.49999999999999994
dl_global_covariance_condition_number,best_adaptive_SCNR_improvement_dB,5,-0.24920022287786664,-0.19999999999999998
dl_global_covariance_condition_number,current_failure,5,nan,nan
dl_global_covariance_condition_number,row_ls_failure,5,nan,nan
dl_global_covariance_condition_number,jdl_failure,5,nan,nan
dl_global_covariance_condition_number,adaptive_failure,5,nan,nan
dl_global_estimated_clutter_rank,current_SCNR_improvement_dB,5,nan,nan
dl_global_estimated_clutter_rank,row_ls_SCNR_improvement_dB,5,nan,nan
dl_global_estimated_clutter_rank,best_adaptive_SCNR_improvement_dB,5,nan,nan
dl_global_estimated_clutter_rank,current_failure,5,nan,nan
dl_global_estimated_clutter_rank,row_ls_failure,5,nan,nan
dl_global_estimated_clutter_rank,jdl_failure,5,nan,nan
dl_global_estimated_clutter_rank,adaptive_failure,5,nan,nan
current_residual_p95_dB_over_input_median,current_SCNR_improvement_dB,5,0.5658154145923904,0.09999999999999999
current_residual_p95_dB_over_input_median,row_ls_SCNR_improvement_dB,5,0.6992531438742823,0.19999999999999998
current_residual_p95_dB_over_input_median,best_adaptive_SCNR_improvement_dB,5,-0.4165805650821855,-0.3
current_residual_p95_dB_over_input_median,current_failure,5,nan,nan
current_residual_p95_dB_over_input_median,row_ls_failure,5,nan,nan
current_residual_p95_dB_over_input_median,jdl_failure,5,nan,nan
current_residual_p95_dB_over_input_median,adaptive_failure,5,nan,nan
current_residual_p99_dB_over_input_median,current_SCNR_improvement_dB,5,0.7853507075183009,0.39999999999999997
current_residual_p99_dB_over_input_median,row_ls_SCNR_improvement_dB,5,0.89627017970273,0.7
current_residual_p99_dB_over_input_median,best_adaptive_SCNR_improvement_dB,5,-0.4024937830033541,0.0
current_residual_p99_dB_over_input_median,current_failure,5,nan,nan
current_residual_p99_dB_over_input_median,row_ls_failure,5,nan,nan
current_residual_p99_dB_over_input_median,jdl_failure,5,nan,nan
current_residual_p99_dB_over_input_median,adaptive_failure,5,nan,nan
