method,comparison_protocol,threshold_scale,n_cases,n_seeds,background_Pfa_mean,background_Pfa_std,background_Pfa_ci95_low,background_Pfa_ci95_high,Pd_mean,Pd_std,Pd_ci95_low,Pd_ci95_high,Pd_successes,Pd_trials
Corrected JDL physical,scientific_controlled,0.5,5,5,0.011189880139584283,0.0003312068920438791,0.01077863246577611,0.011601127813392455,1.0,0.0,0.5655085052479191,1.0,5,5
Corrected JDL physical,scientific_controlled,0.75,5,5,0.0062907752996510385,8.709575560009869e-05,0.006182631635525957,0.0063989189637761205,1.0,0.0,0.5655085052479191,1.0,5,5
Corrected JDL physical,scientific_controlled,1.0,5,5,0.004338112577757548,4.8381850315333935e-05,0.004278038576054467,0.00439818657946063,1.0,0.0,0.5655085052479191,1.0,5,5
Corrected JDL physical,scientific_controlled,1.5,5,5,0.002454483386436049,4.2394876658573894e-05,0.0024018431943807666,0.0025071235784913312,1.0,0.0,0.5655085052479191,1.0,5,5
Corrected JDL physical,scientific_controlled,2.0,5,5,0.0014804278561675011,4.051202348410993e-05,0.0014301255351128563,0.001530730177222146,1.0,0.0,0.5655085052479191,1.0,5,5
Corrected JDL physical,scientific_controlled,3.0,5,5,0.0006319223183128508,2.2092691349451477e-05,0.0006044906188407874,0.0006593540177849143,1.0,0.0,0.5655085052479191,1.0,5,5
Corrected JDL physical,scientific_controlled,5.0,5,5,0.0001634805037171901,6.203697175616802e-06,0.00015577759627846222,0.000171183411155918,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [production replay],production_replay,0.5,5,5,0.015105826126536187,0.0008728819435392421,0.014022000042560517,0.016189652210511857,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [production replay],production_replay,0.75,5,5,0.005269306630253375,0.0005011074913435042,0.0046470994990214474,0.005891513761485303,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [production replay],production_replay,1.0,5,5,0.002102488241541496,0.00032530140589898685,0.0016985731972713335,0.0025064032858116586,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [production replay],production_replay,1.5,5,5,0.00035958124715521165,0.00013858009765017182,0.0001875113290352945,0.0005316511652751288,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [production replay],production_replay,2.0,5,5,4.399939311181915e-05,2.96671403402541e-05,7.1627730216377935e-06,8.083601320200051e-05,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [production replay],production_replay,3.0,5,5,7.586102260658473e-07,1.6963040339097175e-06,-1.3476294228493397e-06,2.8648498749810344e-06,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [production replay],production_replay,5.0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [scientific controlled],scientific_controlled,0.5,5,5,0.01511075709300561,0.0008940831809282948,0.014000606195846563,0.01622090799016466,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [scientific controlled],scientific_controlled,0.75,5,5,0.005271582460931573,0.0005031471958890204,0.004646842701998503,0.005896322219864643,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [scientific controlled],scientific_controlled,1.0,5,5,0.002103626156880595,0.00032426816075515605,0.0017009940559068468,0.002506258257854343,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [scientific controlled],scientific_controlled,1.5,5,5,0.00035654680625094823,0.00013538589210722765,0.00018844301815657092,0.0005246505943453255,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [scientific controlled],scientific_controlled,2.0,5,5,4.286147777272038e-05,3.0302894147146338e-05,5.2354650687993145e-06,8.048749047664144e-05,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [scientific controlled],scientific_controlled,3.0,5,5,7.586102260658473e-07,1.6963040339097175e-06,-1.3476294228493397e-06,2.8648498749810344e-06,1.0,0.0,0.5655085052479191,1.0,5,5
Current legacy CSI [scientific controlled],scientific_controlled,5.0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.5655085052479191,1.0,5,5
DL-SMI/MVDR global,scientific_controlled,0.5,5,5,0.011171673494158702,0.00036826453896260315,0.010714412674313367,0.011628934314004037,1.0,0.0,0.5655085052479191,1.0,5,5
DL-SMI/MVDR global,scientific_controlled,0.75,5,5,0.006281671976938248,0.00010249488127158649,0.0061544077728630485,0.006408936181013448,1.0,0.0,0.5655085052479191,1.0,5,5
DL-SMI/MVDR global,scientific_controlled,1.0,5,5,0.004380974055530269,3.858858661313881e-05,0.004333059996791129,0.004428888114269409,1.0,0.0,0.5655085052479191,1.0,5,5
DL-SMI/MVDR global,scientific_controlled,1.5,5,5,0.0025553785465028066,5.759632924919423e-05,0.002483863258045335,0.0026268938349602784,1.0,0.0,0.5655085052479191,1.0,5,5
DL-SMI/MVDR global,scientific_controlled,2.0,5,5,0.0016029434076771354,5.3564677860078016e-05,0.0015364340756028414,0.0016694527397514295,1.0,0.0,0.5655085052479191,1.0,5,5
DL-SMI/MVDR global,scientific_controlled,3.0,5,5,0.000705886815354271,1.7659087159740208e-05,0.0006839601625868619,0.0007278134681216802,1.0,0.0,0.5655085052479191,1.0,5,5
DL-SMI/MVDR global,scientific_controlled,5.0,5,5,0.00019989379456835076,1.07785406147647e-05,0.00018651046873380974,0.00021327712040289178,1.0,0.0,0.5655085052479191,1.0,5,5
DL-SMI/MVDR local,scientific_controlled,0.5,5,5,0.01107305416477014,0.000382726189455444,0.010597836834153225,0.011548271495387057,1.0,0.0,0.5655085052479191,1.0,5,5
DL-SMI/MVDR local,scientific_controlled,0.75,5,5,0.0063670156273706565,0.00012856149394213222,0.006207385448787293,0.00652664580595402,1.0,0.0,0.5655085052479191,1.0,5,5
