method,requested_pfa,threshold,empirical_pfa,causal_pd,paired_causal_hit,positive_roi_peak_power,negative_roi_peak_power,negative_score_cell_count,target_only_roi_peak_power,target_loss_db_vs_target_only_peak,scnr_db_vs_negative_peak,pfa_calibration_status
Current,0.01,14096.5849609375,0.010000228881835938,1.0,True,23244.15234375,744.5932006835938,524288,2898.4990234375,9.041405547872483,-18.16241270463702,measured_from_negative_control_map
Current,0.001,103419.0859375,0.0010013580322265625,0.0,False,23244.15234375,744.5932006835938,524288,2898.4990234375,9.041405547872483,-18.16241270463702,measured_from_negative_control_map
Current,0.0001,413874.21875,0.0001010894775390625,0.0,False,23244.15234375,744.5932006835938,524288,2898.4990234375,9.041405547872483,-18.16241270463702,measured_from_negative_control_map
