case_id,run_id,result_id,period_id,beam_id,roi_name,valid_cells,before_mean_power,after_mean_power,before_median_power,after_median_power,before_rms,after_rms,before_p95,after_p95,before_max,after_max,CA_ROI_dB,phase_model_valid_cells,phase_model_weighted_coherence,phase_model_weighted_circular_rmse_rad,phase_model_median_abs_residual_rad,phase_model_p95_abs_residual_rad,status
temp_config_stage2_period_0000,20260910_133919_805928,GMTI01,0,1,active_support_unmasked,159705,165792.862654075,3108.42801049731,261.953704833984,7.02736186981201,407.176697091171,55.7532780246804,69868.171875,3680.99853515625,506727648,4043187.25,17.270250165391,159705,0.990640759339636,0.141264367859643,0.171633469554648,1.33142692773311,diagnostic_noise_and_clutter_mixed
temp_config_stage2_period_0000,20260910_133919_805928,GMTI01,0,1,clutter_band_strong_power_top10pct,15972,1648848.23641097,29917.4446449319,69859.625,2195.50354003906,1284.07485623346,172.966599795833,5170210,143955.328125,506727648,4043187.25,17.4125618792807,159705,0.990640759339636,0.141264367859643,0.171633469554648,1.33142692773311,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133919_805928,GMTI01,0,1,clutter_band_strong_power_top1pct,1599,14854493.0284553,135747.38818886,5145930,53884.0625,3854.15269916168,368.439124128886,58559084,572313.875,506727648,4043187.25,20.3912635186661,159705,0.990640759339636,0.141264367859643,0.171633469554648,1.33142692773311,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133919_805928,GMTI01,0,1,clutter_band_strong_power_top0p1pct,161,82492649.9378882,437928.122148834,55247404,194948.984375,9082.54644567746,661.761378556375,225632000,1507256.875,506727648,4043187.25,22.7501241991177,159705,0.990640759339636,0.141264367859643,0.171633469554648,1.33142692773311,formal_clutter_band_strong_roi_before_power_selected
