split,scene_id,actual_family,role,method,required_delay,required_phase,state,fallback,fallback_reason,global_uncertain,global_decorrelated,blocker,delay_estimate_ns,delay_confidence,delay_rmse_rad,delay_deadband_inside,delay_confidence_ok,delay_fit_ok,delay_support_ok,delay_active_independent,phase_method,phase_estimate_deg_per_pulse,phase_confidence,phase_rmse_rad,phase_deadband_inside,phase_confidence_ok,phase_fit_ok,phase_active_independent,pulse_coherence,estimated_gain_db,oracle_cancellation_db,current_cancellation_db,oracle_headroom_db,recovery_ratio,fallback_opportunity_cost_db,uncertain_headroom_gt_0_5_db,uncertain_headroom_gt_1_db,old_delay_blocked,old_phase_blocked
calibration,calibration_002,zero,target_on,J1_D3_delay_only,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,-0.2986466344605369,0.014383802098026366,0.060110425411962265,True,True,True,True,False,P1,-9.862566926039409e-05,7.149441100895437e-05,0.007515563841297135,True,False,True,False,0.857275976580854,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_002,zero,target_on,J2_P1_phase_only,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,-0.2986466344605369,0.014383802098026366,0.060110425411962265,True,True,True,True,False,P1,-9.862566926039409e-05,7.149441100895437e-05,0.007515563841297135,True,False,True,False,0.857275976580854,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_002,zero,target_on,J3_D3_P1_joint,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,-0.2986466344605369,0.014383802098026366,0.060110425411962265,True,True,True,True,False,P1,-9.862566926039409e-05,7.149441100895437e-05,0.007515563841297135,True,False,True,False,0.857275976580854,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_002,zero,target_on,J4_D3_P2_joint,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2986466344605369,0.014383802098026366,0.060110425411962265,True,True,True,True,False,P2,2.0288159953079857e-05,0.042020314844338325,0.007282067524274355,True,True,True,False,0.857275976580854,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_002,zero,target_off,J1_D3_delay_only,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,-0.2955067173626364,0.014082424447415143,0.0600806312488647,True,True,True,True,False,P1,-9.996319576620574e-05,7.346286900178356e-05,0.007514751689305925,True,False,True,False,0.8572459882282439,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_002,zero,target_off,J2_P1_phase_only,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,-0.2955067173626364,0.014082424447415143,0.0600806312488647,True,True,True,True,False,P1,-9.996319576620574e-05,7.346286900178356e-05,0.007514751689305925,True,False,True,False,0.8572459882282439,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_002,zero,target_off,J3_D3_P1_joint,False,False,UNCERTAIN,True,state_uncertain,True,False,phase,-0.2955067173626364,0.014082424447415143,0.0600806312488647,True,True,True,True,False,P1,-9.996319576620574e-05,7.346286900178356e-05,0.007514751689305925,True,False,True,False,0.8572459882282439,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_002,zero,target_off,J4_D3_P2_joint,False,False,CALIBRATABLE,True,both_components_inside_null_deadband,False,False,none,-0.2955067173626364,0.014082424447415143,0.0600806312488647,True,True,True,True,False,P2,1.9606550207048747e-05,0.042166952658539314,0.007280528238676723,True,True,True,False,0.8572459882282439,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_003,zero,target_on,J1_D3_delay_only,False,False,DECORRELATED,True,state_decorrelated,False,True,coherence,-0.07143115716072287,0.0005362928569005998,0.07926424523232668,True,True,True,True,False,P1,0.007615994260694695,0.1234010561703418,0.012949442977819229,True,True,True,False,0.7873607970126415,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_003,zero,target_on,J2_P1_phase_only,False,False,DECORRELATED,True,state_decorrelated,False,True,coherence,-0.07143115716072287,0.0005362928569005998,0.07926424523232668,True,True,True,True,False,P1,0.007615994260694695,0.1234010561703418,0.012949442977819229,True,True,True,False,0.7873607970126415,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_003,zero,target_on,J3_D3_P1_joint,False,False,DECORRELATED,True,state_decorrelated,False,True,coherence,-0.07143115716072287,0.0005362928569005998,0.07926424523232668,True,True,True,True,False,P1,0.007615994260694695,0.1234010561703418,0.012949442977819229,True,True,True,False,0.7873607970126415,0.0,nan,nan,nan,nan,nan,False,False,False,False
calibration,calibration_003,zero,target_on,J4_D3_P2_joint,False,False,DECORRELATED,True,state_decorrelated,False,True,coherence,-0.07143115716072287,0.0005362928569005998,0.07926424523232668,True,True,True,True,False,P2,0.007315872298450904,0.6304952091707727,0.008575583444822307,True,True,True,False,0.7873607970126415,0.0,nan,nan,nan,nan,nan,False,False,False,False
