case_id,run_id,result_id,period_id,beam_id,roi_name,valid_cells,before_mean_power,after_mean_power,before_median_power,after_median_power,before_rms,after_rms,before_p95,after_p95,before_max,after_max,CA_ROI_dB,phase_model_valid_cells,phase_model_weighted_coherence,phase_model_weighted_circular_rmse_rad,phase_model_median_abs_residual_rad,phase_model_p95_abs_residual_rad,status
temp_config_stage2_period_0000,20260910_133945_723777,GMTI01,0,1,active_support_unmasked,159705,180123.627901478,1405.91924321427,163.70622253418,4.37154054641724,424.409740582704,37.4955896501744,46128.80078125,1349.08959960938,1355987200,2865502,21.0761031029718,159705,0.996253133380972,0.0938380106762631,0.169451784642434,1.49091040724738,diagnostic_noise_and_clutter_mixed
temp_config_stage2_period_0000,20260910_133945_723777,GMTI01,0,1,clutter_band_strong_power_top10pct,15972,1794486.23057911,13249.8626969807,46125.48046875,548.097808837891,1339.58434993065,115.108047924464,4101302.25,54932.8046875,1355987200,2865502,21.3172875238469,159705,0.996253133380972,0.0938380106762631,0.169451784642434,1.49091040724738,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133945_723777,GMTI01,0,1,clutter_band_strong_power_top1pct,1599,16830054.5678549,61376.2888848666,4074130.25,10899.7734375,4102.44495000907,247.742384110726,66703392,286778.8125,1355987200,2865502,24.3808489879594,159705,0.996253133380972,0.0938380106762631,0.169451784642434,1.49091040724738,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133945_723777,GMTI01,0,1,clutter_band_strong_power_top0p1pct,161,109332413.490683,157253.533515664,65087976,62024.73828125,10456.2141088772,396.552056501619,323924224,544574.3125,1355987200,1695396,28.421485222691,159705,0.996253133380972,0.0938380106762631,0.169451784642434,1.49091040724738,formal_clutter_band_strong_roi_before_power_selected
