family,level,value,p38_k_rad_per_hz,p38_b_rad,csi_coherence,csi_cancellation_db
M1_fractional_channel_delay,zero,0.0,0.00103771488647908,-0.00360185001045465,0.998166553220252,24.3406945043149
M1_fractional_channel_delay,weak,2.083333333333333,0.00103992316871881,-0.00377508881501853,0.997811633139689,23.5731573793119
M1_fractional_channel_delay,moderate,4.166666666666667,0.00103663746267557,-0.0047738547436893,0.996322840897799,21.325964853279
M1_fractional_channel_delay,strong,8.333333333333334,0.000934984709601849,-0.0365729704499245,0.973068868264005,12.6867662322749
M2_pulse_varying_differential_phase,zero,0.0,0.00103771488647908,-0.00360185001045465,0.998166553220252,24.3406945043149
M2_pulse_varying_differential_phase,weak,0.05,0.00103935331571847,-0.00253207911737263,0.998146283040561,24.2823529966846
M2_pulse_varying_differential_phase,moderate,0.2,0.00104244495742023,0.000678683049045503,0.997834437380234,23.5695468311076
M2_pulse_varying_differential_phase,strong,0.5,0.0010408004745841,0.00675451103597879,0.996056030993494,20.9192022401485
M3_internal_clutter_motion,static_regression,1.0,0.00103771488647908,-0.00360185001045465,0.998166553220252,24.3406945043149
M3_internal_clutter_motion,weak_motion,0.99,0.00190353358630091,-0.00380486762151122,0.990635552894371,17.2678298932299
M3_internal_clutter_motion,moderate_motion,0.95,0.00369135872460902,-0.00718204583972692,0.965663106683647,11.6263422238326
M3_internal_clutter_motion,strong_motion,0.8,0.00616518128663301,-0.0217201076447964,0.92534842579105,8.25927858114082
