family,level,value,rho_median,gate_rows,gate_bypassed_rows,coherence_gate_pass_fraction,coherence_gate_bypass_fraction,csi_coherence
M1_fractional_channel_delay,zero,0.0,0.9880464973902173,39,0,1.0,0.0,0.998166553220252
M1_fractional_channel_delay,weak,2.083333333333333,0.9846874651311871,39,0,1.0,0.0,0.997811633139689
M1_fractional_channel_delay,moderate,4.166666666666667,0.9703573524035076,39,0,1.0,0.0,0.996322840897799
M1_fractional_channel_delay,strong,8.333333333333334,0.8669654364224335,39,0,1.0,0.0,0.973068868264005
M2_pulse_varying_differential_phase,zero,0.0,0.9880464973902173,39,0,1.0,0.0,0.998166553220252
M2_pulse_varying_differential_phase,weak,0.05,0.9871571186084585,39,0,1.0,0.0,0.998146283040561
M2_pulse_varying_differential_phase,moderate,0.2,0.9857757043996248,39,0,1.0,0.0,0.997834437380234
M2_pulse_varying_differential_phase,strong,0.5,0.9735637158493393,39,0,1.0,0.0,0.996056030993494
M3_internal_clutter_motion,static_regression,1.0,0.9880464973902173,39,0,1.0,0.0,0.998166553220252
M3_internal_clutter_motion,weak_motion,0.99,0.9785550865514165,39,0,1.0,0.0,0.990635552894371
M3_internal_clutter_motion,moderate_motion,0.95,0.9486327033242595,39,0,1.0,0.0,0.965663106683647
M3_internal_clutter_motion,strong_motion,0.8,0.8954343777707847,39,0,1.0,0.0,0.92534842579105
