family,level,value,phase_rmse_rad,phase_signature,wideband_delay_ns,csi_rmse_rad,residual_summary
M1_fractional_channel_delay,zero,0.0,0.19236126382841534,nonlinear_or_mixed_trend,-0.17979963065696203,0.062857705178863,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M1_fractional_channel_delay/zero/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,weak,2.083333333333333,0.21878279845110735,nonlinear_or_mixed_trend,-0.11340091807848666,0.0688967816024408,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M1_fractional_channel_delay/weak/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,moderate,4.166666666666667,0.30360119421389514,nonlinear_or_mixed_trend,-0.11383024778996148,0.0916248557737103,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M1_fractional_channel_delay/moderate/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,strong,8.333333333333334,0.7643459426807205,nonlinear_or_mixed_trend,-1.477242887727049,0.258279011028867,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M1_fractional_channel_delay/strong/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,zero,0.0,0.19236126382841534,nonlinear_or_mixed_trend,-0.17979963065696203,0.062857705178863,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M2_pulse_varying_differential_phase/zero/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,weak,0.05,0.193928651408242,nonlinear_or_mixed_trend,-0.1903573276539196,0.0633165123283682,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M2_pulse_varying_differential_phase/weak/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,moderate,0.2,0.20848958170689713,nonlinear_or_mixed_trend,-0.20055669245362606,0.0689772222561702,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M2_pulse_varying_differential_phase/moderate/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,strong,0.5,0.28596384355119875,constant_offset_or_random_residual,-0.2268867931136309,0.0955201384663031,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M2_pulse_varying_differential_phase/strong/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,static_regression,1.0,0.19236126382841534,nonlinear_or_mixed_trend,-0.17979963065696203,0.062857705178863,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M3_internal_clutter_motion/static_regression/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,weak_motion,0.99,0.33722349220926057,nonlinear_or_mixed_trend,-0.3341045740567932,0.14130239988029,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M3_internal_clutter_motion/weak_motion/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,moderate_motion,0.95,0.4672912847462215,constant_offset_or_random_residual,-0.8539188333034518,0.269184844965813,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M3_internal_clutter_motion/moderate_motion/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,strong_motion,0.8,0.5947485469123093,constant_offset_or_random_residual,-1.1863405610756894,0.4027264023631,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091012/M3_internal_clutter_motion/strong_motion/residual_texture/residual_texture_summary.json
