split,scene_id,family,snr_db,method,target_id,target_row,target_col,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,on_roi_cells,off_roi_cells,target_only_roi_cells,L_causal_dB,L_target_only_dB,peak_transfer_dB,integrated_roi_energy_candidate,integrated_roi_energy_current,range_centroid_shift_cells,doppler_centroid_shift_cells,peak_bin_shift_cells,roi_spreading_delta_cells,delta_definition,target_only_definition,delta_cell_count,delta_sum_real,delta_sum_imag,delta_energy,delta_peak_abs,delta_peak_real,delta_peak_imag,delta_peak_row,delta_peak_col,delta_centroid_row,delta_centroid_col,delta_spread_rms_cells,target_only_cell_count,target_only_sum_real,target_only_sum_imag,target_only_energy,target_only_peak_abs,target_only_peak_real,target_only_peak_imag,target_only_peak_row,target_only_peak_col,target_only_centroid_row,target_only_centroid_col,target_only_spread_rms_cells,oracle_lambda,j7_routing
test_v3,test_v3_000,zero,10.0,J0_Current,MISMATCH_B01_S000_R00,14,350,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,29342021.064240098,29342021.064240098,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,4874.50366923213,2397.1019548736513,29342021.064240098,5001.87584769515,4454.839906990528,2274.4589244127274,15,350,15.004014476065704,349.96476149648987,0.5561884462695362,25,3633.404182434082,-4056.299270629883,29528899.759807754,5024.548013868107,3448.08837890625,-3654.69140625,15,350,15.004016790838605,349.99492920228465,0.5552819830183925,,False
test_v3,test_v3_000,zero,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,14,350,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,29342021.064240098,29342021.064240098,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,4874.50366923213,2397.1019548736513,29342021.064240098,5001.87584769515,4454.839906990528,2274.4589244127274,15,350,15.004014476065704,349.96476149648987,0.5561884462695362,25,3633.404182434082,-4056.299270629883,29528899.759807754,5024.548013868107,3448.08837890625,-3654.69140625,15,350,15.004016790838605,349.99492920228465,0.5552819830183925,,False
test_v3,test_v3_000,zero,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,14,350,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,29342021.064240098,29342021.064240098,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,4874.50366923213,2397.1019548736513,29342021.064240098,5001.87584769515,4454.839906990528,2274.4589244127274,15,350,15.004014476065704,349.96476149648987,0.5561884462695362,25,3633.404182434082,-4056.299270629883,29528899.759807754,5024.548013868107,3448.08837890625,-3654.69140625,15,350,15.004016790838605,349.99492920228465,0.5552819830183925,,False
test_v3,test_v3_000,zero,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,14,350,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,29342021.064240098,29342021.064240098,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,4874.50366923213,2397.1019548736513,29342021.064240098,5001.87584769515,4454.839906990528,2274.4589244127274,15,350,15.004014476065704,349.96476149648987,0.5561884462695362,25,3633.404182434082,-4056.299270629883,29528899.759807754,5024.548013868107,3448.08837890625,-3654.69140625,15,350,15.004016790838605,349.99492920228465,0.5552819830183925,,True
test_v3,test_v3_000,zero,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,14,350,True,False,True,nan,nan,nan,25,25,25,0.0,0.0,0.0,29342021.064240098,29342021.064240098,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,4874.50366923213,2397.1019548736513,29342021.064240098,5001.87584769515,4454.839906990528,2274.4589244127274,15,350,15.004014476065704,349.96476149648987,0.5561884462695362,25,3633.404182434082,-4056.299270629883,29528899.759807754,5024.548013868107,3448.08837890625,-3654.69140625,15,350,15.004016790838605,349.99492920228465,0.5552819830183925,0.0,False
test_v3,test_v3_001,M1,10.0,J0_Current,MISMATCH_B01_S000_R00,93,523,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,29249045.44267799,29249045.44267799,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-6062.26683485508,-710.0685231685638,29249045.44267799,4971.369521154185,-4924.164875984192,-683.4582576751709,94,523,93.9989356319702,523.0874220943986,0.500906640125599,25,-6161.788166880608,353.1661524772644,29886402.23348118,4938.154459846227,-4936.5595703125,125.49533081054688,94,523,93.9989079227608,523.146738571796,0.5055061210622578,,False
test_v3,test_v3_001,M1,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,93,523,False,False,False,nan,nan,nan,25,25,25,0.0773947693559601,0.00026929264888187165,0.10385561801796105,29774959.139351953,29249045.44267799,-0.1780762832011078,-4.501226824515925e-05,"(0, 0)",0.009587582328178912,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-6107.894699813798,-731.943992421031,29774959.139351953,5031.168079010137,-4984.483428718522,-683.7961597442627,94,523,93.99889061970195,522.9093458111975,0.510494222453778,25,-6075.281644636765,-928.7159180641174,29888255.454805702,5051.85163112919,-4965.45703125,-930.291015625,94,523,93.99887182853492,522.9268780417682,0.515519969523061,,False
test_v3,test_v3_001,M1,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,93,523,False,False,False,nan,nan,nan,25,25,25,0.05625644662515114,-0.0047826072967107796,0.13226824398775897,29630388.23435647,29249045.44267799,-0.12165343384174321,-3.6383962552122284e-05,"(0, 0)",0.004042885000136831,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-6074.709650039673,-804.5012308061123,29630388.23435647,5047.652602693372,-4991.387191295624,-751.565502166748,94,523,93.99889924800765,522.9657686605568,0.5049495251257359,25,-6088.256456583738,-760.0570372343063,29853508.36591334,5063.792232103305,-5001.36376953125,-792.6867065429688,94,523,93.99887867109499,522.9970532887274,0.5080789453890869,,False
test_v3,test_v3_001,M1,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,93,523,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,29249045.44267799,29249045.44267799,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-6062.26683485508,-710.0685231685638,29249045.44267799,4971.369521154185,-4924.164875984192,-683.4582576751709,94,523,93.9989356319702,523.0874220943986,0.500906640125599,25,-6161.788166880608,353.1661524772644,29886402.23348118,4938.154459846227,-4936.5595703125,125.49533081054688,94,523,93.9989079227608,523.146738571796,0.5055061210622578,,True
test_v3,test_v3_001,M1,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,93,523,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,29249045.44267799,29249045.44267799,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-6062.26683485508,-710.0685231685638,29249045.44267799,4971.369521154185,-4924.164875984192,-683.4582576751709,94,523,93.9989356319702,523.0874220943986,0.500906640125599,25,-6161.788166880608,353.1661524772644,29886402.23348118,4938.154459846227,-4936.5595703125,125.49533081054688,94,523,93.9989079227608,523.146738571796,0.5055061210622578,0.0,False
test_v3,test_v3_002,M2,10.0,J0_Current,MISMATCH_B01_S000_R00,16,696,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,41333360.69439454,41333360.69439454,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,6125.8562589511275,-1191.2810688335449,41333360.69439454,6025.757240510727,5934.861595153809,-1042.6735672950745,16,696,16.001187160800452,695.971234571558,0.5258151254147401,25,6159.872975349426,-1069.8277179002762,41511224.33585191,6044.147579551954,5980.25732421875,-876.4943237304688,16,696,16.001283052246784,695.997900431628,0.5248784892072327,,False
test_v3,test_v3_002,M2,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,16,696,False,False,False,nan,nan,nan,25,25,25,0.000778914658754865,0.0007394183430972387,0.001184829116175723,41340774.56889297,41333360.69439454,-1.0418622423458146e-05,-4.4618299448018206e-05,"(0, 0)",-0.00014528060314611402,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,6128.055983066559,-1191.3742099539377,41340774.56889297,6026.579261039301,5935.664343118668,-1042.8549253940582,16,696,16.001142542501004,695.9712241529356,0.525669844811594,25,6155.727556705475,-1105.4146512150764,41518292.52923203,6044.943615710285,5975.88623046875,-911.1130981445312,16,696,16.001236953714976,695.9979002228298,0.5247375948338124,,False
test_v3,test_v3_002,M2,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,16,696,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,41333360.69439454,41333360.69439454,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,6125.8562589511275,-1191.2810688335449,41333360.69439454,6025.757240510727,5934.861595153809,-1042.6735672950745,16,696,16.001187160800452,695.971234571558,0.5258151254147401,25,6159.872975349426,-1069.8277179002762,41511224.33585191,6044.147579551954,5980.25732421875,-876.4943237304688,16,696,16.001283052246784,695.997900431628,0.5248784892072327,,False
test_v3,test_v3_002,M2,10.0,J7_Deterministic_Safe_Expert_Selector,MISMATCH_B01_S000_R00,16,696,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,41333360.69439454,41333360.69439454,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,6125.8562589511275,-1191.2810688335449,41333360.69439454,6025.757240510727,5934.861595153809,-1042.6735672950745,16,696,16.001187160800452,695.971234571558,0.5258151254147401,25,6159.872975349426,-1069.8277179002762,41511224.33585191,6044.147579551954,5980.25732421875,-876.4943237304688,16,696,16.001283052246784,695.997900431628,0.5248784892072327,,True
test_v3,test_v3_002,M2,10.0,Oracle_Safe_Lambda_0_EvaluationOnly,MISMATCH_B01_S000_R00,16,696,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,41333360.69439454,41333360.69439454,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,6125.8562589511275,-1191.2810688335449,41333360.69439454,6025.757240510727,5934.861595153809,-1042.6735672950745,16,696,16.001187160800452,695.971234571558,0.5258151254147401,25,6159.872975349426,-1069.8277179002762,41511224.33585191,6044.147579551954,5980.25732421875,-876.4943237304688,16,696,16.001283052246784,695.997900431628,0.5248784892072327,0.0,False
