method,row_count,active_count,all_scene_gain_db_mean,material_headroom_db,material_row_count,material_active_count,material_recovery_ratio_median,material_recovery_ratio_min,fallback_opportunity_cost_db_sum,fallback_count,material_fallback_opportunity_cost_db_sum,material_fallback_count
J0_Current,112,0,0.0,1.0,16,0,nan,nan,75.5801508489275,112,55.88664088403143,16
J1_D3_delay_only,112,44,0.04301001896838783,1.0,16,0,nan,nan,68.10479563371949,68,55.88664088403143,16
J2_P1_phase_only,112,46,0.0012278788738593893,1.0,16,0,nan,nan,68.72342329603062,66,55.88664088403143,16
J3_D3_P1_joint,112,68,0.04339305053393961,1.0,16,0,nan,nan,66.125814582675,44,55.88664088403143,16
J4_D3_P2_joint,112,70,0.04198951849655407,1.0,16,0,nan,nan,66.36277626817805,42,55.88664088403143,16
J5_Selective_Physics_Calibration,112,76,0.04760839313856007,1.0,16,0,nan,nan,64.46031176980227,32,55.88664088403143,16
J6_Joint_Phase_Surface,112,62,-0.037761589776654905,1.0,16,0,nan,nan,64.46031176980227,32,55.88664088403143,16
