split,scene_id,actual_mechanism,role,method,branch,active,fallback,current_cancellation_db,deterministic_cancellation_db,oracle_cancellation_db,fallback_opportunity_cost_db,recoverable_headroom_db,deterministic_gain_db,remaining_gap_db,recovery_ratio
validation,validation_008,M1,target_off,J0_Current,,False,True,5.86636001853874,5.86636001853874,5.89957286993962,0.03321285140088026,0.03321285140088026,0.0,0.03321285140088026,0.0
validation,validation_008,M1,target_off,J1_D3_delay_only,,True,False,5.86636001853874,5.90129249379011,5.89957286993962,0.0,0.03321285140088026,0.03493247525137022,-0.0017196238504899597,1.0517758571745028
validation,validation_008,M1,target_off,J2_P1_phase_only,,False,True,5.86636001853874,5.86636001853874,5.89957286993962,0.03321285140088026,0.03321285140088026,0.0,0.03321285140088026,0.0
validation,validation_008,M1,target_off,J3_D3_P1_joint,,True,False,5.86636001853874,5.90129249379011,5.89957286993962,0.0,0.03321285140088026,0.03493247525137022,-0.0017196238504899597,1.0517758571745028
validation,validation_008,M1,target_off,J4_D3_P2_joint,,True,False,5.86636001853874,5.90129249379011,5.89957286993962,0.0,0.03321285140088026,0.03493247525137022,-0.0017196238504899597,1.0517758571745028
validation,validation_008,M1,target_off,J5_Selective_Physics_Calibration,D1P0,True,False,5.86636001853874,5.90129249379011,5.89957286993962,0.0,0.03321285140088026,0.03493247525137022,-0.0017196238504899597,1.0517758571745028
validation,validation_008,M1,target_off,J6_Joint_Phase_Surface,D1P0,True,False,5.86636001853874,5.90443210834356,5.89957286993962,0.0,0.03321285140088026,0.03807208980482013,-0.0048592384039398695,1.1463059688940493
validation,validation_008,M1,target_on,J0_Current,,False,True,5.86624202725694,5.86624202725694,5.89941750347498,0.03317547621803918,0.03317547621803918,0.0,0.03317547621803918,0.0
validation,validation_008,M1,target_on,J1_D3_delay_only,,True,False,5.86624202725694,5.90113884338103,5.89941750347498,0.0,0.03317547621803918,0.0348968161240899,-0.0017213399060507228,1.051885914002788
validation,validation_008,M1,target_on,J2_P1_phase_only,,False,True,5.86624202725694,5.86624202725694,5.89941750347498,0.03317547621803918,0.03317547621803918,0.0,0.03317547621803918,0.0
validation,validation_008,M1,target_on,J3_D3_P1_joint,,True,False,5.86624202725694,5.90113884338103,5.89941750347498,0.0,0.03317547621803918,0.0348968161240899,-0.0017213399060507228,1.051885914002788
validation,validation_008,M1,target_on,J4_D3_P2_joint,,True,False,5.86624202725694,5.90113884338103,5.89941750347498,0.0,0.03317547621803918,0.0348968161240899,-0.0017213399060507228,1.051885914002788
validation,validation_008,M1,target_on,J5_Selective_Physics_Calibration,D1P0,True,False,5.86624202725694,5.90113884338103,5.89941750347498,0.0,0.03317547621803918,0.0348968161240899,-0.0017213399060507228,1.051885914002788
validation,validation_008,M1,target_on,J6_Joint_Phase_Surface,D1P0,True,False,5.86624202725694,5.90428924524366,5.89941750347498,0.0,0.03317547621803918,0.03804721798671995,-0.004871741768680771,1.1468476816025857
validation,validation_009,M1,target_off,J0_Current,,False,True,5.05730596579279,5.05730596579279,4.72901731440222,-0.3282886513905705,-0.3282886513905705,0.0,-0.3282886513905705,
validation,validation_009,M1,target_off,J1_D3_delay_only,,True,False,5.05730596579279,4.70105156562627,4.72901731440222,0.0,-0.3282886513905705,-0.3562544001665202,0.027965748775949706,
validation,validation_009,M1,target_off,J2_P1_phase_only,,False,True,5.05730596579279,5.05730596579279,4.72901731440222,-0.3282886513905705,-0.3282886513905705,0.0,-0.3282886513905705,
validation,validation_009,M1,target_off,J3_D3_P1_joint,,True,False,5.05730596579279,4.70105156562627,4.72901731440222,0.0,-0.3282886513905705,-0.3562544001665202,0.027965748775949706,
