method,row_count,active_count,all_scene_gain_db_mean,material_headroom_db,material_row_count,material_active_count,material_recovery_ratio_median,material_recovery_ratio_min,fallback_opportunity_cost_db_sum,fallback_count,material_fallback_opportunity_cost_db_sum,material_fallback_count
J0_Current,112,0,0.0,0.5,38,0,nan,nan,75.5801508489275,112,70.72853916395876,38
J1_D3_delay_only,112,44,0.04301001896838783,0.5,38,8,0.8501168351390852,0.1798242290870999,68.10479563371949,68,65.1393646056302,30
J2_P1_phase_only,112,46,0.0012278788738593893,0.5,38,6,0.00907662769396183,0.0074235921280905795,68.72342329603062,66,66.97186014386327,32
J3_D3_P1_joint,112,68,0.04339305053393961,0.5,38,10,0.7106636348252922,0.02757408055152931,66.125814582675,44,64.05310716096758,28
J4_D3_P2_joint,112,70,0.04198951849655407,0.5,38,10,0.7106636348252922,0.0275973297401495,66.36277626817805,42,64.05310716096758,28
J5_Selective_Physics_Calibration,112,76,0.04760839313856007,0.5,38,12,0.8425966146091477,0.02757408055152931,64.46031176980227,32,62.978941554327264,26
J6_Joint_Phase_Surface,112,62,-0.037761589776654905,0.5,38,12,1.024885690540671,0.0797126244356222,64.46031176980227,32,62.978941554327264,26
