method,metric,scene_count,mean,median,bootstrap_ci95,bootstrap_unit,split
J0_Current,pfa,12,0.008557682676898421,0.008901261248767259,"[0.0070260834803634546, 0.009845131216356426]",scene,snr-screen
J0_Current,false_clusters,12,28.333333333333332,24.25,"[17.62291666666667, 39.91770833333332]",scene,snr-screen
J5_Selective_Physics_Calibration,pfa,12,0.008557120880588428,0.008902224328155819,"[0.007022052591839251, 0.009838154910035545]",scene,snr-screen
J5_Selective_Physics_Calibration,false_clusters,12,29.916666666666668,29.0,"[19.123958333333334, 41.5]",scene,snr-screen
J6_Joint_Phase_Surface,pfa,12,0.00856859757663544,0.0089075212647929,"[0.007042510003184582, 0.009844447028707471]",scene,snr-screen
J6_Joint_Phase_Surface,false_clusters,12,31.0,28.0,"[19.998958333333334, 42.66770833333332]",scene,snr-screen
