split,scene_id,family,snr_db,method,target_id,target_row,target_col,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,on_roi_cells,off_roi_cells,target_only_roi_cells,L_causal_dB,L_target_only_dB,peak_transfer_dB,integrated_roi_energy_candidate,integrated_roi_energy_current,range_centroid_shift_cells,doppler_centroid_shift_cells,peak_bin_shift_cells,roi_spreading_delta_cells,delta_definition,target_only_definition,delta_cell_count,delta_sum_real,delta_sum_imag,delta_energy,delta_peak_abs,delta_peak_real,delta_peak_imag,delta_peak_row,delta_peak_col,delta_centroid_row,delta_centroid_col,delta_spread_rms_cells,target_only_cell_count,target_only_sum_real,target_only_sum_imag,target_only_energy,target_only_peak_abs,target_only_peak_real,target_only_peak_imag,target_only_peak_row,target_only_peak_col,target_only_centroid_row,target_only_centroid_col,target_only_spread_rms_cells
target_transfer_snr_screen,target_transfer_snr_screen_000,M1,10.0,J0_Current,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,449520.82411724725,449520.82411724725,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,180.79978281259537,537.5830426216125,449520.82411724725,632.8914696070218,65.18204307556152,629.5259435176849,67,350,66.9770951564071,350.0012990558647,0.54416225068186,25,-4194.9426020383835,5546.198962211609,50557723.38734219,6816.271268405207,-4443.20654296875,5169.087890625,64,350,64.00735879606165,350.075434105636,0.3944958035966207
target_transfer_snr_screen,target_transfer_snr_screen_000,M1,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-0.6878914662007779,-29.471294050904685,-0.9929301562435712,383672.49710473884,449520.82411724725,-0.013809057787682377,0.011223204964565525,"(0, 0)",0.02117154484220729,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,303.32826232910156,622.2498454749584,383672.49710473884,564.524421379487,63.53536248207092,560.9376792907715,67,350,66.98831836137167,349.987489998077,0.5653337955240673,25,89.15508437156677,-256.95456659793854,57102.892069415095,200.2113426705441,-53.853515625,-192.83251953125,64,350,64.42013709046942,349.89756889472864,1.08647326830179
target_transfer_snr_screen,target_transfer_snr_screen_000,M1,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-1.2553152579589868,-30.540125485799226,-1.4184819470636074,336680.75274583173,449520.82411724725,-0.04630837464424076,-0.015882799689791227,"(0, 0)",0.024087427255773952,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,54.80329978466034,-666.3287013173103,336680.75274583173,537.5330164815057,-125.36254024505615,-522.7102230787277,67,350,66.96121235671731,349.95499068122047,0.5682496779376339,25,62.55768346786499,-204.33998489379883,44645.21932895271,172.40168917942128,-45.85009765625,-166.1929931640625,64,350,64.56305212317065,349.88054699448145,1.2390510064887068
target_transfer_snr_screen,target_transfer_snr_screen_001,M2,10.0,J0_Current,MISMATCH_B01_S000_R00,105,487,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,34138748.10096615,34138748.10096615,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-721.7042728066444,5743.254331856966,34138748.10096615,5494.774765749003,-759.2117099761963,5442.071968078613,105,487,104.99973173793688,486.9713358716619,0.5107739144791015,25,-3711.9188491106033,4469.994011200964,34352109.016783044,5517.253525414453,-3632.293701171875,4152.89404296875,105,487,104.99999309176589,486.99823420280904,0.5100451810149923
target_transfer_snr_screen,target_transfer_snr_screen_001,M2,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,105,487,False,False,False,nan,nan,nan,25,25,25,0.0038696362045692427,0.0037046714451474403,0.004287866612047742,34169179.84999645,34138748.10096615,-2.3540486665751814e-05,-8.888585327326837e-06,"(0, 0)",-0.00014830458267933722,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-733.5503244996071,5748.773980677128,34169179.84999645,5497.487979790642,-768.6759147644043,5443.4833908081055,105,487,104.99972284935156,486.9713123311752,0.5106256098964221,25,-3716.24078925699,4475.233324617147,34381424.97126316,5519.840799520267,-3632.8837890625,4155.81494140625,105,487,104.99998015654306,486.99823370561563,0.5099119391685766
target_transfer_snr_screen,target_transfer_snr_screen_001,M2,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,105,487,False,False,False,nan,nan,nan,25,25,25,0.08671992421477358,0.08371881627963246,0.02808678811236319,34827282.085170105,34138748.10096615,-0.0014546880346415492,0.0010241788926776962,"(0, 0)",0.021240711537416135,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-995.3091742387041,5753.506831765175,34827282.085170105,5512.571488100172,-904.7149085998535,5437.824504852295,105,487,105.00075591682956,486.96988118362725,0.5320146260165176,25,-3895.9018697738647,4366.033233642578,35020737.446010485,5533.318921592736,-3714.688232421875,4101.06201171875,105,487,105.00072049102984,486.9982061792814,0.5311040222954061
target_transfer_snr_screen,target_transfer_snr_screen_002,M1+M2,10.0,J0_Current,MISMATCH_B01_S000_R00,123,624,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,28633413.81736071,28633413.81736071,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-6452.663716495037,-78.38568586111069,28633413.81736071,4295.772461791414,-4248.542751312256,-635.2523386478424,124,624,123.99496458949328,624.3566986460387,0.5386232536309968,25,-4902.261718064547,-4825.869596242905,31195354.473634608,3928.1261889731686,-2628.619140625,-2918.995849609375,124,625,123.99820207605886,624.5042761186514,0.5465245915913522
target_transfer_snr_screen,target_transfer_snr_screen_002,M1+M2,10.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,123,624,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,28633413.81736071,28633413.81736071,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-6452.663716495037,-78.38568586111069,28633413.81736071,4295.772461791414,-4248.542751312256,-635.2523386478424,124,624,123.99496458949328,624.3566986460387,0.5386232536309968,25,-4902.261718064547,-4825.869596242905,31195354.473634608,3928.1261889731686,-2628.619140625,-2918.995849609375,124,625,123.99820207605886,624.5042761186514,0.5465245915913522
target_transfer_snr_screen,target_transfer_snr_screen_002,M1+M2,10.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,123,624,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,28633413.81736071,28633413.81736071,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-6452.663716495037,-78.38568586111069,28633413.81736071,4295.772461791414,-4248.542751312256,-635.2523386478424,124,624,123.99496458949328,624.3566986460387,0.5386232536309968,25,-4902.261718064547,-4825.869596242905,31195354.473634608,3928.1261889731686,-2628.619140625,-2918.995849609375,124,625,123.99820207605886,624.5042761186514,0.5465245915913522
target_transfer_snr_screen,target_transfer_snr_screen_003,M1+M3,10.0,J0_Current,MISMATCH_B01_S000_R00,4,761,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,36994637.30398958,36994637.30398958,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,2834.7047275304794,-4578.007169246674,36994637.30398958,4004.6812681262054,2145.8362884521484,-3381.2510528564453,4,761,4.140032175240233,761.4439041600676,0.7677742405835761,25,-5092.432657241821,-2597.5513458251953,39660711.00618829,4410.702132360085,-3756.61376953125,-2311.308349609375,4,762,4.132876022834765,761.6112905616022,0.7561474128632215
