beam_index,theta_cmd_deg,pair,effective_sample_count,cross_real,cross_imag,cross_magnitude,phase_rad,right_minus_left_phase_rad,coherence
0,-6.0,C12,32768,-0.1831980303037562,-0.13120293412164472,0.22533470267427655,-2.5200893577883603,2.5200893577883603,0.0068794092388837595
0,-6.0,C13,32768,-0.044386423756220164,-0.08342441202587962,0.0944975509509663,-2.0597583330568896,,0.0028986869651695564
0,-6.0,C14,32768,0.10695002806046106,0.07645639863105326,0.13146820677929677,0.6206426572942875,-0.6206426572942875,0.004006225914741276
0,-6.0,C23,32768,-0.19827443297578526,-0.18114300388114815,0.2685619828400044,-2.401315772775441,-2.401315772775441,0.008221060108337517
0,-6.0,C24,32768,-0.19281174244417063,-0.030222472339008256,0.19516599565149484,-2.9861117541394537,,0.00593500607514323
0,-6.0,C34,32768,0.01508870206749894,-0.10536423780222996,0.10643914476228476,-1.4285582363471272,1.4285582363471272,0.0032520579422628745
1,-4.0,C12,32768,0.06395618163537625,-0.010383328358135727,0.0647935697208458,-0.1609464040455636,0.1609464040455636,0.001965586355883276
1,-4.0,C13,32768,0.03415682647037907,-0.03943694360660705,0.05217241910778427,-0.8570222292523445,,0.001589568850281987
1,-4.0,C14,32768,-0.1820430402582508,0.04337795749926423,0.18713982928087514,2.907670773942883,-2.907670773942883,0.005674214446057111
1,-4.0,C23,32768,0.11988814191397817,-0.18266757657313604,0.2184962473423484,-0.989991972202898,-0.989991972202898,0.0066658664148581594
1,-4.0,C24,32768,0.05340966568319198,-0.169823896683426,0.17802457210490155,-1.2660901643929094,,0.005404992872327429
1,-4.0,C34,32768,0.03881045218187382,-0.15088296270221854,0.15579447882502315,-1.319031906134132,1.319031906134132,0.004750542005031354
2,-2.0,C12,32768,0.10772636741868064,-0.24881150067968077,0.2711312101321044,-1.1621996712470597,1.1621996712470597,0.008249394388711242
2,-2.0,C13,32768,0.09177717016341963,0.028373861368977387,0.09606313013946209,0.29983944734722834,,0.0029270765025196724
