case_id,run_id,result_id,period_id,beam_id,roi_name,valid_cells,before_mean_power,after_mean_power,before_median_power,after_median_power,before_rms,after_rms,before_p95,after_p95,before_max,after_max,CA_ROI_dB,phase_model_valid_cells,phase_model_weighted_coherence,phase_model_weighted_circular_rmse_rad,phase_model_median_abs_residual_rad,phase_model_p95_abs_residual_rad,status
temp_config_stage2_period_0000,20260910_133805_086850,GMTI01,0,1,active_support_unmasked,159705,156448.049639438,10298.796340646,296.423797607422,20.1137409210205,395.535143368371,101.482985473655,100501.2421875,13028.9921875,584904512,21906160,11.8158368335189,159705,0.967091779741371,0.263733935929927,0.282977181882456,1.60271208028949,diagnostic_noise_and_clutter_mixed
temp_config_stage2_period_0000,20260910_133805_086850,GMTI01,0,1,clutter_band_strong_power_top10pct,15972,1554214.78510935,100621.85105011,100472.3515625,10777.4487304688,1246.68150909098,317.209475032052,5062304,432180.375,584904512,21906160,11.8881873365925,159705,0.967091779741371,0.263733935929927,0.282977181882456,1.60271208028949,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133805_086850,GMTI01,0,1,clutter_band_strong_power_top1pct,1599,13297045.1199187,566756.35773509,5040229,212231.21875,3646.51136292192,752.832224160928,46917568,2300127,584904512,21906160,13.7035874178312,159705,0.967091779741371,0.263733935929927,0.282977181882456,1.60271208028949,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133805_086850,GMTI01,0,1,clutter_band_strong_power_top0p1pct,161,70940239.2546584,1735674.93828247,46243500,754826,8422.60287884086,1317.45016538861,171221808,5832982.5,584904512,21906160,16.1142425619421,159705,0.967091779741371,0.263733935929927,0.282977181882456,1.60271208028949,formal_clutter_band_strong_roi_before_power_selected
