case_id,test,value,threshold,passed
fixed_angle_v_m4,spatial_normalized_complex_correlation,0.9999998869007583,0.9,True
fixed_angle_v_m4,jdl_normalized_complex_correlation,0.8066686815909936,0.8,True
fixed_angle_v_m4,spatial_phase_error_rms_rad,0.00010351930079834127,0.4,True
fixed_angle_v_m4,jdl_phase_error_rms_rad,0.5230470724058833,0.6,True
fixed_angle_v_m4,spatial_amplitude_normalized_error,0.0004642006454874553,0.25,True
fixed_angle_v_m4,velocity_spatial_invariance_corr,1.0,0.9,True
fixed_angle_v_m1,spatial_normalized_complex_correlation,0.9999999259271207,0.9,True
fixed_angle_v_m1,jdl_normalized_complex_correlation,0.8576365717380608,0.8,True
fixed_angle_v_m1,spatial_phase_error_rms_rad,2.1569090245367165e-05,0.4,True
fixed_angle_v_m1,jdl_phase_error_rms_rad,0.4813019984730413,0.6,True
fixed_angle_v_m1,spatial_amplitude_normalized_error,0.0003842922494845136,0.25,True
fixed_angle_v_m1,velocity_spatial_invariance_corr,0.9999999934332381,0.9,True
fixed_angle_v_0,spatial_normalized_complex_correlation,0.999999999969826,0.9,True
fixed_angle_v_0,jdl_normalized_complex_correlation,0.9998452531466476,0.8,True
fixed_angle_v_0,spatial_phase_error_rms_rad,7.766873010318131e-06,0.4,True
fixed_angle_v_0,jdl_phase_error_rms_rad,0.009017580706516542,0.6,True
fixed_angle_v_0,spatial_amplitude_normalized_error,1.524320692156662e-07,0.25,True
fixed_angle_v_0,velocity_spatial_invariance_corr,0.9999998869703342,0.9,True
fixed_angle_v_p1,spatial_normalized_complex_correlation,0.9999999212001669,0.9,True
fixed_angle_v_p1,jdl_normalized_complex_correlation,0.858541796674759,0.8,True
fixed_angle_v_p1,spatial_phase_error_rms_rad,2.4737345192284754e-05,0.4,True
fixed_angle_v_p1,jdl_phase_error_rms_rad,0.5180703140501748,0.6,True
fixed_angle_v_p1,spatial_amplitude_normalized_error,0.00039621677140688896,0.25,True
fixed_angle_v_p1,velocity_spatial_invariance_corr,0.9999996266405036,0.9,True
fixed_angle_v_p4,spatial_normalized_complex_correlation,0.9999998909460033,0.9,True
fixed_angle_v_p4,jdl_normalized_complex_correlation,0.8066847793380594,0.8,True
fixed_angle_v_p4,spatial_phase_error_rms_rad,9.955754960146965e-05,0.4,True
fixed_angle_v_p4,jdl_phase_error_rms_rad,0.4990372486654079,0.6,True
fixed_angle_v_p4,spatial_amplitude_normalized_error,0.0004562853151489812,0.25,True
fixed_angle_v_p4,velocity_spatial_invariance_corr,0.999999576109777,0.9,True
angle_offset_m075,spatial_normalized_complex_correlation,0.9999999991693589,0.9,True
angle_offset_m075,jdl_normalized_complex_correlation,0.9982876966396549,0.8,True
angle_offset_m075,spatial_phase_error_rms_rad,9.791420615377409e-06,0.4,True
angle_offset_m075,jdl_phase_error_rms_rad,0.05808437460007446,0.6,True
angle_offset_m075,spatial_amplitude_normalized_error,3.956526659786116e-05,0.25,True
angle_offset_0,spatial_normalized_complex_correlation,0.9999999357570035,0.9,True
angle_offset_0,jdl_normalized_complex_correlation,0.8801622380151906,0.8,True
angle_offset_0,spatial_phase_error_rms_rad,1.585641842035207e-05,0.4,True
angle_offset_0,jdl_phase_error_rms_rad,0.49761342357621147,0.6,True
angle_offset_0,spatial_amplitude_normalized_error,0.000358098543758474,0.25,True
angle_offset_p075,spatial_normalized_complex_correlation,0.9999999417646895,0.9,True
angle_offset_p075,jdl_normalized_complex_correlation,0.8917485643287129,0.8,True
angle_offset_p075,spatial_phase_error_rms_rad,2.4848459978316487e-05,0.4,True
angle_offset_p075,jdl_phase_error_rms_rad,0.4508068462534858,0.6,True
angle_offset_p075,spatial_amplitude_normalized_error,0.00034037211217957533,0.25,True
range_bin_1200,spatial_normalized_complex_correlation,0.9999999332190483,0.9,True
range_bin_1200,jdl_normalized_complex_correlation,0.8812556398167102,0.8,True
range_bin_1200,spatial_phase_error_rms_rad,1.2508332545860768e-05,0.4,True
range_bin_1200,jdl_phase_error_rms_rad,0.45748302812224706,0.6,True
range_bin_1200,spatial_amplitude_normalized_error,0.0003652471010783201,0.25,True
range_bin_2200,spatial_normalized_complex_correlation,0.9999999385788435,0.9,True
range_bin_2200,jdl_normalized_complex_correlation,0.8798303648297944,0.8,True
range_bin_2200,spatial_phase_error_rms_rad,1.2222691653348567e-05,0.4,True
range_bin_2200,jdl_phase_error_rms_rad,0.4453883484614097,0.6,True
range_bin_2200,spatial_amplitude_normalized_error,0.0003502754902890373,0.25,True
range_bin_3200,spatial_normalized_complex_correlation,0.999999942557264,0.9,True
range_bin_3200,jdl_normalized_complex_correlation,0.8773312861660117,0.8,True
range_bin_3200,spatial_phase_error_rms_rad,9.30101874956644e-06,0.4,True
range_bin_3200,jdl_phase_error_rms_rad,0.44857459563034363,0.6,True
range_bin_3200,spatial_amplitude_normalized_error,0.00033881995629454255,0.25,True
