factor,factor_level,method,comparison_protocol,n_cases,n_seeds,failure_rate,SCNR_improvement_dB__mean,SCNR_improvement_dB__std,SCNR_improvement_dB__ci95_low,SCNR_improvement_dB__ci95_high,SCNR_improvement_dB__p05,SCNR_improvement_dB__p95,target_loss_dB__mean,target_loss_dB__std,target_loss_dB__ci95_low,target_loss_dB__ci95_high,target_loss_dB__p05,target_loss_dB__p95,residual_suppression_dB__mean,residual_suppression_dB__std,residual_suppression_dB__ci95_low,residual_suppression_dB__ci95_high,residual_suppression_dB__p05,residual_suppression_dB__p95,background_residual_p95_dB_over_input_median__mean,background_residual_p95_dB_over_input_median__std,background_residual_p95_dB_over_input_median__ci95_low,background_residual_p95_dB_over_input_median__ci95_high,background_residual_p95_dB_over_input_median__p05,background_residual_p95_dB_over_input_median__p95,background_residual_p99_dB_over_input_median__mean,background_residual_p99_dB_over_input_median__std,background_residual_p99_dB_over_input_median__ci95_low,background_residual_p99_dB_over_input_median__ci95_high,background_residual_p99_dB_over_input_median__p05,background_residual_p99_dB_over_input_median__p95,background_residual_cvar95_dB_over_input_median__mean,background_residual_cvar95_dB_over_input_median__std,background_residual_cvar95_dB_over_input_median__ci95_low,background_residual_cvar95_dB_over_input_median__ci95_high,background_residual_cvar95_dB_over_input_median__p05,background_residual_cvar95_dB_over_input_median__p95,high_tail_fraction_15dB__mean,high_tail_fraction_15dB__std,high_tail_fraction_15dB__ci95_low,high_tail_fraction_15dB__ci95_high,high_tail_fraction_15dB__p05,high_tail_fraction_15dB__p95,background_Pfa__mean,background_Pfa__std,background_Pfa__ci95_low,background_Pfa__ci95_high,background_Pfa__p05,background_Pfa__p95,Pd__mean,Pd__std,Pd__successes,Pd__trials,Pd__ci95_low,Pd__ci95_high,Pd__p05,Pd__p95,runtime_ms__mean,runtime_ms__std,runtime_ms__ci95_low,runtime_ms__ci95_high,runtime_ms__p05,runtime_ms__p95
mixed_stress,lhs_01,Corrected JDL physical,scientific_controlled,1,1,0.0,-2.045047912669723,nan,-2.045047912669723,nan,-2.045047912669723,-2.045047912669723,0.8396070881627559,nan,0.8396070881627559,nan,0.8396070881627559,0.8396070881627559,-1.6957149443766109,nan,-1.6957149443766109,nan,-1.6957149443766109,-1.6957149443766109,25.636195917700107,nan,25.636195917700107,nan,25.636195917700107,25.636195917700107,37.29408261228031,nan,37.29408261228031,nan,37.29408261228031,37.29408261228031,41.51056722119088,nan,41.51056722119088,nan,41.51056722119088,41.51056722119088,0.14851507466892083,nan,0.14851507466892083,nan,0.14851507466892083,0.14851507466892083,0.006127674101046882,nan,0.006127674101046882,nan,0.006127674101046882,0.006127674101046882,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,4406.838655999991,nan,4406.838655999991,nan,4406.838655999991,4406.838655999991
mixed_stress,lhs_01,Current legacy CSI [production replay],production_replay,1,1,0.0,10.871267795546256,nan,10.871267795546256,nan,10.871267795546256,10.871267795546256,-0.31383917797887506,nan,-0.31383917797887506,nan,-0.31383917797887506,-0.31383917797887506,18.662078401700622,nan,18.662078401700622,nan,18.662078401700622,18.662078401700622,12.465323675650154,nan,12.465323675650154,nan,12.465323675650154,12.465323675650154,19.43916669542242,nan,19.43916669542242,nan,19.43916669542242,19.43916669542242,19.95683358915279,nan,19.95683358915279,nan,19.95683358915279,19.95683358915279,0.028697285620362542,nan,0.028697285620362542,nan,0.028697285620362542,0.028697285620362542,0.010595888332574722,nan,0.010595888332574722,nan,0.010595888332574722,0.010595888332574722,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,436.81443900004524,nan,436.81443900004524,nan,436.81443900004524,436.81443900004524
mixed_stress,lhs_01,Current legacy CSI [scientific controlled],scientific_controlled,1,1,0.0,10.95727430772563,nan,10.95727430772563,nan,10.95727430772563,10.95727430772563,-0.27288836412461137,nan,-0.27288836412461137,nan,-0.27288836412461137,-0.27288836412461137,18.66724159196902,nan,18.66724159196902,nan,18.66724159196902,18.66724159196902,12.46788253616212,nan,12.46788253616212,nan,12.46788253616212,12.46788253616212,19.4361947119072,nan,19.4361947119072,nan,19.4361947119072,19.4361947119072,19.95047220367794,nan,19.95047220367794,nan,19.95047220367794,19.95047220367794,0.028723584108199494,nan,0.028723584108199494,nan,0.028723584108199494,0.028723584108199494,0.010603474434835381,nan,0.010603474434835381,nan,0.010603474434835381,0.010603474434835381,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,246.40052399990964,nan,246.40052399990964,nan,246.40052399990964,246.40052399990964
mixed_stress,lhs_01,DL-SMI/MVDR global,scientific_controlled,1,1,0.0,-0.048083308068232355,nan,-0.048083308068232355,nan,-0.048083308068232355,-0.048083308068232355,-0.24441211484808834,nan,-0.24441211484808834,nan,-0.24441211484808834,-0.24441211484808834,-0.10294434576718407,nan,-0.10294434576718407,nan,-0.10294434576718407,-0.10294434576718407,24.66061534951653,nan,24.66061534951653,nan,24.66061534951653,24.66061534951653,35.734293481854465,nan,35.734293481854465,nan,35.734293481854465,35.734293481854465,39.88369584477485,nan,39.88369584477485,nan,39.88369584477485,39.88369584477485,0.15370526908988447,nan,0.15370526908988447,nan,0.15370526908988447,0.15370526908988447,0.0053899256561978455,nan,0.0053899256561978455,nan,0.0053899256561978455,0.0053899256561978455,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,2519.620912000164,nan,2519.620912000164,nan,2519.620912000164,2519.620912000164
mixed_stress,lhs_01,DL-SMI/MVDR local,scientific_controlled,1,1,0.0,-0.43741096307705973,nan,-0.43741096307705973,nan,-0.43741096307705973,-0.43741096307705973,-0.44128922179824925,nan,-0.44128922179824925,nan,-0.44128922179824925,-0.44128922179824925,0.3448954362043743,nan,0.3448954362043743,nan,0.3448954362043743,0.3448954362043743,24.35626172461732,nan,24.35626172461732,nan,24.35626172461732,24.35626172461732,35.35002146552784,nan,35.35002146552784,nan,35.35002146552784,35.35002146552784,39.43071412747548,nan,39.43071412747548,nan,39.43071412747548,39.43071412747548,0.1502150840612379,nan,0.1502150840612379,nan,0.1502150840612379,0.1502150840612379,0.005393718707328175,nan,0.005393718707328175,nan,0.005393718707328175,0.005393718707328175,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,1447.35552200018,nan,1447.35552200018,nan,1447.35552200018,1447.35552200018
mixed_stress,lhs_01,MNEC physical,scientific_controlled,1,1,0.0,-1.3802899792715344,nan,-1.3802899792715344,nan,-1.3802899792715344,-1.3802899792715344,-1.8795353145942875,nan,-1.8795353145942875,nan,-1.8795353145942875,-1.8795353145942875,0.7339658606320745,nan,0.7339658606320745,nan,0.7339658606320745,0.7339658606320745,24.053331134463733,nan,24.053331134463733,nan,24.053331134463733,24.053331134463733,34.896831211072055,nan,34.896831211072055,nan,34.896831211072055,34.896831211072055,39.035949751699526,nan,39.035949751699526,nan,39.035949751699526,39.035949751699526,0.14844181459566075,nan,0.14844181459566075,nan,0.14844181459566075,0.14844181459566075,0.0053899256561978455,nan,0.0053899256561978455,nan,0.0053899256561978455,0.0053899256561978455,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,2408.746982000139,nan,2408.746982000139,nan,2408.746982000139,2408.746982000139
mixed_stress,lhs_01,Phase-only CSI [production replay],production_replay,1,1,0.0,7.9575401138202935,nan,7.9575401138202935,nan,7.9575401138202935,7.9575401138202935,0.20957041658613806,nan,0.20957041658613806,nan,0.20957041658613806,0.20957041658613806,13.446511796680428,nan,13.446511796680428,nan,13.446511796680428,13.446511796680428,16.770911899296582,nan,16.770911899296582,nan,16.770911899296582,16.770911899296582,24.45885850527769,nan,24.45885850527769,nan,24.45885850527769,24.45885850527769,25.530233608553377,nan,25.530233608553377,nan,25.530233608553377,25.530233608553377,0.0696421527190758,nan,0.0696421527190758,nan,0.0696421527190758,0.0696421527190758,0.010203307540585647,nan,0.010203307540585647,nan,0.010203307540585647,0.010203307540585647,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,266.01827800004685,nan,266.01827800004685,nan,266.01827800004685,266.01827800004685
mixed_stress,lhs_01,Phase-only CSI [scientific controlled],scientific_controlled,1,1,0.0,8.018820700210998,nan,8.018820700210998,nan,8.018820700210998,8.018820700210998,0.25002915519584734,nan,0.25002915519584734,nan,0.25002915519584734,0.25002915519584734,13.447871564817525,nan,13.447871564817525,nan,13.447871564817525,13.447871564817525,16.772201487475023,nan,16.772201487475023,nan,16.772201487475023,16.772201487475023,24.457837873865586,nan,24.457837873865586,nan,24.457837873865586,24.457837873865586,25.528601598323533,nan,25.528601598323533,nan,25.528601598323533,25.528601598323533,0.06963651732882502,nan,0.06963651732882502,nan,0.06963651732882502,0.06963651732882502,0.010201411015020482,nan,0.010201411015020482,nan,0.010201411015020482,0.010201411015020482,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,228.77179100009926,nan,228.77179100009926,nan,228.77179100009926,228.77179100009926
mixed_stress,lhs_01,Row complex LS / Wiener [scientific controlled],scientific_controlled,1,1,0.0,8.406489131303548,nan,8.406489131303548,nan,8.406489131303548,8.406489131303548,0.6596064803453319,nan,0.6596064803453319,nan,0.6596064803453319,0.6596064803453319,15.155490592119076,nan,15.155490592119076,nan,15.155490592119076,15.155490592119076,15.469154102611675,nan,15.469154102611675,nan,15.469154102611675,15.469154102611675,22.7545909033871,nan,22.7545909033871,nan,22.7545909033871,22.7545909033871,23.671511039228818,nan,23.671511039228818,nan,23.671511039228818,23.671511039228818,0.05479477787170095,nan,0.05479477787170095,nan,0.05479477787170095,0.05479477787170095,0.011166742527689273,nan,0.011166742527689273,nan,0.011166742527689273,0.011166742527689273,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,258.39665400008016,nan,258.39665400008016,nan,258.39665400008016,258.39665400008016
mixed_stress,lhs_01,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,1,1,0.0,8.285218003558963,nan,8.285218003558963,nan,8.285218003558963,8.285218003558963,0.6180801199209457,nan,0.6180801199209457,nan,0.6180801199209457,0.6180801199209457,15.110711791098868,nan,15.110711791098868,nan,15.110711791098868,15.110711791098868,15.40659307995352,nan,15.40659307995352,nan,15.40659307995352,15.40659307995352,22.701448688617347,nan,22.701448688617347,nan,22.701448688617347,22.701448688617347,23.73985060403494,nan,23.73985060403494,nan,23.73985060403494,23.73985060403494,0.05427632196862966,nan,0.05427632196862966,nan,0.05427632196862966,0.05427632196862966,0.011200879987862237,nan,0.011200879987862237,nan,0.011200879987862237,0.011200879987862237,1.0,nan,1,1,0.20654329147389294,1.0,1.0,1.0,307.53178999998454,nan,307.53178999998454,nan,307.53178999998454,307.53178999998454
