method,metric,scene_count,mean,median,bootstrap_ci95,bootstrap_unit,split
J0_Current,pfa,12,0.00854588495438856,0.008900779709072978,"[0.007000483626366289, 0.009841527694310896]",scene,snr-screen
J0_Current,false_clusters,12,28.25,24.0,"[17.539583333333333, 39.834374999999994]",scene,snr-screen
J5_Selective_Physics_Calibration,pfa,12,0.008541711610371466,0.008900779709072978,"[0.006997052656044542, 0.009835237582054361]",scene,snr-screen
J5_Selective_Physics_Calibration,false_clusters,12,29.791666666666668,29.0,"[18.957291666666666, 41.416666666666664]",scene,snr-screen
J6_Joint_Phase_Surface,pfa,12,0.008556238057815581,0.00890800280448718,"[0.007019504444290352, 0.009842709472977277]",scene,snr-screen
J6_Joint_Phase_Surface,false_clusters,12,30.791666666666668,28.0,"[19.666666666666668, 42.54687499999997]",scene,snr-screen
