split,scene_id,family,snr_db,method,target_id,target_row,target_col,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,on_roi_cells,off_roi_cells,target_only_roi_cells,L_causal_dB,L_target_only_dB,peak_transfer_dB,integrated_roi_energy_candidate,integrated_roi_energy_current,range_centroid_shift_cells,doppler_centroid_shift_cells,peak_bin_shift_cells,roi_spreading_delta_cells,delta_definition,target_only_definition,delta_cell_count,delta_sum_real,delta_sum_imag,delta_energy,delta_peak_abs,delta_peak_real,delta_peak_imag,delta_peak_row,delta_peak_col,delta_centroid_row,delta_centroid_col,delta_spread_rms_cells,target_only_cell_count,target_only_sum_real,target_only_sum_imag,target_only_energy,target_only_peak_abs,target_only_peak_real,target_only_peak_imag,target_only_peak_row,target_only_peak_col,target_only_centroid_row,target_only_centroid_col,target_only_spread_rms_cells
target_transfer_snr_screen,target_transfer_snr_screen_000,M1,-2.0,J0_Current,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,28153.614871732076,28153.614871732076,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,37.72501391172409,128.01906085014343,28153.614871732076,158.35597033963418,17.326330184936523,157.40524649620056,67,350,66.97088578121746,349.9898195336135,0.5547755654816083,25,-1053.7218247652054,1393.1421311199665,3189976.217182035,1712.1698147304844,-1116.0828857421875,1298.4161376953125,64,350,64.00735879498791,350.0754340902675,0.394495763624833
target_transfer_snr_screen,target_transfer_snr_screen_000,M1,-2.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-0.25131573519557676,-29.471284221282865,-0.5060554114039841,26570.67527573228,28153.614871732076,-0.014332551495101598,0.01254272121126121,"(0, 0)",0.011190283937706824,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,62.520269989967346,169.78634005784988,26570.67527573228,149.39348939268478,16.435386896133423,148.48667526245117,67,350,66.98342850242872,349.9754869821184,0.5659658494193152,25,22.39463385939598,-64.54417115449905,3602.956535920806,50.29087305091353,-13.5274658203125,-48.4373779296875,64,350,64.42013616044207,349.89756917357516,1.0864725656459624
target_transfer_snr_screen,target_transfer_snr_screen_000,M1,-2.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,66,350,False,False,False,nan,nan,nan,25,25,25,-0.44671886852412307,-30.540032919320783,-0.6440353409483756,25401.6705164324,28153.614871732076,-0.03187131128322562,0.01824898640150252,"(0, 0)",-0.004001604945878645,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,56.85827350616455,159.2304698228836,25401.6705164324,147.03904546860232,16.564095497131348,146.1030856370926,67,350,66.98913476761896,349.9579482223303,0.5507739605357297,25,15.713640809059143,-51.32852649688721,2816.982527528551,43.30594857221672,-11.51708984375,-41.74639892578125,64,350,64.56304119681866,349.88054865458355,1.239043329376489
target_transfer_snr_screen,target_transfer_snr_screen_001,M2,-2.0,J0_Current,MISMATCH_B01_S000_R00,105,487,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,2153960.744766451,2153960.744766451,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-180.8446056842804,1442.693624958396,2153960.744766451,1380.2021575877554,-190.2841739654541,1367.0222854614258,105,487,104.99973121375578,486.97130890853913,0.5107870922933612,25,-932.39686883986,1122.8076272327453,2167471.56614584,1385.8714288345307,-912.3955688476562,1043.15576171875,105,487,104.99999309126254,486.998234201447,0.5100451813271205
target_transfer_snr_screen,target_transfer_snr_screen_001,M2,-2.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,105,487,False,False,False,nan,nan,nan,25,25,25,0.003892297367844232,0.003704299837220186,0.0043432065962453964,2155892.064219075,2153960.744766451,-2.274399776069913e-05,-8.634217309122505e-06,"(0, 0)",-0.0001607186218616219,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-183.10560142993927,1444.1665967702866,2155892.064219075,1380.892472838211,-191.99621200561523,1367.4799728393555,105,487,104.99972257953847,486.97128616454137,0.5106263736714995,25,-933.4803393948823,1124.125350549817,2169321.092220186,1386.5212619034278,-912.5418090820312,1043.89111328125,105,487,104.9999801567266,486.9982336985683,0.5099119522209412
target_transfer_snr_screen,target_transfer_snr_screen_001,M2,-2.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,105,487,False,False,False,nan,nan,nan,25,25,25,0.08674307945132244,0.08371872592737126,0.028111748902983104,2197415.037096047,2153960.744766451,-0.0014884830481491917,0.0010247145798700785,"(0, 0)",0.021239979643159934,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-249.66920132935047,1445.2697554826736,2197415.037096047,1384.6763972495978,-226.89644241333008,1365.96000289917,105,487,105.00075592833565,486.969820425491,0.5320270719365211,25,-978.6080031394958,1096.6962895393372,2209659.1223384673,1389.9068626616613,-933.0891723632812,1030.138671875,105,487,105.00072048792032,486.9982061957036,0.5311040497263751
target_transfer_snr_screen,target_transfer_snr_screen_002,M1+M2,-2.0,J0_Current,MISMATCH_B01_S000_R00,123,624,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,1806251.0815506848,1806251.0815506848,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-1620.4581094384193,-21.05251196026802,1806251.0815506848,1079.0670297956492,-1067.0841331481934,-160.3655436038971,124,624,123.9949523492024,624.3564987198619,0.5386118384358807,25,-1231.3942954018712,-1212.2017887234688,1968293.8450557243,986.7006863115771,-660.2803344726562,-733.2176513671875,124,625,123.99820207466028,624.5042761068863,0.5465245911325425
target_transfer_snr_screen,target_transfer_snr_screen_002,M1+M2,-2.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,123,624,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,1806251.0815506848,1806251.0815506848,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-1620.4581094384193,-21.05251196026802,1806251.0815506848,1079.0670297956492,-1067.0841331481934,-160.3655436038971,124,624,123.9949523492024,624.3564987198619,0.5386118384358807,25,-1231.3942954018712,-1212.2017887234688,1968293.8450557243,986.7006863115771,-660.2803344726562,-733.2176513671875,124,625,123.99820207466028,624.5042761068863,0.5465245911325425
target_transfer_snr_screen,target_transfer_snr_screen_002,M1+M2,-2.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,123,624,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,1806251.0815506848,1806251.0815506848,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,-1620.4581094384193,-21.05251196026802,1806251.0815506848,1079.0670297956492,-1067.0841331481934,-160.3655436038971,124,624,123.9949523492024,624.3564987198619,0.5386118384358807,25,-1231.3942954018712,-1212.2017887234688,1968293.8450557243,986.7006863115771,-660.2803344726562,-733.2176513671875,124,625,123.99820207466028,624.5042761068863,0.5465245911325425
target_transfer_snr_screen,target_transfer_snr_screen_003,M1+M3,-2.0,J0_Current,MISMATCH_B01_S000_R00,4,761,False,False,False,nan,nan,nan,25,25,25,0.0,0.0,0.0,2333659.55514499,2333659.55514499,0.0,0.0,"(0, 0)",0.0,Y_ON_fixedcal - Y_OFF_fixedcal,Y_TO_fixedcal with correction frozen from OFF,25,714.6483455365524,-1148.014971256256,2333659.55514499,1006.0212964943178,540.6672515869141,-848.3853912353516,4,761,4.140020083105443,761.443678852926,0.7677382053420857,25,-1279.181944847107,-652.4346640110016,2502421.6488254215,1107.9182943715612,-943.63720703125,-580.5443725585938,4,762,4.13287602240049,761.6112905775796,0.7561474202838693
