target,validation_mode,status,holdout_group,n,n_folds,ridge_lambda,rmse,mae,r2,scope
oracle_gain_over_current_dB,leave_one_seed_out,ok,aggregate,3472,16,1.0,0.0,0.0,nan,exploratory only; foldwise imputation/normalization; no production model
oracle_gain_over_current_dB,leave_one_seed_out,,20261201,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261202,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261203,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261204,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261205,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261206,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261207,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261208,208,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261209,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261210,208,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261211,208,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261212,208,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261213,208,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261214,208,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261215,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_seed_out,,20261216,208,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,ok,aggregate,3472,10,1.0,0.0,0.0,nan,exploratory only; foldwise imputation/normalization; no production model
oracle_gain_over_current_dB,leave_one_factor_family_out,,channel_amp,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,,channel_phase,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,,geometry,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,,mixed_lhs,1472,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,,nominal,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,,phase_jitter,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,,target_snr,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,,target_velocity,208,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,,texture,224,,,0.0,0.0,,
oracle_gain_over_current_dB,leave_one_factor_family_out,,valid_fraction,224,,,0.0,0.0,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,ok,aggregate,3472,16,1.0,0.16628764771915214,0.018064584866586478,-0.007093697164169743,exploratory only; foldwise imputation/normalization; no production model
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261201,224,,,0.028592898921455376,0.01082163473953807,,
diagnostic_best_scnr_gain_dB,leave_one_seed_out,,20261202,224,,,0.05052126204546681,0.03289623027872819,,
