case_id,seed,factor_family,factor,factor_level,region_id,doppler_row,range_block_start,range_block_stop,candidate_count,pareto_count,adaptive_worthwhile,primary_expert,primary_candidate_type,primary_reason,current_pareto_optimal,oracle_delta_log_amplitude,oracle_delta_phase,oracle_gate,oracle_gain_over_current_dB,oracle_delta_target_preservation_dB,oracle_delta_residual_p95_dB,oracle_delta_residual_p99_dB,oracle_delta_residual_cvar95_dB,oracle_delta_background_pfa,oracle_delta_detection_margin_dB,diagnostic_best_scnr_expert,diagnostic_best_scnr_delta_log_amplitude,diagnostic_best_scnr_delta_phase,diagnostic_best_scnr_gate,diagnostic_best_scnr_gain_dB,diagnostic_best_scnr_target_preservation_dB,diagnostic_best_scnr_delta_residual_p95_dB,diagnostic_best_scnr_delta_residual_cvar95_dB,diagnostic_best_scnr_delta_background_pfa,diagnostic_best_scnr_delta_detection_margin_dB,diagnostic_max_target_preservation_dB,diagnostic_min_residual_p95_dB,diagnostic_min_residual_cvar95_dB,diagnostic_min_background_pfa,diagnostic_max_detection_margin_dB,current_scnr_improvement_dB,current_target_loss_dB,current_residual_p95_dB,current_residual_p99_dB,current_residual_cvar95_dB,current_background_pfa,current_target_cfar_margin_dB,target_row_truth,target_range_bin_truth,target_fd_truth_hz,status,p38_slope_rad_per_hz,p38_intercept_rad,p38_rmse_rad,p38_inlier_count,coherence_mean,F1_F2_energy_ratio_dB,phase_residual_mean_rad,phase_variance_rad2,valid_sample_fraction,texture_heterogeneity_cv,distance_to_clutter_ridge_hz,distance_to_support_edge_rows,local_residual_tail_p95_dB,robust_lsq_condition_number,robust_lsq_confidence
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r42:c2561-2817,42,2561,2817,55,2,False,Current,current,current_hold_no_feasible_bounded_candidate,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,row_ls,-0.5,0.7853981633974483,0.5,0.0,0.0,-0.6764136519411456,-0.7488317624759738,-0.00390625,0.0,0.0,-0.6764136519411456,-0.7488317624759738,-0.00390625,0.0,18.742814677297538,-6.951945457272766,6.155109832831109,9.0324075423846,8.396712744901853,0.00390625,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.5955405772958696,-0.6598142353696091,-0.21661921152896033,0.5021052367472496,1.0,0.1614937493846866,230.0,0.0,6.155109832831109,74178.53073096019,0.6080207043943744
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r42:c2817-3073,42,2817,3073,55,4,False,Current,current,current_hold_no_feasible_bounded_candidate,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,row_ls,0.0,-0.7853981633974483,0.5,0.0,0.0,-0.06450282712852834,-0.049838023816670046,-0.0078125,0.0,0.0,-0.06450282712852834,-0.638696522116345,-0.01171875,0.0,18.742814677297538,-6.951945457272766,6.136782711666166,10.127746535720465,9.395796469036195,0.01171875,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.5955405772958696,-0.035938943530993694,-0.33714114006505724,0.5207667650307004,1.0,0.1406339880710878,230.0,0.0,6.136782711666166,74178.53073096019,0.6080207043943744
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r42:c3073-3329,42,3073,3329,55,3,False,Current,current,current_hold_no_feasible_bounded_candidate,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust_row_ls,0.0,-0.7853981633974483,0.5,0.0,0.0,-0.6100742428300915,-0.8453915578609666,0.0,0.0,0.0,-0.6100742428300915,-0.8857703553573459,0.0,0.0,18.742814677297538,-6.951945457272766,5.855399990778752,7.621964152218092,7.654487390569172,0.0,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.5955405772958696,0.932795760144816,-0.40326619244388695,0.37423302065564046,1.0,0.16191118563171192,230.0,0.0,5.855399990778752,74178.53073096019,0.6080207043943744
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r42:c3329-3585,42,3329,3585,55,1,False,Current,current,current_hold_no_feasible_bounded_candidate,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.742814677297538,-6.951945457272766,3.13357555216442,6.360657883770532,5.334346487722391,0.0,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.5955405772958696,-1.1344118259674696,-0.32142131442104704,0.40036737502302144,1.0,0.17047995455346626,230.0,0.0,3.13357555216442,74178.53073096019,0.6080207043943744
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r42:c3585-3841,42,3585,3841,55,3,False,Current,current,current_hold_no_feasible_bounded_candidate,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,row_ls,0.0,-0.7853981633974483,0.5,0.0,0.0,-0.8528176435446202,-2.4886373820233243,0.0,0.0,0.0,-0.8528176435446202,-2.5157758959889747,0.0,0.0,18.742814677297538,-6.951945457272766,4.807344145876227,10.393184744840358,9.179472938007795,0.0,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.5955405772958696,-0.3998929817703844,-0.41823450662369965,0.4046762268625036,1.0,0.18360353837135707,230.0,0.0,4.807344145876227,74178.53073096019,0.6080207043943744
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r42:c3841-4096,42,3841,4096,55,5,False,Current,current,current_hold_no_feasible_bounded_candidate,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust_row_ls,0.0,0.0,0.5,0.0,0.0,-0.3756027790537637,0.0048002163599218765,0.00425531914893617,0.0,0.0,-0.3756027790537637,-0.3664611064054058,0.0,0.0,18.742814677297538,-6.951945457272766,5.713219369013647,9.870819204984224,8.564767694512163,0.0,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.5955405772958696,1.216305203649462,-0.6017399650199453,0.40041615529061003,1.0,0.16223511700671714,230.0,0.0,5.713219369013647,74178.53073096019,0.6080207043943744
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r46:c1-257,46,1,257,55,3,False,Current,current,current_hold_no_feasible_bounded_candidate,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_p38,-0.5,-0.7853981633974483,0.5,0.0,0.0,-0.9553675680583474,-0.8793966035259597,0.0,0.0,0.0,-0.9553675680583474,-0.8793966035259597,-0.004219409282700422,0.0,18.742814677297538,-6.951945457272766,2.206751599790512,5.3653860862877,4.878777541524335,0.004219409282700422,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.7764580135330496,-0.6216674349741023,-0.18639155562762505,0.26629952026294046,1.0,0.5047962473490677,190.0,4.0,2.206751599790512,74921.74737121881,0.7089168029055223
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r46:c257-513,46,257,513,55,1,False,Current,current,current_hold_no_feasible_bounded_candidate,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.742814677297538,-6.951945457272766,2.04008980382909,6.700994002629093,5.090834376875848,0.0,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.7764580135330496,0.06908366843281746,-0.1272807420694792,0.2677707008404303,1.0,0.5137551851705652,190.0,4.0,2.04008980382909,74921.74737121881,0.7089168029055223
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r46:c513-769,46,513,769,55,4,False,Current,current,current_hold_no_feasible_bounded_candidate,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,row_ls,0.0,0.0,0.5,0.0,0.0,0.055708738145483355,-0.2105736026200891,0.0,0.0,0.0,0.055708738145483355,-0.4840118437200134,-0.00390625,0.0,18.742814677297538,-6.951945457272766,1.2746414201649086,5.735827249092296,4.535637854377241,0.00390625,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.7764580135330496,0.3602576591708418,-0.16784121802424315,0.24524155135032832,1.0,0.4945912197689983,190.0,4.0,1.2746414201649086,74921.74737121881,0.7089168029055223
pgrcc_oracle_nominal_s20261201,20261201,nominal,nominal,audit,pgrcc_oracle_nominal_s20261201:r46:c769-1025,46,769,1025,55,6,False,Current,current,current_hold_no_feasible_bounded_candidate,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,robust_row_ls,0.0,-0.7853981633974483,0.5,0.0,0.0,-0.37790183584810294,-0.14176720580980912,0.00390625,0.0,0.0,-0.37790183584810294,-0.20771670068222425,0.0,0.0,18.742814677297538,-6.951945457272766,2.866866931546289,6.016006513603966,5.212333927861636,0.0,25.279480150909034,60,2200,-53.2468982695,ok,0.0008654874974653276,-0.006696011213876088,0.004247548780133828,34.0,0.7764580135330496,0.24293884344679406,-0.21430481319644773,0.25132999148792057,1.0,0.43579731117676046,190.0,4.0,2.866866931546289,74921.74737121881,0.7089168029055223
