case_id,seed,factor_family,selection_reason,region_id,expert,candidate_type,doppler_row,range_block_start,range_block_stop,delta_log_amplitude,delta_phase,gate,screen_delta_scnr_dB,screen_delta_target_preservation_dB,screen_delta_residual_p95_dB,screen_delta_background_pfa,exact_SCNR_improvement_dB,exact_target_loss_dB,exact_residual_p95_dB,exact_residual_p99_dB,exact_residual_cvar95_dB,exact_background_Pfa,exact_target_Pd,exact_target_cfar_margin_dB,exact_target_peak_power,exact_background_false_alarm_count,delta_exact_SCNR_improvement_dB,delta_exact_target_loss_dB,delta_exact_residual_p95_dB,delta_exact_residual_p99_dB,delta_exact_residual_cvar95_dB,delta_exact_background_Pfa,delta_exact_target_Pd,delta_exact_target_cfar_margin_dB
pgrcc_oracle_nominal_s20261201,20261201,nominal,current_reference,pgrcc_oracle_nominal_s20261201:r42:c1-257,Current,current,42,1,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.742814677297538,-6.951945457272766,7.0739992075949925,10.90587063986651,9.884429172174302,0.0016954938552571689,1.0,25.279480150909034,30950693.680902563,894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pgrcc_oracle_nominal_s20261201,20261201,nominal,max_scnr,pgrcc_oracle_nominal_s20261201:r58:c2049-2305,current_p38,bounded_corrected,58,2049,2305,-0.5,0.7853981633974483,0.5,0.32478156142914116,0.06056877842455233,11.460205141903433,0.23828125,19.06759623872668,-6.891376678848213,7.084311242051431,10.934103999590496,9.99299032058263,0.0017523896222121074,1.0,24.61723978066758,30950693.680902563,924.0,0.32478156142914116,0.06056877842455233,0.010312034456438468,0.028233359723985885,0.10856114840832731,5.6895766954938526e-05,0.0,-0.6622403702414559
pgrcc_oracle_nominal_s20261201,20261201,nominal,min_tail_p95,pgrcc_oracle_nominal_s20261201:r86:c1281-1537,robust_row_ls,bounded_corrected,86,1281,1537,0.5,0.7853981633974483,0.5,0.0,0.0,-2.911790023785419,0.0,18.742814677297538,-6.951945457272766,7.072117810381181,10.904450798426861,9.882265336005633,0.0016954938552571689,1.0,25.279480150909034,30950693.680902563,894.0,0.0,0.0,-0.0018813972138111978,-0.0014198414396489056,-0.002163836168669775,0.0,0.0,0.0
pgrcc_oracle_nominal_s20261201,20261201,nominal,min_background_pfa,pgrcc_oracle_nominal_s20261201:r42:c2817-3073,row_ls,bounded_corrected,42,2817,3073,-0.5,-0.7853981633974483,0.5,0.0,0.0,0.15512701736740447,-0.01171875,18.742814677297538,-6.951945457272766,7.074156953598241,10.905480313241904,9.88410620411305,0.001689804278561675,1.0,25.279480150909034,30950693.680902563,891.0,0.0,0.0,0.00015774600324824917,-0.00039032662460591894,-0.00032296806125309274,-5.6895766954937876e-06,0.0,0.0
pgrcc_oracle_nominal_s20261201,20261201,nominal,max_detection_margin,pgrcc_oracle_nominal_s20261201:r60:c2049-2305,current_p38,bounded_corrected,60,2049,2305,0.5,0.7853981633974483,1.0,-6.4128898324624775,5.122875884300511,25.683524254648,0.56640625,12.32992484483506,-1.8290695729722555,7.096282329007679,10.973102430346627,11.621529192083994,0.001744803519951449,1.0,18.043397405496794,97547050.94076681,920.0,-6.4128898324624775,5.122875884300511,0.022283121412686846,0.06723179048011652,1.7371000199096915,4.930966469428007e-05,0.0,-7.23608274541224
pgrcc_oracle_texture_s20261202,20261202,texture,current_reference,pgrcc_oracle_texture_s20261202:r42:c1-257,Current,current,42,1,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.071460348277242,-7.216675081373825,10.461021830258543,17.316805026834768,19.634735797263538,0.007479896829009255,1.0,22.7245872837071,3015900237.990304,3944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pgrcc_oracle_texture_s20261202,20261202,texture,max_scnr,pgrcc_oracle_texture_s20261202:r58:c2049-2305,robust_row_ls,bounded_corrected,58,2049,2305,0.0,0.0,1.0,0.5107382595258478,0.13804661388458506,2.2547818141616913,0.01953125,19.58219860780309,-7.07862846748924,10.46527148730576,17.319885832399887,19.63627986157627,0.007468517675618267,1.0,22.7245872837071,3015900237.990304,3938.0,0.5107382595258478,0.13804661388458506,0.00424965704721636,0.003080805565119249,0.0015440643127320186,-1.1379153390988009e-05,0.0,0.0
pgrcc_oracle_texture_s20261202,20261202,texture,min_tail_p95,pgrcc_oracle_texture_s20261202:r42:c1537-1793,robust_row_ls,bounded_corrected,42,1537,1793,0.5,-0.7853981633974483,0.5,0.0,0.0,-3.0765001190369308,-0.00390625,19.071460348277242,-7.216675081373825,10.459396681654532,17.309934971301143,19.612749102822413,0.0074780003034440904,1.0,22.7245872837071,3015900237.990304,3943.0,0.0,0.0,-0.0016251486040115282,-0.006870055533624964,-0.02198669444112511,-1.8965255651646681e-06,0.0,0.0
pgrcc_oracle_texture_s20261202,20261202,texture,min_background_pfa,pgrcc_oracle_texture_s20261202:r88:c2817-3073,robust_row_ls,bounded_corrected,88,2817,3073,-0.5,0.7853981633974483,0.5,0.0,0.0,0.831635261990923,-0.01171875,19.071460348277242,-7.216675081373825,10.461381361917262,17.316310811226955,19.635423570155584,0.007474207252313761,1.0,22.7245872837071,3015900237.990304,3941.0,0.0,0.0,0.00035953165871838166,-0.000494215607812265,0.0006877728920464676,-5.689576695494004e-06,0.0,0.0
pgrcc_oracle_texture_s20261202,20261202,texture,max_detection_margin,pgrcc_oracle_texture_s20261202:r58:c2049-2305,current_p38,bounded_corrected,58,2049,2305,0.5,-0.7853981633974483,1.0,-26.41093177228411,0.24947602509361566,23.453500898116406,0.52734375,-7.339471424006868,-6.96719905628021,10.494641079820479,17.427873699033437,21.27184003542059,0.00735851919283872,1.0,34.35711136501827,76696887969.93811,3880.0,-26.41093177228411,0.24947602509361566,0.033619249561935405,0.11106867219866956,1.6371042381570504,-0.00012137763617053529,0.0,11.632524081311171
