case_id,actual_mechanism,seed,squint_deg,range_bin,snr_db,true_delay_ns,estimated_delay_ns_D3,delay_error_ns,true_cross_slope_deg_per_pulse,estimated_cross_slope_deg_per_pulse_P1,phase_slope_error_deg_per_pulse,truth_rho,observed_rho_median,csi_coherence,feature_diagnosis,feature_confidence,status,estimator_status,estimator_feature_table
m1m2_ood_a,M1+M2,2026091021,-0.55,192,3.0,2.083333333333333,1.0737117286385809,-1.0096216046947522,-0.05,-0.04728691378087496,0.002713086219125041,1.0,0.9835354817162418,0.997952917535655,phase_drift_like,0.2205406405028273,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_a/estimator_audit/mechanism_feature_table.csv
m1m2_ood_b,M1+M2,2026091022,0.55,768,-3.0,8.333333333333334,8.630153763101095,0.29682042976776124,-0.5,-0.4973239614685027,0.0026760385314972823,1.0,0.8516125704521187,0.973403494407201,delay_like,0.7903034971141308,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_b/estimator_audit/mechanism_feature_table.csv
m1m2_ood_c,M1+M2,2026091023,0.25,1280,0.0,4.166666666666667,3.3400046230089213,-0.8266620436577456,-0.2,-0.19512864448032438,0.00487135551967563,1.0,0.9663176292497518,0.996262670567018,phase_drift_like,0.4735533543376177,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m2_ood_c/estimator_audit/mechanism_feature_table.csv
m1m3_ood_a,M1+M3,2026091024,-0.45,256,3.0,2.083333333333333,1.1225263614603955,-0.9608069718729375,0.0,nan,,0.99,0.9785049654200147,0.990393985485381,decorrelation_like,0.09107773771130301,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_a/estimator_audit/mechanism_feature_table.csv
m1m3_ood_b,M1+M3,2026091025,0.45,896,-3.0,8.333333333333334,8.700828967667162,0.36749563433382804,0.0,nan,,0.8,0.7848189272172207,0.868674686932588,delay_like,0.8781892986766733,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_b/estimator_audit/mechanism_feature_table.csv
m1m3_ood_c,M1+M3,2026091026,0.2,1408,0.0,4.166666666666667,4.147937016669038,-0.018729649997628606,0.0,nan,,0.95,0.9319767228619744,0.961752302554806,unknown_mixed,0.4998186904241485,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m1m3_ood_c/estimator_audit/mechanism_feature_table.csv
m2m3_ood_a,M2+M3,2026091027,-0.4,320,3.0,0.0,nan,,-0.05,-0.08721364903359898,-0.03721364903359897,0.99,0.9815753340443786,0.991811862068964,phase_drift_like,0.7832587405301392,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_a/estimator_audit/mechanism_feature_table.csv
m2m3_ood_b,M2+M3,2026091028,0.4,1024,-3.0,0.0,nan,,-0.5,-0.48880084146312264,0.011199158536877363,0.8,0.8839059767255818,0.922314401174709,phase_drift_like,0.9782330098552185,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_b/estimator_audit/mechanism_feature_table.csv
m2m3_ood_c,M2+M3,2026091029,0.2,1536,0.0,0.0,nan,,-0.2,-0.15817390964772024,0.04182609035227977,0.95,0.935348308021629,0.968521501657663,phase_drift_like,0.8514809138353822,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/m2m3_ood_c/estimator_audit/mechanism_feature_table.csv
all_ood_a,M1+M2+M3,2026091030,-0.35,448,3.0,2.083333333333333,1.6128648384262354,-0.47046849490709763,-0.05,-0.0702504713040967,-0.0202504713040967,0.99,0.9720666027792197,0.990821162675124,phase_drift_like,0.21044375092933532,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_a/estimator_audit/mechanism_feature_table.csv
all_ood_b,M1+M2+M3,2026091031,0.35,1152,-3.0,4.166666666666667,4.261368817366233,0.09470215069956645,-0.2,-0.231786004234075,-0.03178600423407499,0.95,0.9309824442947998,0.958952294770986,phase_drift_like,0.45148368437579056,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_b/estimator_audit/mechanism_feature_table.csv
all_ood_c,M1+M2+M3,2026091032,0.2,1664,0.0,8.333333333333334,8.633260058992697,0.29992672565936296,-0.2,-0.2044211687083679,-0.004421168708367895,0.95,0.8279786785770369,0.925852799118498,delay_like,0.7979082202462076,pass,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/mechanism_mixed_design/cases/all_ood_c/estimator_audit/mechanism_feature_table.csv
