metric,metric_direction,comparison,delay_error_ns,block_count,effective_block_count,expected_block_count,missing_block_count,duplicate_block_delay_count,unavailable_block_count,missing_blocks,source_classification,effect,effect_mean,ci_low,ci_high,recoverable_space,actual_recovered,recovery_ratio,status,reason
angle_rmse_deg,lower_is_better,A1_to_A2,-8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.2112466890247745,0.2112466890247745,0.18509476743478662,0.23499222550544974,0.2112466890247745,0.10492729127181799,0.496705021774388,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A3,-8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.10492729127181799,0.10492729127181799,0.07407045648248063,0.13718344494752005,0.2112466890247745,0.10492729127181799,0.496705021774388,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A2,-4,15,15,15,0,45,0,,Formal-v2 confirmatory,-0.026704677845933094,-0.026704677845933094,-0.05666120319207026,-0.0005011316124891404,-0.026704677845933094,0.03145034639128545,-1.1777092602551311,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A3,-4,15,15,15,0,45,0,,Formal-v2 confirmatory,0.03145034639128545,0.03145034639128545,0.019397768463079168,0.04348348474800547,-0.026704677845933094,0.03145034639128545,-1.1777092602551311,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A2,-2,15,15,15,0,45,0,,Formal-v2 confirmatory,-0.05307676940744485,-0.05307676940744485,-0.08080110787329656,-0.027100386569157996,-0.05307676940744485,0.0054561677699347935,-0.10279766140343652,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A3,-2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0054561677699347935,0.0054561677699347935,-0.006913634726615201,0.01859240357941989,-0.05307676940744485,0.0054561677699347935,-0.10279766140343652,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A2,-1,15,15,15,0,45,0,,Formal-v2 confirmatory,-0.04848052534696975,-0.04848052534696975,-0.06358688630697149,-0.03442055217245546,-0.04848052534696975,-0.013582778038399457,0.280169778301473,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A3,-1,15,15,15,0,45,0,,Formal-v2 confirmatory,-0.013582778038399457,-0.013582778038399457,-0.03659066041068114,0.005171632999501374,-0.04848052534696975,-0.013582778038399457,0.280169778301473,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A2,1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.020281764612311962,0.020281764612311962,0.013945011658822852,0.02667396967556487,0.020281764612311962,0.027012863753278087,1.3318793640312756,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A3,1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.027012863753278087,0.027012863753278087,0.018930071097108484,0.034636893860659025,0.020281764612311962,0.027012863753278087,1.3318793640312756,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A2,2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.016708349553390053,0.016708349553390053,0.0019683008114688323,0.030704690623453993,0.016708349553390053,0.04422608441871004,2.6469451262908703,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A3,2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.04422608441871004,0.04422608441871004,0.027985988572774425,0.0583783668464979,0.016708349553390053,0.04422608441871004,2.6469451262908703,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A2,4,15,15,15,0,45,0,,Formal-v2 confirmatory,0.06465339688189224,0.06465339688189224,0.046271228065507944,0.08280169819962864,0.06465339688189224,0.09856721553348412,1.5245481333880273,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A3,4,15,15,15,0,45,0,,Formal-v2 confirmatory,0.09856721553348412,0.09856721553348412,0.06989546000486213,0.12694628386383397,0.06465339688189224,0.09856721553348412,1.5245481333880273,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A2,8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.17444160729134,0.17444160729134,0.13192781246532198,0.21537513584442092,0.17444160729134,0.07516378573727754,0.4308822127036718,passed,exact_duplicate_block_delay_rows_collapsed
angle_rmse_deg,lower_is_better,A1_to_A3,8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.07516378573727754,0.07516378573727754,0.0341383406121436,0.1197376100043434,0.17444160729134,0.07516378573727754,0.4308822127036718,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A2,-8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.1733333333333333,0.1733333333333333,0.09333333333333331,0.25333333333333335,0.1733333333333333,0.10666666666666667,0.6153846153846155,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A3,-8,15,15,15,0,45,0,,Formal-v2 confirmatory,0.10666666666666667,0.10666666666666667,0.053333333333333344,0.16000000000000003,0.1733333333333333,0.10666666666666667,0.6153846153846155,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A2,-4,15,15,15,0,45,0,,Formal-v2 confirmatory,-0.01333333333333333,-0.01333333333333333,-0.06666666666666665,0.039999999999999994,-0.01333333333333333,0.0,-0.0,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A3,-4,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,-0.01333333333333333,0.0,-0.0,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A2,-2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.01333333333333333,0.01333333333333333,0.0,0.039999999999999994,0.01333333333333333,0.0,0.0,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A3,-2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.01333333333333333,0.0,0.0,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A2,-1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.0,0.0,,NOT_EVALUABLE,zero_recoverable_space
period_detection_pd,higher_is_better,A1_to_A3,-1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.0,0.0,,NOT_EVALUABLE,zero_recoverable_space
period_detection_pd,higher_is_better,A1_to_A2,1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.0,0.0,,NOT_EVALUABLE,zero_recoverable_space
period_detection_pd,higher_is_better,A1_to_A3,1,15,15,15,0,45,0,,Formal-v2 confirmatory,0.0,0.0,0.0,0.0,0.0,0.0,,NOT_EVALUABLE,zero_recoverable_space
period_detection_pd,higher_is_better,A1_to_A2,2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.01333333333333333,0.01333333333333333,0.0,0.039999999999999994,0.01333333333333333,0.01333333333333333,1.0,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A3,2,15,15,15,0,45,0,,Formal-v2 confirmatory,0.01333333333333333,0.01333333333333333,0.0,0.039999999999999994,0.01333333333333333,0.01333333333333333,1.0,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A2,4,15,15,15,0,45,0,,Formal-v2 confirmatory,0.039999999999999994,0.039999999999999994,0.0,0.09333333333333331,0.039999999999999994,0.039999999999999994,1.0,passed,exact_duplicate_block_delay_rows_collapsed
period_detection_pd,higher_is_better,A1_to_A3,4,15,15,15,0,45,0,,Formal-v2 confirmatory,0.039999999999999994,0.039999999999999994,0.0,0.07999999999999999,0.039999999999999994,0.039999999999999994,1.0,passed,exact_duplicate_block_delay_rows_collapsed
