source,metric,comparison,delay_error_ns,status,reason,block_count,effective_block_count,effect,ci_low,ci_high,discordant_current_miss_comparison_hit,discordant_current_hit_comparison_miss,p_value,duplicate_block_treatment_count,source_classification
track,track_continuity_after_confirmation,A1_to_A2,1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A2,2,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A2,4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A2,8,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A3,-8,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A3,-4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A3,-2,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A3,-1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A3,1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A3,2,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A3,4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_continuity_after_confirmation,A1_to_A3,8,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A2,-8,passed,paired_block_binary_effect,15,15,0.4666666666666667,0.13333333333333333,0.8,8,1,0.0390625,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A2,-4,passed,paired_block_binary_effect,15,15,-0.06666666666666667,-0.2,0.0,0,1,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A2,-2,passed,paired_block_binary_effect,15,15,-0.13333333333333333,-0.3333333333333333,0.0,0,2,0.5,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A2,-1,passed,paired_block_binary_effect,15,15,-0.13333333333333333,-0.3333333333333333,0.0,0,2,0.5,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A2,1,passed,paired_block_binary_effect,15,15,-0.13333333333333333,-0.3333333333333333,0.0,0,2,0.5,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A2,2,passed,paired_block_binary_effect,15,15,0.0,-0.2,0.2,1,1,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A2,4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A2,8,passed,paired_block_binary_effect,15,15,0.06666666666666667,-0.26666666666666666,0.4,4,3,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A3,-8,passed,paired_block_binary_effect,15,15,0.2,-0.13333333333333333,0.5333333333333333,5,2,0.453125,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A3,-4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A3,-2,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A3,-1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A3,1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A3,2,passed,paired_block_binary_effect,15,15,-0.06666666666666667,-0.26666666666666666,0.13333333333333333,1,2,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A3,4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_id_switch_count,A1_to_A3,8,passed,paired_block_binary_effect,15,15,0.26666666666666666,0.06666666666666667,0.5333333333333333,4,0,0.125,0,Formal-v2 confirmatory
track,track_pd_after_confirmation,A1_to_A2,-8,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_pd_after_confirmation,A1_to_A2,-4,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_pd_after_confirmation,A1_to_A2,-2,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
track,track_pd_after_confirmation,A1_to_A2,-1,passed,paired_block_binary_effect,15,15,0.0,0.0,0.0,0,0,1.0,0,Formal-v2 confirmatory
