level,delay_error_ns,snr_db,method,method_family,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,fallback_rate,mean_runtime_sec,trials
level1,0.0,20.0,D1_ordinary_LS,spectral_D1_D2_D3,0.0007314681950162338,0.0959759369022939,0.09645664446353307,-0.018173686726794726,0.019636623116827196,0.0,0.00013393605157034473,100
level1,0.0,20.0,D2_weighted_LS,spectral_D1_D2_D3,0.0011916628778823703,0.09563718927132384,0.09611152986522921,-0.017645850825607132,0.020029176581371873,0.0,0.00011693816020851954,100
level1,0.0,20.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,0.0011600994629622037,0.09880663838989508,0.09929756300806648,-0.018301865261878502,0.02062206418780291,0.0,0.0011939800815889611,100
level1,0.0,20.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,0.0011060681886459521,0.06238530071155131,0.06268973107177332,-0.011180893321471774,0.01339302969876368,0.0,0.0006436039399704895,100
level1,0.0,20.0,cross_correlation,traditional_baseline,0.002462862447458067,0.025770499458211936,0.025781775547749772,-0.0025902727056504316,0.007515997600566565,0.0,0.0004986846301471815,100
level1,0.0,20.0,gcc_phat,traditional_baseline,0.007606332733171227,0.07649896766629968,0.07650335541833769,-0.00738804939846968,0.022600714864812133,0.0,0.0006332325376570225,100
level1,0.0,20.0,oversampled_cross_correlation,traditional_baseline,0.0056376315240175435,0.031016294301843387,0.030653284679366895,-0.0003703018739237094,0.011645564921958796,0.0,0.0017778902096324601,100
level1,0.0,30.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.00035362872094034175,0.032427096111076706,0.03258851983715273,-0.0067408612399691885,0.006033603798088504,0.0,0.0001375475784880109,100
level1,0.0,30.0,D2_weighted_LS,spectral_D1_D2_D3,-0.0003594677931492134,0.03241440671911963,0.032575701204236154,-0.0067441879062933065,0.00602525231999488,0.0,0.00012388524133712055,100
level1,0.0,30.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.0012969305059391317,0.033095171246619697,0.03323634877517229,-0.007811135163634094,0.005217274151755831,0.0,0.0011036149121355266,100
level1,0.0,30.0,D4_generalized_phase_slope_ML,spectral_D1_D2_D3,-0.0015677342046726695,0.018171110606626465,0.01819455657695655,-0.00513380176522379,0.0019983333558784505,0.0,0.0006365925489808433,100
level1,0.0,30.0,cross_correlation,traditional_baseline,-0.000605086547247994,0.00816346559996311,0.00818202272243391,-0.0022087335329138767,0.0009985604384178887,0.0,0.0004886918392730876,100
