split,scene_id,actual_mechanism,multi_target,delay_tau_off_ns,delay_tau_on_ns,delay_target_bias_ns,phase_slope_off_deg_per_pulse,phase_slope_on_deg_per_pulse,phase_target_bias_deg_per_pulse
calibration,calibration_000,zero,False,0.18438615619577725,0.18443361682477732,4.746062900007342e-05,-0.0033947567773601754,-0.0033993973542716517,-4.640576911476256e-06
calibration,calibration_001,zero,False,-0.2334784010803901,-0.2333873471025723,9.105397781780655e-05,-0.005022728130256107,-0.0050233775484200115,-6.494181639046803e-07
calibration,calibration_002,zero,False,-0.2955067173626364,-0.2986466344605369,-0.003139917097900513,-9.996319576620574e-05,-9.862566926039409e-05,1.33752650581165e-06
calibration,calibration_003,zero,False,-0.07143521447131596,-0.07143115716072287,4.057310593080787e-06,0.007616596066997767,0.007615994260694695,-6.018063030722998e-07
calibration,calibration_004,zero,False,-0.7328000071775289,-0.7332129424150058,-0.00041293523747687466,-0.0025096572357598333,-0.002510392436717047,-7.352009572135151e-07
calibration,calibration_005,zero,False,0.11986355943449446,0.11478022505575995,-0.005083334378734511,0.0014741964683980375,0.0014735840708229029,-6.123975751345847e-07
calibration,calibration_006,zero,False,-0.19271360077823407,-0.19031602637956563,0.002397574398668445,0.002008482981965409,0.002010187878528254,1.7048965628451741e-06
calibration,calibration_007,zero,False,-0.17925184092022528,-0.17924060306179854,1.123785842674363e-05,-0.0006490010902769942,-0.0006678750509599061,-1.887396068291189e-05
calibration,calibration_008,zero,False,-0.3168741512545363,-0.31667275611477963,0.0002013951397566438,0.0006450202958453796,0.0006141971333902575,-3.082316245512208e-05
calibration,calibration_009,zero,False,0.04777384047740193,0.04650304840725873,-0.0012707920701431966,0.006388834525852585,0.006391897207107943,3.0626812553584057e-06
calibration,calibration_010,zero,False,0.17337773553576907,0.17289117980794347,-0.00048655572782560497,-0.002716071645335863,-0.0027134672192831387,2.6044260527241514e-06
calibration,calibration_011,zero,False,0.05038738047338922,0.04890861489485584,-0.0014787655785333809,0.023909033240753132,0.023908650891615455,-3.8234913767726253e-07
calibration,calibration_012,zero,False,-0.23424821228515033,-0.23055751927153467,0.003690693013615659,0.0014012964471661262,0.0013977021634286068,-3.594283737519367e-06
calibration,calibration_013,zero,False,0.06412215434154439,0.06407474019150493,-4.741415003946259e-05,0.0004874149416455307,0.00048377711639302853,-3.6378252525021506e-06
calibration,calibration_014,zero,False,-0.1850944560559245,-0.18495561368375657,0.0001388423721679355,0.005729466469913656,0.005731299838583073,1.8333686694176066e-06
calibration,calibration_015,zero,False,0.07178496755978576,0.07219310647872193,0.0004081389189361656,0.014922882807807443,0.014917973025491825,-4.9097823156176584e-06
calibration,calibration_016,zero,False,-0.0951573495132665,-0.09511665629098948,4.069322227702454e-05,0.0016051200632053468,0.0016042180520800622,-9.02011125284612e-07
calibration,calibration_017,zero,False,0.13689432944850577,0.13307605577378148,-0.0038182736747242874,-0.002810157590872862,-0.0027966961380879647,1.3461452784897451e-05
calibration,calibration_018,zero,False,0.2042346842757532,0.20413810933011356,-9.657494563963809e-05,-0.003208422635639533,-0.0032050098777936993,3.412757845833777e-06
calibration,calibration_019,zero,False,-0.15642729188123505,-0.1564162020620434,1.1089819191650863e-05,0.00952569988828921,0.009524774853615074,-9.250346741356691e-07
calibration,calibration_020,zero,False,-0.2600415289945659,-0.2605445129984438,-0.0005029840038778821,0.00035403931207774055,0.0003559056757507677,1.86636367302713e-06
calibration,calibration_021,zero,False,-0.12521065832059478,-0.12487393207134319,0.0003367262492515871,-0.0020048222361801486,-0.0019775811766089752,2.7241059571173412e-05
calibration,calibration_022,zero,False,-0.12980516310555293,-0.12252081146494304,0.007284351640609893,-0.0070016826578207444,-0.006983171947303543,1.8510710517201726e-05
calibration,calibration_023,zero,False,0.38697177299927094,0.38690125434716743,-7.051865210350172e-05,-0.009638709389280277,-0.009603599409396113,3.5109979884163575e-05
validation,validation_000,zero,False,-0.39217009003283804,-0.39484555591360243,-0.002675465880764394,0.00015514845383585504,0.00014020289569696785,-1.49455581388872e-05
validation,validation_001,M1,False,8.57784160137376,8.571205855416604,-0.006635745957156658,0.00597686198495258,0.005953367687470491,-2.349429748208908e-05
validation,validation_002,M2,False,-0.12293858225550504,-0.12298697371819844,-4.839146269340622e-05,-0.21359438431181588,-0.2135911862592605,3.1980525553865213e-06
validation,validation_003,M3,False,0.1861348291930784,0.1864361444735162,0.0003013152804378083,-0.03277082888392367,-0.03276510502154633,5.7238623773422925e-06
validation,validation_004,zero,False,-0.2716886486373226,-0.2717845727658608,-9.592412853820509e-05,-0.0038692969184145,-0.0038649772990876612,4.319619326838969e-06
validation,validation_005,M1,False,0.5291472460761589,0.5292186439910967,7.139791493782077e-05,0.001274083771309368,0.001270746343671814,-3.3374276375540152e-06
validation,validation_006,M2,False,-0.22915646897576797,-0.22943370477429098,-0.0002772357985230123,-0.42650989237360815,-0.4265100966616854,-2.0428807723238407e-07
validation,validation_007,M3,False,0.023810392649038413,0.019569234379871556,-0.004241158269166857,0.03893496589884872,0.03890645777062668,-2.850812822204063e-05
test,test_000,M1,True,6.823692081981308,6.824045311224551,0.0003532292432426587,0.002302076917613544,0.0023082887635317837,6.21184591823986e-06
test,test_001,M2,False,0.40342066336662086,0.40259233844666564,-0.0008283249199552145,-0.363916087327952,-0.36392507006815755,-8.98274020555423e-06
test,test_002,M3,False,-0.07780918933947728,-0.08228774755873731,-0.004478558219260034,-0.0018051391875561437,-0.001804901606268447,2.3758128769673335e-07
test,test_003,M1+M2,False,3.6417886957460657,3.638293231206852,-0.0034954645392137884,-0.45097407323004135,-0.45096228141166894,1.1791818372408613e-05
test,test_004,M1+M3,True,8.47538832491591,8.463778410138945,-0.011609914776965269,0.005731864030019617,0.005748033153588089,1.61691235684722e-05
test,test_005,M2+M3,False,0.4164976302903999,0.42439717007863975,0.007899539788239873,-0.6183476963143496,-0.6183403961699575,7.300144392097252e-06
test,test_006,M1+M2+M3,False,2.1060790546492956,2.106011984269684,-6.70703796115113e-05,-0.5613616048974448,-0.5613631869735141,-1.5820760692619729e-06
test,test_007,M1,False,9.988835692433565,9.992957500582506,0.004121808148941142,0.0002988071111039446,0.00027832106753215846,-2.048604357178616e-05
test,test_008,M2,True,-0.13358498661966905,-0.13328974831260312,0.00029523830706593146,-0.08131596637244538,-0.08131464134676317,1.3250256822167072e-06
test,test_009,M3,False,-0.3251120226913461,-0.3250121347254055,9.988796594057048e-05,-0.002864376474806866,-0.0028557011590337675,8.67531577309873e-06
test,test_010,M1+M2,False,0.8917584051657543,0.8917488441001203,-9.561065633989507e-06,-0.2619219922149117,-0.2619266285694228,-4.636354511089458e-06
test,test_011,M1+M3,False,2.937091395779543,2.937182540667505,9.114488796191367e-05,0.005288412996937729,0.005260679984105291,-2.773301283243764e-05
test,test_012,M2+M3,True,-0.12269023294065823,-0.12451324595780729,-0.0018230130171490583,-0.5307857920040651,-0.530783690993789,2.1010102760898874e-06
test,test_013,M1+M2+M3,False,1.6449071699088096,1.631600735463549,-0.013306434445260695,-0.3761654835169112,-0.37619035361806474,-2.487010115354016e-05
test,test_014,M1,False,1.7702584560736627,1.7848467638967753,0.0145883078231126,-0.0006041285368585793,-0.0006010846193356624,3.043917522916901e-06
test,test_015,M2,False,-0.3689053098579742,-0.36891135745275994,-6.047594785729693e-06,-0.42258711202908444,-0.4225874821447842,-3.7011569975486935e-07
test,test_016,M3,True,-0.2535129959960806,-0.25468739088904624,-0.0011743948929656134,0.0027496233592218043,0.002758595914707766,8.972555485961802e-06
test,test_017,M1+M2,False,3.9882132899877747,3.986097805345886,-0.0021154846418887097,-0.20351762388703376,-0.20352252012950672,-4.896242472962609e-06
test,test_018,M1+M3,False,5.394782901142335,5.3924080092728195,-0.0023748918695156718,0.006081703320739188,0.006071179125096142,-1.0524195643045638e-05
test,test_019,M2+M3,False,-0.09078507772115871,-0.08819678682123722,0.0025882908999214915,-0.1695010818150107,-0.16950108039968004,1.4153306582276315e-09
