split,scene_id,family,snr_db,status
target_transfer_snr_screen,target_transfer_snr_screen_000,M1,4.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_001,M2,4.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_002,M1+M2,4.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_003,M1+M3,4.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_004,M2+M3,4.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_005,M1+M2+M3,4.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_006,M1,8.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_007,M2,8.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_008,M1+M2,8.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_009,M1+M3,8.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_010,M2+M3,8.0,pass
target_transfer_snr_screen,target_transfer_snr_screen_011,M1+M2+M3,8.0,pass
