method,metric,scene_count,mean,median,bootstrap_ci95,bootstrap_unit,split
J0_Current,pfa,12,0.008550138555021366,0.008903668947238659,"[0.007007193079439925, 0.00984289606960881]",scene,snr-screen
J0_Current,false_clusters,12,28.291666666666668,24.0,"[17.582291666666666, 39.834374999999994]",scene,snr-screen
J5_Selective_Physics_Calibration,pfa,12,0.00854516264484714,0.008901742788461538,"[0.00700555383806398, 0.009835755237225715]",scene,snr-screen
J5_Selective_Physics_Calibration,false_clusters,12,29.833333333333332,29.0,"[19.0, 41.416666666666664]",scene,snr-screen
J6_Joint_Phase_Surface,pfa,12,0.00856025088860125,0.00890896588387574,"[0.007027158919014013, 0.00984349799422666]",scene,snr-screen
J6_Joint_Phase_Surface,false_clusters,12,30.833333333333332,28.0,"[19.74791666666667, 42.58749999999998]",scene,snr-screen
