case_id,label,seed,sanity_group,beam_id,target_expected_bin,target_azimuth_offset_deg,target_beam_hypothesis_angle_deg,target_geometry_angle_deg_for_sanity,target_radial_speed_mps,target_fd_truth_hz,target_fd_relative_hz,jdl_row_fd_relative_hz_used,measured_peak_row,measured_peak_col,measured_range_m,spatial_normalized_complex_correlation,spatial_phase_error_rms_rad,spatial_amplitude_normalized_error,spatial_hypothesis_normalized_complex_correlation,spatial_hypothesis_phase_error_rms_rad,jdl_normalized_complex_correlation,jdl_phase_error_rms_rad,jdl_amplitude_normalized_error,signal_definition,status,spatial_phase_error_ch1_rad,spatial_phase_error_ch2_rad,spatial_phase_error_ch3_rad,spatial_phase_error_ch4_rad,jdl_phase_error_feature1_rad,jdl_phase_error_feature2_rad,jdl_phase_error_feature3_rad,jdl_phase_error_feature4_rad,jdl_phase_error_feature5_rad,jdl_phase_error_feature6_rad,jdl_phase_error_feature7_rad,jdl_phase_error_feature8_rad,jdl_phase_error_feature9_rad,jdl_phase_error_feature10_rad,jdl_phase_error_feature11_rad,jdl_phase_error_feature12_rad,angle_perturbation_-2deg_gain_dB,angle_perturbation_-1deg_gain_dB,angle_perturbation_+1deg_gain_dB,angle_perturbation_+2deg_gain_dB,velocity_spatial_invariance_corr
fixed_angle_v_m4,"fixed angle, approaching -4 m/s",20261101,fixed_angle_velocity,31,2200,0.0,0.0,0.0,-4.0,425.975186156,426.12054677088577,440.0,109,2200,88298.87196293332,0.9999998869007583,0.00010351930079834127,0.0004642006454874553,0.9999998869007583,0.00010351930079834127,0.8066686815909936,0.5230470724058833,0.6218220229081254,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,-0.00012293150733984386,-7.94226702056114e-05,7.92457627373505e-05,0.0001231463073983863,-0.04435830935623191,-0.044332823332538886,-0.04472320423166344,-0.044697024709112514,-0.00012293150733990284,-7.942267020550553e-05,7.924576273734512e-05,0.00012314630739837832,3.0827256509836687,3.0827698543130824,3.0826939742137203,3.082739013992677,6.795116656812677,10.924417070293826,10.924417070293824,6.795116656812677,1.0
fixed_angle_v_m1,"fixed angle, approaching -1 m/s",20261102,fixed_angle_velocity,31,2200,0.0,0.0,0.0,-1.0,106.493796539,107.31926392876036,120.0,77,2200,88298.87196293332,0.9999999259271207,2.1569090245367165e-05,0.0003842922494845136,0.9999999259271207,2.1569090245367165e-05,0.8576365717380608,0.4813019984730413,0.5335980285991356,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,-2.6141777875887126e-05,-1.5698773657007976e-05,1.5660795519895288e-05,2.6187772664340843e-05,0.005342799584346387,0.005291070653123593,0.005239219180153469,0.0051876974365533774,-2.614177787548641e-05,-1.569877365645434e-05,1.5660795520441184e-05,2.618777266488111e-05,3.1408711731230445,3.140866278412851,3.1408407650772454,3.140836118999194,6.795116656812677,10.924417070293826,10.924417070293824,6.795116656812677,0.9999999934332381
fixed_angle_v_0,"fixed angle, zero target speed",20261103,fixed_angle_velocity,31,2200,0.0,0.0,0.0,0.0,7.83355978204e-13,0.5207184910134334,10.0,66,2200,88298.87196293332,0.999999999969826,7.766873010318131e-06,1.524320692156662e-07,0.999999999969826,7.766873010318131e-06,0.9998452531466476,0.009017580706516542,0.017592431508738435,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,-7.768665381801514e-06,7.765104676000409e-06,-7.765082583234377e-06,7.768638585078196e-06,0.2877497557587278,0.2698798380394477,0.2877500960945306,0.2698803297623249,-7.768665381734823e-06,7.765104676040674e-06,-7.765082583129326e-06,7.768638585179338e-06,0.8449906567585289,0.877056174058956,0.8449917207693813,0.8770571607580309,6.795116656812677,10.924417070293826,10.924417070293824,6.795116656812677,0.9999998869703342
fixed_angle_v_p1,"fixed angle, receding +1 m/s",20261104,fixed_angle_velocity,31,2200,0.0,0.0,0.0,1.0,-106.493796539,-107.3940894626321,-110.0,54,2200,88298.87196293332,0.9999999212001669,2.4737345192284754e-05,0.00039621677140688896,0.9999999212001669,2.4737345192284754e-05,0.858541796674759,0.5180703140501748,0.5318988683247119,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,-3.370187747142548e-05,-9.462777900057048e-06,9.49761976281699e-06,3.364790036051081e-05,-3.1399576053819813,-3.1399724392807355,-3.139981372631354,-3.1399964412816095,-3.370187747148725e-05,-9.4627779000337e-06,9.49761976281641e-06,3.3647900360507665e-05,0.06335827244416953,0.06345921100830522,0.06324987530615707,0.06335058633357617,6.795116656812677,10.924417070293826,10.924417070293824,6.795116656812677,0.9999996266405036
fixed_angle_v_p4,"fixed angle, receding +4 m/s",20261105,fixed_angle_velocity,31,2200,0.0,0.0,0.0,4.0,-425.975186156,-425.73035802106375,-420.0,23,2200,88298.87196293332,0.9999998909460033,9.955754960146965e-05,0.0004562853151489812,0.9999998909460033,9.955754960146965e-05,0.8066847793380594,0.4990372486654079,0.6217961348611447,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,-9.780803439615718e-05,-0.00010127228174310388,0.000101464440879537,9.761832825161595e-05,3.106271804708848,3.1061825769569573,3.1062318066094483,3.1061417079891025,-9.780803439617292e-05,-0.00010127228174303217,0.00010146444087953537,9.761832825161578e-05,0.018652445583508134,0.018676754793145667,0.018297813701083084,0.01832146088491782,6.795116656812677,10.924417070293826,10.924417070293824,6.795116656812677,0.999999576109777
angle_offset_m075,target azimuth offset -0.75 deg,20261106,angle_offset,31,2200,-0.75,0.0,-0.75,0.5,30.3907453836,30.328324004303358,30.0,68,2200,88298.87196293332,0.9999999991693589,9.791420615377409e-06,3.956526659786116e-05,0.9315125881744457,0.37224659817488037,0.9982876966396549,0.05808437460007446,0.058520138627507504,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,-9.168476620583091e-06,1.039791461206559e-05,-1.037644450526853e-05,9.14546058269361e-06,2.739431804029905,2.7327726156438144,2.739698066484481,2.7330449258471727,-9.168476620607081e-06,1.0397914612192311e-05,-1.037644450538183e-05,9.145460582710024e-06,0.09914009904862478,0.10004172290627897,0.09934318920563555,0.10024606273976659,6.795116656812677,10.924417070293826,10.924417070293824,6.795116656812677,1.0
angle_offset_0,target azimuth offset 0 deg,20261107,angle_offset,31,2200,0.0,0.0,0.0,0.5,-53.2468982695,-54.14178861584338,-50.0,60,2200,88298.87196293332,0.9999999357570035,1.585641842035207e-05,0.000358098543758474,0.9999999357570035,1.585641842035207e-05,0.8801622380151906,0.49761342357621147,0.4895666693600812,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,-2.7690960764861377e-06,2.226907220506994e-05,-2.2238024698379375e-05,2.7559528961853924e-06,-0.016827153063884007,-0.016861698713803917,-0.01676865107663119,-0.016803311422615402,-2.769096076461575e-06,2.226907220502326e-05,-2.223802469836779e-05,2.7559528961814863e-06,-3.1310037153694004,-3.1309607735118994,-3.1309850070788876,-3.1309421923373697,6.795116656812677,10.924417070293826,10.924417070293824,6.795116656812677,0.9315170715216984
angle_offset_p075,target azimuth offset +0.75 deg,20261108,angle_offset,31,2200,0.75,0.0,0.75,0.5,-136.884541923,-136.85244807750612,-130.0,52,2200,88298.87196293332,0.9999999417646895,2.4848459978316487e-05,0.00034037211217957533,0.9315186650404707,0.3722297445423055,0.8917485643287129,0.4508068462534858,0.46529868986702294,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,-3.09099965144459e-05,-1.6742942048789057e-05,1.6783041294293497e-05,3.086033211027127e-05,3.0878901565210475,3.0878975819162098,3.0878349928396225,3.087841978238733,-3.090999651446048e-05,-1.674294204883541e-05,1.6783041294322516e-05,3.0860332110279306e-05,0.06350552873731967,0.06362930691786456,0.06335161574301704,0.06347509758838404,6.795116656812677,10.924417070293826,10.924417070293824,6.795116656812677,0.7354428237527625
range_bin_1200,target range bin 1200,20261109,range,31,1200,0.0,0.0,0.0,-0.5,53.2396011333,53.61862956833001,60.0,71,1200,85800.60147960001,0.9999999332190483,1.2508332545860768e-05,0.0003652471010783201,0.9999999332190483,1.2508332545860768e-05,0.8812556398167102,0.45748302812224706,0.4873281443018657,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,2.365851375855732e-06,1.75170769711879e-05,-1.754644283889575e-05,-2.3475615691051642e-06,3.0497554808968736,3.049744322167865,3.0497751285477315,3.0497641164788907,2.365851375612083e-06,1.751707697096684e-05,-1.754644283907961e-05,-2.3475615693523145e-06,0.04662099885699551,0.046681143234009355,0.04667993126600556,0.04674019205806749,6.796926091639061,10.924736956357457,10.924736956357457,6.7969260916390635,0.9999999999999998
range_bin_2200,target range bin 2200,20261110,range,31,2200,0.0,0.0,0.0,-0.5,53.2468982695,54.06816527773791,60.0,71,2200,88298.87196293332,0.9999999385788435,1.2222691653348567e-05,0.0003502754902890373,0.9999999385788435,1.2222691653348567e-05,0.8798303648297944,0.4453883484614097,0.4902440924773798,raw_target_rd - raw_background_rd from same-seed paired Stage2 outputs,ok,1.8913075052698124e-06,1.7168895935796132e-05,-1.719637114420479e-05,-1.8745413988561932e-06,3.0892730293980697,3.0892297700636706,3.0892939023106307,3.089250781646434,1.8913075052079555e-06,1.7168895935785633e-05,-1.719637114421256e-05,-1.8745413988490864e-06,0.04727382099418521,0.047337680702968954,0.04732948289943606,0.047393448539742256,6.795116656812677,10.924417070293826,10.924417070293824,6.795116656812677,0.998410226771741
