truth_delta_m,case_count,six_fit_count,six_fit_failure_rate,six_fallback_rate,six_estimate_mean_m,six_estimate_ci95_low_m,six_estimate_ci95_high_m,six_bias_mean_m,six_rmse_m,single_fit_count,single_fit_failure_rate,single_fallback_rate,single_estimate_mean_m,single_estimate_ci95_low_m,single_estimate_ci95_high_m,single_bias_mean_m,single_rmse_m,six_minus_single_rmse_m,mean_six_pair_residual_rmse_rad,mean_closure_residual_rad,mean_closure_p95_rad,mean_cross_pair_consistency_m
0.0,3,3,0.0,0.0,0.00015916666666666775,0.00014750000000000077,0.00016500000000000127,0.00015916666666666775,0.0001593803103690468,3,0.0,0.0,0.00017500000000000154,0.00016000000000000112,0.00019500000000000214,0.00017500000000000154,0.00017561795656101693,-1.6237646191970132e-05,0.006348578510525295,0.00028024687235459947,0.000616723731724167,3.833333333333444e-05
0.001,3,3,0.0,0.0,0.0011583333333333352,0.0011450000000000015,0.0011650000000000022,0.0001583333333333352,0.0001586137867063703,3,0.0,0.0,0.0011733333333333346,0.001155000000000002,0.0011949999999999994,0.0001733333333333345,0.00017411681902293943,-1.5503032316569143e-05,0.006337032637141775,0.00027925369019124094,0.0006126196078801993,3.8333333333332135e-05
-0.001,3,3,0.0,0.0,-0.0008424999999999998,-0.0008550000000000002,-0.0008349999999999995,0.0001575000000000002,0.00015775112255279433,3,0.0,0.0,-0.0008249999999999993,-0.0008399999999999999,-0.0008049999999999988,0.00017500000000000068,0.00017561795656101606,-1.786683400822173e-05,0.0063591053083836965,0.00028150851001978647,0.0006195300139925272,4.0000000000001155e-05
0.0025,3,3,0.0,0.0,0.0026616666666666663,0.0026474999999999992,0.00267,0.0001616666666666666,0.00016197993702925055,3,0.0,0.0,0.0026750000000000003,0.002655,0.0026950000000000008,0.00017500000000000024,0.00017576025337563315,-1.3780316346382595e-05,0.006317904178896161,0.0002782069409687458,0.0006134948709560217,3.5000000000001034e-05
-0.0025,3,3,0.0,0.0,-0.0023441666666666645,-0.002354999999999998,-0.0023349999999999977,0.0001558333333333355,0.00015605154063108129,3,0.0,0.0,-0.002328333333333332,-0.0023399999999999975,-0.0023100000000000004,0.0001716666666666682,0.000172167554047408,-1.6116013416326717e-05,0.006370907525068244,0.00028271259675483306,0.0006238997610764166,4.166666666666555e-05
0.005,3,3,0.0,0.0,0.005162500000000001,0.005147500000000002,0.005172500000000001,0.00016250000000000148,0.0001628585787321845,3,0.0,0.0,0.005176666666666667,0.005155000000000002,0.0052,0.0001766666666666667,0.00017762319668331605,-1.4764617951131546e-05,0.006284665355105354,0.00027955587197612896,0.0006482755173177063,3.333333333333169e-05
-0.005,3,3,0.0,0.0,-0.004845833333333333,-0.004857500000000001,-0.0048375,0.00015416666666666674,0.00015440072322801265,3,0.0,0.0,-0.004828333333333334,-0.00484,-0.004810000000000001,0.00017166666666666662,0.00017216755404740648,-1.7766830819393838e-05,0.006379802792188535,0.0002843667585682277,0.0006325018199175719,4.166666666666728e-05
0.01,3,3,0.0,0.0,0.010169166666666667,0.010154999999999999,0.0101825,0.00016916666666666642,0.00016953981833185954,3,0.0,0.0,0.01018,0.010154999999999999,0.010205,0.0001799999999999996,0.00018115371005493247,-1.161389172307293e-05,0.006238296104739475,0.00027883598930238275,0.0006836314324055875,3.166666666666711e-05
-0.01,3,3,0.0,0.0,-0.009850833333333335,-0.00986,-0.00984,0.00014916666666666667,0.00014939461168328664,3,0.0,0.0,-0.009833333333333333,-0.009845,-0.00982,0.0001666666666666674,0.00016698303307023012,-1.758842138694348e-05,0.0063498796316942855,0.0002945454620266916,0.0006487824197091244,4.0000000000000105e-05
