family,level,parameter,value,status,simulate_exit_code,gmticore_exit_code,audit_exit_code,same_as_zero_baseline,rho_median,coherence_gate_pass_fraction,coherence_gate_bypass_fraction,phase_rmse_rad,phase_signature,wideband_delay_ns,amplitude_median_db,csi_coherence,csi_rmse_rad,csi_cancellation_db,p38_k_rad_per_hz,p38_b_rad,gate_rows,gate_bypassed_rows,gate_coherence_mean,cfar_hit_cells,cfar_clusters,cfar_selected,truth_phase_slope_deg_per_pulse,truth_effective_shift_samples,expected_phase_slope_rad_per_hz,measured_slope_rad_per_hz,measured_minus_baseline_slope_rad_per_hz,phase_slope_status,raw_sha256,residual_summary
M1_fractional_channel_delay,zero,channel_impairments.channel_time_delay_ns,0.0,pass,0,0,0,True,0.9874367456408878,1.0,0.0,0.196427021478531,nonlinear_or_mixed_trend,-0.13446439240634486,-0.021601040559222427,0.998393184661393,0.0597100138121657,24.9165264433812,0.00100728485267609,-0.00215290277265012,39,0,0.978063,2297,59,59,0.0,0.0,0.0,1.7787726781034562e-09,0.0,measured,4f4768fe2822d6411bb5db05d4b54aed47398c78684cedb4240f3cbb1c0ab1d1,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M1_fractional_channel_delay/zero/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,weak,channel_impairments.channel_time_delay_ns,2.083333333333333,pass,0,0,0,False,0.984503104870321,1.0,0.0,0.22726384430432828,nonlinear_or_mixed_trend,-0.0816622797301703,1.022094242191466,0.998034468170686,0.0664609243970949,24.0430656606257,0.00100849708542228,-0.00204050866886973,39,0,0.97395,2306,56,56,0.0,0.12499999999999997,1.3089969389957468e-08,9.007374215642243e-09,7.228601537538786e-09,measured,4b820333fb8d30701cd0d9eb59ff559d271ccdf7a11682f93a683d166e8b24a1,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M1_fractional_channel_delay/weak/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,moderate,channel_impairments.channel_time_delay_ns,4.166666666666667,pass,0,0,0,False,0.9691791375075754,1.0,0.0,0.31917523443416207,nonlinear_or_mixed_trend,-0.06566622985558948,2.112446263710709,0.996452699410821,0.0929306961119119,21.4844831051963,0.00101071957033128,-0.00236115395091474,39,0,0.958548,2239,41,41,0.0,0.25000000000000006,2.6179938779914947e-08,2.0421317833071806e-08,1.864254515496835e-08,measured,f46235bf34dbb76782fba70877811ed2034141938b7bf858e2137c7051172af8,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M1_fractional_channel_delay/moderate/residual_texture/residual_texture_summary.json
M1_fractional_channel_delay,strong,channel_impairments.channel_time_delay_ns,8.333333333333334,pass,0,0,0,False,0.8675235623038463,1.0,0.0,0.7796897294970803,nonlinear_or_mixed_trend,-1.1901083285103915,3.8392112971981005,0.977440080667083,0.247193086045667,13.4561876308099,0.00102332641836256,-0.0181425381451845,39,0,0.859429,1928,22,22,0.0,0.5000000000000001,5.2359877559829894e-08,5.355807048452413e-08,5.177929780642068e-08,measured,dec79b26cba6ec0056e564333065be8efec86eb533427cfc65f42fe13f6e67f5,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M1_fractional_channel_delay/strong/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,zero,channel_impairments.per_pulse_phase_drift_deg,0.0,pass,0,0,0,True,0.9874367456408878,1.0,0.0,0.196427021478531,nonlinear_or_mixed_trend,-0.13446439240634486,-0.021601040559222427,0.998393184661393,0.0597100138121657,24.9165264433812,0.00100728485267609,-0.00215290277265012,39,0,0.978063,2297,59,59,0.0,0.0,,,,,4f4768fe2822d6411bb5db05d4b54aed47398c78684cedb4240f3cbb1c0ab1d1,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M2_pulse_varying_differential_phase/zero/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,weak,channel_impairments.per_pulse_phase_drift_deg,0.05,pass,0,0,0,False,0.9883450868282116,1.0,0.0,0.1965383882683991,nonlinear_or_mixed_trend,-0.14127551143757017,-0.02560866675165228,0.998380569208011,0.0599634029703463,24.8680580033434,0.00100884458515793,-0.00112158607225865,39,0,0.977829,2304,56,56,0.05000000000000001,0.0,,,,,9648eacfef0c41ddd811f16e04ee153be28db74a6b1ac19ed8700dcea97c38a9,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M2_pulse_varying_differential_phase/weak/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,moderate,channel_impairments.per_pulse_phase_drift_deg,0.2,pass,0,0,0,False,0.9857197756671003,1.0,0.0,0.21016258097152088,constant_offset_or_random_residual,-0.15894553041982962,-0.017975814635078604,0.99807540196575,0.0656890683703286,24.0578919054245,0.00101158395409584,0.00199198350310326,39,0,0.974471,2292,58,58,0.20000000000000004,0.0,,,,,8c5a8d10cfce62da784b4b895727297584b0e759def7bd918865b2efc6a3ada9,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M2_pulse_varying_differential_phase/moderate/residual_texture/residual_texture_summary.json
M2_pulse_varying_differential_phase,strong,channel_impairments.per_pulse_phase_drift_deg,0.5,pass,0,0,0,False,0.9710547110194537,1.0,0.0,0.2881703503062857,constant_offset_or_random_residual,-0.17042838456026424,0.10665136883253566,0.996249034245221,0.0938745636419812,21.0723112703469,0.00100855005439371,0.00808614958077669,39,0,0.956149,2075,42,42,0.5,0.0,,,,,55a40f3574931992ff3e12538b282e62f782438a9e670ce2b49b4d9b2580f444,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M2_pulse_varying_differential_phase/strong/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,static_regression,scene.area_clutter.temporal_correlation_rho,1.0,pass,0,0,0,True,0.9874367456408878,1.0,0.0,0.196427021478531,nonlinear_or_mixed_trend,-0.13446439240634486,-0.021601040559222427,0.998393184661393,0.0597100138121657,24.9165264433812,0.00100728485267609,-0.00215290277265012,39,0,0.978063,2297,59,59,,,,,,,4f4768fe2822d6411bb5db05d4b54aed47398c78684cedb4240f3cbb1c0ab1d1,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M3_internal_clutter_motion/static_regression/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,weak_motion,scene.area_clutter.temporal_correlation_rho,0.99,pass,0,0,0,False,0.9794673957803856,1.0,0.0,0.35770561525135136,nonlinear_or_mixed_trend,-0.4041408183489412,-0.011962655952267462,0.991291044176666,0.137884100821877,17.5378020773797,0.00199183984659612,0.0143533777445555,39,0,0.947503,2103,6,6,,,,,,,48014b6aae29ac14ec60e8dd6e0153d2a8242afd986ad47a487e58cd2b933dbd,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_seed2026091013/M3_internal_clutter_motion/weak_motion/residual_texture/residual_texture_summary.json
