family,level,value,p38_k_rad_per_hz,p38_b_rad,csi_coherence,csi_cancellation_db
M1_fractional_channel_delay,zero,0.0,0.00100728485267609,-0.00215290277265012,0.998393184661393,24.9165264433812
M1_fractional_channel_delay,weak,2.083333333333333,0.00100849708542228,-0.00204050866886973,0.998034468170686,24.0430656606257
M1_fractional_channel_delay,moderate,4.166666666666667,0.00101071957033128,-0.00236115395091474,0.996452699410821,21.4844831051963
M1_fractional_channel_delay,strong,8.333333333333334,0.00102332641836256,-0.0181425381451845,0.977440080667083,13.4561876308099
M2_pulse_varying_differential_phase,zero,0.0,0.00100728485267609,-0.00215290277265012,0.998393184661393,24.9165264433812
M2_pulse_varying_differential_phase,weak,0.05,0.00100884458515793,-0.00112158607225865,0.998380569208011,24.8680580033434
M2_pulse_varying_differential_phase,moderate,0.2,0.00101158395409584,0.00199198350310326,0.99807540196575,24.0578919054245
M2_pulse_varying_differential_phase,strong,0.5,0.00100855005439371,0.00808614958077669,0.996249034245221,21.0723112703469
M3_internal_clutter_motion,static_regression,1.0,0.00100728485267609,-0.00215290277265012,0.998393184661393,24.9165264433812
M3_internal_clutter_motion,weak_motion,0.99,0.00199183984659612,0.0143533777445555,0.991291044176666,17.5378020773797
M3_internal_clutter_motion,moderate_motion,0.95,0.00390022760257125,-0.00700796116143465,0.969098526883023,12.0836772571827
M3_internal_clutter_motion,strong_motion,0.8,0.00652851536870003,-0.0187795460224152,0.931393200839012,8.62597108276007
