metric,scene_count,mean,bootstrap_ci95,bootstrap_unit,method,split
paired_causal_hit,24,0.25,"[0.08333333333333333, 0.4166666666666667]",scene,J0_Current,audit
paired_causal_hit,24,0.2916666666666667,"[0.125, 0.4583333333333333]",scene,J5_Selective_Physics_Calibration,audit
paired_causal_hit,24,0.2916666666666667,"[0.125, 0.4583333333333333]",scene,J6_Joint_Phase_Surface,audit
