method,metric,scene_count,mean,median,bootstrap_ci95,bootstrap_unit,split
J0_Current,pfa,24,0.008348333294810157,0.00830078125,"[0.007394829523712299, 0.009340533796381903]",scene,audit
J0_Current,false_clusters,24,27.708333333333332,23.0,"[19.499479166666667, 35.729166666666664]",scene,audit
J5_Selective_Physics_Calibration,pfa,24,0.008364183976413544,0.008394199950690335,"[0.007411996413813383, 0.009339147363345455]",scene,audit
J5_Selective_Physics_Calibration,false_clusters,24,30.625,23.5,"[21.1015625, 40.69010416666665]",scene,audit
J6_Joint_Phase_Surface,pfa,24,0.00835868639823718,0.008310412043885601,"[0.00741441615077714, 0.009337528186123436]",scene,audit
J6_Joint_Phase_Surface,false_clusters,24,32.770833333333336,24.5,"[23.061458333333334, 42.68854166666666]",scene,audit
