split,scene_id,family,snr_db,method,off_calibration_role,on_calibration_role,same_correction_primary,off_estimated_delay_ns,on_estimated_delay_ns,on_minus_off_estimated_delay_ns,off_estimated_phase_slope_deg_per_pulse,on_estimated_phase_slope_deg_per_pulse,on_minus_off_estimated_phase_slope_deg_per_pulse,off_estimated_beta2_deg_per_pulse2,on_estimated_beta2_deg_per_pulse2,on_minus_off_estimated_beta2_deg_per_pulse2,off_raw_coherence,on_raw_coherence,on_minus_off_raw_coherence,off_joint_confidence,on_joint_confidence,on_minus_off_joint_confidence,off_joint_rmse_rad,on_joint_rmse_rad,on_minus_off_joint_rmse_rad,off_branch,on_branch,on_minus_off_branch,off_state,on_state,on_minus_off_state,off_delay_state,on_delay_state,on_minus_off_delay_state,off_phase_state,on_phase_state,on_minus_off_phase_state,deployment_check_definition
target_transfer,target_transfer_000,M1,10.0,J5_Selective_Physics_Calibration,target_off,target_on,True,5.7647705413425685,5.7747358499128705,0.009965308570301978,-0.0032483643941931496,-0.003252129190011346,-3.764795818196349e-06,nan,nan,nan,0.8428995105385728,0.8430321805394061,0.0001326700008332793,0.8214853391004352,0.8216296037872901,0.00014426468685491134,0.3568856142715499,0.3566366108712521,-0.0002490034002978203,D1P0,D1P0,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,INACTIVE,INACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_000,M1,10.0,J6_Joint_Phase_Surface,target_off,target_on,True,4.557735936589327,4.5544080250980965,-0.003327911491230573,0.003132147025273775,0.0030559125574404484,-7.623446783332644e-05,-1.221010331168598e-05,-1.1618483389737771e-05,5.916199219482086e-07,0.8428995105385728,0.8430321805394061,0.0001326700008332793,0.8214853391004352,0.8216296037872901,0.00014426468685491134,0.3568856142715499,0.3566366108712521,-0.0002490034002978203,D1P0,D1P0,same,CALIBRATABLE,CALIBRATABLE,same,ACTIVE,ACTIVE,same,INACTIVE,INACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_001,M2,10.0,J5_Selective_Physics_Calibration,target_off,target_on,True,0.06633081753323664,0.04518274137785014,-0.021148076155386497,-0.46432697000530554,-0.46431075220800283,1.6217797302708892e-05,nan,nan,nan,0.8447069299430617,0.8448965387763709,0.0001896088333092072,0.789041032516775,0.7892436314290517,0.0002025989122766969,0.40374804785473417,0.40347248226482607,-0.0002755655899081,D0P1,D0P1,same,CALIBRATABLE,CALIBRATABLE,same,INACTIVE,INACTIVE,same,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_001,M2,10.0,J6_Joint_Phase_Surface,target_off,target_on,True,-0.012898934216554123,-0.01383791982766259,-0.0009389856111084675,-0.5677735142291641,-0.567576904916109,0.0001966093130550961,0.0008289308343266004,0.0008271329232493804,-1.7979110772199571e-06,0.8447069299430617,0.8448965387763709,0.0001896088333092072,0.789041032516775,0.7892436314290517,0.0002025989122766969,0.40374804785473417,0.40347248226482607,-0.0002755655899081,D0P1,D0P1,same,CALIBRATABLE,CALIBRATABLE,same,INACTIVE,INACTIVE,same,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_002,M1+M2,10.0,J5_Selective_Physics_Calibration,target_off,target_on,True,8.351228070956145,8.342214119466178,-0.009013951489967198,-0.6131156842982681,-0.6132386458673913,-0.00012296156912317002,nan,nan,nan,0.7842722464873629,0.785273526360206,0.0010012798728430417,0.7980923395701244,0.7982601400238198,0.0001678004536954658,0.3897666953741316,0.3895647739969496,-0.00020192137718200165,D0P0,D0P0,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_002,M1+M2,10.0,J6_Joint_Phase_Surface,target_off,target_on,True,8.325062875198048,8.3271296861841,0.0020668109860526584,-0.5292518727036294,-0.5292680044918312,-1.6131788201811936e-05,-0.0006545588925982156,-0.000654320480564048,2.3841203416758838e-07,0.7842722464873629,0.785273526360206,0.0010012798728430417,0.7980923395701244,0.7982601400238198,0.0001678004536954658,0.3897666953741316,0.3895647739969496,-0.00020192137718200165,D0P0,D0P0,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_003,M1+M3,10.0,J5_Selective_Physics_Calibration,target_off,target_on,True,9.561634515947091,9.566825958305486,0.005191442358395193,-0.030544453366240044,-0.0305965351681467,-5.2081801906654623e-05,nan,nan,nan,0.7669534466452848,0.7670641702234715,0.00011072357818675549,0.7972385384115764,0.7974119831645274,0.00017344475295100192,0.3942643117124582,0.3939559156490176,-0.0003083960634405747,D0P0,D0P0,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_003,M1+M3,10.0,J6_Joint_Phase_Surface,target_off,target_on,True,10.35606284433288,10.355893795043105,-0.00016904928977545808,0.05053267580085318,0.050500410158162465,-3.226564269071669e-05,-0.0006597121272206176,-0.000659492683661948,2.1944355866959035e-07,0.7669534466452848,0.7670641702234715,0.00011072357818675549,0.7972385384115764,0.7974119831645274,0.00017344475295100192,0.3942643117124582,0.3939559156490176,-0.0003083960634405747,D0P0,D0P0,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,DECORRELATED,DECORRELATED,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_004,M2+M3,10.0,J5_Selective_Physics_Calibration,target_off,target_on,True,-0.01826074067148099,-0.025903390840558083,-0.0076426501690770934,-0.3459434703121334,-0.34593839487902683,5.0754331065716585e-06,nan,nan,nan,0.855619770764766,0.8557852663772484,0.0001654956124823581,0.7995700916349892,0.7997823511904893,0.00021225955550019382,0.3879805355333732,0.3876702460319303,-0.00031028950144290635,D0P1,D0P1,same,CALIBRATABLE,CALIBRATABLE,same,UNCERTAIN,INACTIVE,different,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
target_transfer,target_transfer_004,M2+M3,10.0,J6_Joint_Phase_Surface,target_off,target_on,True,0.04190204906851897,0.044274720683889136,0.0023726716153701644,-0.3244073171337705,-0.3244076195081816,-3.0237441106528706e-07,-0.0001876785995019623,-0.00018764980176339888,2.8797738563419734e-08,0.855619770764766,0.8557852663772484,0.0001654956124823581,0.7995700916349892,0.7997823511904893,0.00021225955550019382,0.3879805355333732,0.3876702460319303,-0.00031028950144290635,D0P1,D0P1,same,CALIBRATABLE,CALIBRATABLE,same,UNCERTAIN,INACTIVE,different,ACTIVE,ACTIVE,same,ON-derived estimates are diagnostic only; primary metrics use OFF-derived frozen correction
