split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode
target_transfer,target_transfer_008,target_off,J5_Selective_Physics_Calibration,measured,0.010603504068047337,5505,64,64,519168,1e-06,dynamic
target_transfer,target_transfer_008,target_on,J5_Selective_Physics_Calibration,measured,0.010580390162721894,5493,64,64,519168,1e-06,dynamic
target_transfer,target_transfer_008,target_off,J6_Joint_Phase_Surface,measured,0.010597725591715977,5502,64,64,519168,1e-06,dynamic
target_transfer,target_transfer_008,target_on,J6_Joint_Phase_Surface,measured,0.010593873274161735,5500,64,64,519168,1e-06,dynamic
target_transfer,target_transfer_009,target_off,J0_Current,measured,0.008478950936883629,4402,20,20,519168,1e-06,dynamic
target_transfer,target_transfer_009,target_on,J0_Current,measured,0.008461615507889547,4393,20,20,519168,1e-06,dynamic
target_transfer,target_transfer_009,target_off,J5_Selective_Physics_Calibration,measured,0.008638822115384616,4485,27,27,519168,1e-06,dynamic
target_transfer,target_transfer_009,target_on,J5_Selective_Physics_Calibration,measured,0.008579111193293885,4454,27,27,519168,1e-06,dynamic
target_transfer,target_transfer_009,target_off,J6_Joint_Phase_Surface,measured,0.008567554240631164,4448,26,26,519168,1e-06,dynamic
target_transfer,target_transfer_009,target_on,J6_Joint_Phase_Surface,measured,0.008509769477317554,4418,26,26,519168,1e-06,dynamic
target_transfer,target_transfer_010,target_off,J0_Current,measured,0.008128390039447733,4220,23,23,519168,1e-06,dynamic
target_transfer,target_transfer_010,target_on,J0_Current,measured,0.008134168515779092,4223,23,23,519168,1e-06,dynamic
target_transfer,target_transfer_010,target_off,J5_Selective_Physics_Calibration,measured,0.008128390039447733,4220,23,23,519168,1e-06,dynamic
target_transfer,target_transfer_010,target_on,J5_Selective_Physics_Calibration,measured,0.008132242357001973,4222,23,23,519168,1e-06,dynamic
target_transfer,target_transfer_010,target_off,J6_Joint_Phase_Surface,measured,0.007983928131163708,4145,23,23,519168,1e-06,dynamic
target_transfer,target_transfer_010,target_on,J6_Joint_Phase_Surface,measured,0.007985854289940829,4146,23,23,519168,1e-06,dynamic
target_transfer,target_transfer_011,target_off,J0_Current,measured,0.01068055041913215,5545,18,18,519168,1e-06,dynamic
target_transfer,target_transfer_011,target_on,J0_Current,measured,0.010690181213017751,5550,17,17,519168,1e-06,dynamic
