split,scene_id,family,snr_db,status
target_transfer,target_transfer_000,M1,10.0,pass
target_transfer,target_transfer_001,M2,10.0,pass
target_transfer,target_transfer_002,M1+M2,10.0,pass
target_transfer,target_transfer_003,M1+M3,10.0,pass
target_transfer,target_transfer_004,M2+M3,10.0,pass
target_transfer,target_transfer_005,M1+M2+M3,10.0,pass
target_transfer,target_transfer_006,M1,12.0,pass
target_transfer,target_transfer_007,M2,12.0,pass
target_transfer,target_transfer_008,M1+M2,12.0,pass
target_transfer,target_transfer_009,M1+M3,12.0,pass
target_transfer,target_transfer_010,M2+M3,12.0,pass
target_transfer,target_transfer_011,M1+M2+M3,12.0,pass
target_transfer,target_transfer_012,M1,14.0,pass
target_transfer,target_transfer_013,M2,14.0,pass
target_transfer,target_transfer_014,M1+M2,14.0,pass
target_transfer,target_transfer_015,M1+M3,14.0,pass
target_transfer,target_transfer_016,M2+M3,14.0,pass
target_transfer,target_transfer_017,M1+M2+M3,14.0,pass
target_transfer,target_transfer_018,M1,16.0,pass
target_transfer,target_transfer_019,M2,16.0,pass
target_transfer,target_transfer_020,M1+M2,16.0,pass
target_transfer,target_transfer_021,M1+M3,16.0,pass
target_transfer,target_transfer_022,M2+M3,16.0,pass
target_transfer,target_transfer_023,M1+M2+M3,16.0,pass
