split,scene_id,family,snr_db,method,target_id,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,paired_hit_definition
target_transfer,target_transfer_011,M1+M2+M3,12.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_011,M1+M2+M3,12.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_011,M1+M2+M3,12.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_012,M1,14.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_012,M1,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_012,M1,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_013,M2,14.0,J0_Current,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_013,M2,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_013,M2,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_014,M1+M2,14.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_014,M1+M2,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_014,M1+M2,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_015,M1+M3,14.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_015,M1+M3,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_015,M1+M3,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_016,M2+M3,14.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_016,M2+M3,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_016,M2+M3,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_017,M1+M2+M3,14.0,J0_Current,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_017,M1+M2+M3,14.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_017,M1+M2+M3,14.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_018,M1,16.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_018,M1,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_018,M1,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_019,M2,16.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_019,M2,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_019,M2,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_020,M1+M2,16.0,J0_Current,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_020,M1+M2,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_020,M1+M2,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_021,M1+M3,16.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_021,M1+M3,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_021,M1+M3,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_022,M2+M3,16.0,J0_Current,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_022,M2+M3,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_022,M2+M3,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_023,M1+M2+M3,16.0,J0_Current,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_023,M1+M2+M3,16.0,J5_Selective_Physics_Calibration,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
target_transfer,target_transfer_023,M1+M2+M3,16.0,J6_Joint_Phase_Surface,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,on_hit AND NOT off_hit
