split,method,target_count,paired_causal_hit_count,paired_causal_pd,on_hit_count,off_hit_count,definition
audit,J0_Current,24,6,0.25,6,0,paired_causal_hit = on_hit AND NOT off_hit
audit,J5_Selective_Physics_Calibration,24,7,0.2916666666666667,7,0,paired_causal_hit = on_hit AND NOT off_hit
audit,J6_Joint_Phase_Surface,24,7,0.2916666666666667,7,0,paired_causal_hit = on_hit AND NOT off_hit
