packet_index,beam_index,pulse_index,prt_counter,theta_cmd_deg,closure_phase_C12_C23_minus_C13_rad,C13_effective_sample_count,C13_cross_real,C13_cross_imag,C13_cross_magnitude,C13_coherence,C13_phase_rad,C13_right_minus_left_phase_rad,C24_effective_sample_count,C24_cross_real,C24_cross_imag,C24_cross_magnitude,C24_coherence,C24_phase_rad,C24_right_minus_left_phase_rad,C12_effective_sample_count,C12_cross_real,C12_cross_imag,C12_cross_magnitude,C12_coherence,C12_phase_rad,C12_right_minus_left_phase_rad,C14_effective_sample_count,C14_cross_real,C14_cross_imag,C14_cross_magnitude,C14_coherence,C14_phase_rad,C14_right_minus_left_phase_rad,C23_effective_sample_count,C23_cross_real,C23_cross_imag,C23_cross_magnitude,C23_coherence,C23_phase_rad,C23_right_minus_left_phase_rad,C34_effective_sample_count,C34_cross_real,C34_cross_imag,C34_cross_magnitude,C34_coherence,C34_phase_rad,C34_right_minus_left_phase_rad
0,0,0,0,-6.0,2.3638202812198634,4096,-0.07802494937734662,-0.08877369836711574,0.11818909529695686,0.02879040303297035,-2.291842007045978,,4096,0.011936255153735545,-0.040715656392245336,0.042429221799916,0.010337130236067459,-1.2856253086134835,,4096,-0.07413792331889887,-0.007744174311591346,0.07454128996608014,0.01821849815641213,-3.0375137819757114,3.0375137819757114,4096,-0.04226128404895425,-0.04039375135867634,0.058460852527934974,0.014268404299571113,-2.3787849468422535,2.3787849468422535,4096,-0.0878434106161854,0.0028207949230273054,0.08788868910549032,0.021371154416278425,3.109492056149597,3.109492056149597,4096,-0.04143372872415032,-0.029758257839348694,0.051012819816391615,0.012387079345043317,-2.51874725239952,2.51874725239952
1,0,1,1,-6.0,3.1117841596399556,4096,-0.039721355058335475,-0.053331721476439824,0.06649856061082003,0.016265801193599518,-2.2109597806188077,,4096,-0.037096281969847,0.048724853236397414,0.06123924770026869,0.014798686953330862,2.221516947441425,,4096,0.0773667551351041,-0.0217933700695429,0.0803776447721828,0.019706249455125318,-0.2745742984988371,0.2745742984988371,4096,0.07624243707551523,0.02139038844340705,0.0791862231008257,0.019116729197188903,0.27352560879074256,-0.27352560879074256,4096,0.024378465848561702,0.058408508193391565,0.06329189068519742,0.015496751246201193,1.1753986775199847,1.1753986775199847,4096,-0.059640538579723075,-0.01673540685631483,0.06194406900362476,0.014934393208269255,-2.8680234338133643,2.8680234338133643
2,0,2,2,-6.0,-2.816298299424748,4096,0.00016141468237497805,0.015093714775644702,0.01509457784862503,0.003712030122340868,1.5601025690427246,,4096,-0.07591134822417184,-0.01265869426217995,0.07695956944808634,0.01858264884040859,-2.976356783238907,,4096,-0.03665348031371383,0.03754265065531823,0.05246835462767127,0.01273086874694967,2.3442110111773746,-2.3442110111773746,4096,0.0030226706656813554,0.025594325860661935,0.025772195370494126,0.006237549111744874,1.4532415886174745,-1.4532415886174745,4096,-0.015717445660546787,0.0077639877892200625,0.017530476447700994,0.004300972515745835,2.6827785656201883,2.6827785656201883,4096,0.007221729601859704,-0.010372093741267865,0.012638580103003056,0.0030929521465997488,-0.9625812310878034,0.9625812310878034
3,0,3,3,-6.0,2.570210617662043,4096,0.0632140063754183,-0.010678771594643179,0.06410964642549499,0.015474508048472226,-0.16735048174888706,,4096,0.013009141766871915,-0.08729519435933655,0.08825921327399716,0.02134038619223726,-1.4228603359075096,,4096,-0.03283227897774103,-0.0223470722630765,0.039715868133573244,0.009450087138521409,-2.543976201415772,2.543976201415772,4096,0.025324092805823924,-0.012693692607994585,0.02832736324588364,0.00690367653123521,-0.464646827699078,0.46464682769907806,4096,0.01706839279967716,-0.07146387333847401,0.07347390846621356,0.01759521395251902,-1.3363489698506583,-1.3363489698506583,4096,-0.047721260751742156,0.027337519814995083,0.054996897343132144,0.013489694937983595,2.621369415542502,-2.621369415542502
4,0,4,4,-6.0,2.2103183194954252,4096,-0.03126915696817632,-0.03643697315574946,0.04801471847520567,0.011847722320269984,-2.2800150438320377,,4096,-0.007515192009667038,0.022061994398871368,0.023306859672594136,0.005724449544306451,1.8991081699264576,,4096,-0.027525684869225877,0.028965341953948516,0.039958157640575725,0.009762919909399476,2.3307153014496547,-2.3307153014496547,4096,0.025201680601409898,0.03909246416902977,0.046511777647627664,0.011384821725470522,0.9981782139267836,-0.9981782139267836,4096,-0.0721201256203432,-0.0660084372827844,0.09776720468546375,0.024206965578924725,-2.400412025786267,-2.400412025786267,4096,0.06918356433850568,0.017935014914744543,0.07147048575861413,0.017728129429468234,0.25365425784176887,-0.25365425784176887
5,0,5,5,-6.0,0.5820140601348689,4096,0.01621141694679603,0.04757608469570759,0.05026225098815221,0.012440930267030926,1.242388211677189,,4096,-0.011318869920767444,-0.06183464961069102,0.06286207687278703,0.015095640747152169,-1.7518425513800324,,4096,-0.04345711776960325,-0.04197183255825382,0.06041651937292699,0.014649599359586152,-2.3735789433009695,2.3735789433009695,4096,0.0008450148070862432,0.0160765555577405,0.01609874804527706,0.0038992102049132697,1.5182827207925267,-1.5182827207925267,4096,-0.02813575584333798,-0.049783705843162836,0.057184247169605136,0.014033487452453768,-2.0852040920665593,-2.0852040920665593,4096,0.02509123510973435,0.024286316996476418,0.03491984067239289,0.008560043175875234,0.7690983106764974,-0.7690983106764974
6,0,6,6,-6.0,0.2770448776604895,4096,-0.018102638238180566,0.04205111206088606,0.04578210935223097,0.011429020564061976,1.977308952156233,,4096,-0.07026577487357256,0.07028609614277646,0.09938518214288887,0.024458780082364604,2.3560499082033943,,4096,-0.017873879916004736,-0.10570123022701289,0.10720179874776234,0.02671898134066607,-1.7383098113064972,1.7383098113064972,4096,-0.010633288555401733,-0.024345357825066,0.026566205471104446,0.006610614704462277,-1.982592731355058,1.982592731355058,4096,-0.03001366604543785,-0.03423942485122199,0.045531948823101645,0.011241655984971457,-2.2905216660563674,-2.2905216660563674,4096,-0.012665344314725964,-0.03615801307047292,0.03831204583176226,0.009443737119272991,-1.9077184859527763,1.9077184859527763
7,0,7,7,-6.0,1.2773512329320271,4096,0.04314483788122951,0.0010758410358302252,0.04315824915044577,0.010529211455302528,0.024930401690566047,,4096,-0.015649664659526497,0.03120878312713346,0.03491275051083891,0.008588980571719067,2.03560378417584,,4096,-0.028084415768856088,0.0018467484557304712,0.028145068643311486,0.006981388150751345,3.0759301316678758,-3.0759301316678758,4096,0.029208702635929257,0.051735480719489156,0.05941134803175884,0.014460128115076243,1.0568298981097022,-1.0568298981097022,4096,-0.005890884141508294,-0.02864085834571055,0.02924040496894206,0.007210580572302848,-1.7736484970452826,-1.7736484970452826,4096,0.07505304264318698,-0.08189931056790785,0.11108760633616455,0.02687916181066752,-0.8289905695372,0.8289905695372
8,1,0,8,-4.0,2.346144854340473,4096,-0.0074889424156697,0.032502404799943,0.03335401889254988,0.00808248298798953,1.7972559307175286,,4096,0.025435126068173573,-0.06308380412936053,0.06801846794463551,0.016550148056327388,-1.1875379730008877,,4096,0.002344339476897812,-0.04912892496881719,0.04918482688974935,0.011899833704349768,-1.5231143850948479,1.5231143850948479,4096,-0.05429581558872891,0.04227540371552629,0.06881311902359892,0.01664307552283958,2.4800295645318498,-2.4800295645318498,4096,0.010110379710547217,-0.0071671867958290735,0.012393076472682295,0.003021262464962496,-0.6166701370267372,-0.6166701370267372,4096,0.02353717452311687,-0.07977767203128293,0.08317737396228979,0.020270624383486327,-1.2839011364323176,1.2839011364323176
9,1,1,9,-4.0,-2.285592536607412,4096,-0.006384713040298293,0.03429096717364096,0.0348802951580212,0.008468584550674492,1.7548806622326336,,4096,0.02978298883840265,0.06300626237320055,0.06969085680624829,0.017048016946216115,1.1292271820599236,,4096,0.035361669867107315,0.03525102584916359,0.04993077727422922,0.012223800493192057,0.7838312507301193,-0.7838312507301193,4096,-0.10527499145274624,-0.026025523573577927,0.10844423314614131,0.02660625161136321,-2.899237179021842,2.899237179021842,4096,0.008766262573642422,-0.033457284813347,0.03458666313178338,0.008372596721079505,-1.3145431251048978,-1.3145431251048978,4096,0.025231952533326035,-0.02887382376166954,0.03834513172834292,0.00930252934808524,-0.8526069966894493,0.8526069966894493
10,1,2,10,-4.0,0.11334850269753649,4096,-0.021699138861396725,-0.06641988351155431,0.06987455583411334,0.01731603932801894,-1.8865618233430526,,4096,0.0002692654643538187,-0.006169583801988534,0.006175456920751126,0.00152192006316902,-1.5271799820909757,,4096,0.05068488178463109,-0.04629056904097478,0.06864236318527561,0.016915747848353018,-0.7401154784368226,0.7401154784368226,4096,0.00863557372427107,0.08269929398541659,0.08314894081847153,0.020450030755991416,1.4667520218911831,-1.4667520218911831,4096,0.04667450806533818,-0.07827281931526311,0.0911325624938811,0.022630210154011142,-1.0330978422086936,-1.0330978422086936,4096,-0.07015789650610373,-0.01406564679738077,0.071553985647131,0.017733199607075433,-2.9437302304434083,2.9437302304434083
11,1,3,11,-4.0,-1.1012494347226431,4096,0.044138268147507445,-0.05184234553156314,0.06808682328670691,0.01677879582221719,-0.8654934607144141,,4096,0.04363319069368555,0.019681248120923613,0.04786655259895877,0.011442864606837359,0.42373623733990456,,4096,-0.053837322582656284,8.77730346128952e-05,0.05383739413246705,0.012939824552772051,3.139962317001058,-3.139962317001058,4096,0.015503444701935706,-0.025721143396515156,0.03003221628934624,0.007233448493354971,-1.0283564929422735,1.0283564929422735,4096,0.017586524606240765,0.042264180451733885,0.04577714273502265,0.011196724647025017,1.176480094741471,1.176480094741471,4096,0.07756820959551568,0.013841432925172675,0.07879347945912724,0.0193128447056799,0.17658350515480198,-0.17658350515480198
12,1,4,12,-4.0,-1.1912569359172922,4096,-0.008182846523421909,-0.016896316805162317,0.01877350523493917,0.004568756299714515,-2.021803330031665,,4096,-0.0750319695462842,-0.0861688893746726,0.11425792729635473,0.027899406558335945,-2.2872168714007257,,4096,-0.0313112951314375,-0.008180635531860315,0.032362323781105665,0.00785848442090328,-2.8860373688293106,2.8860373688293106,4096,0.04416424725341666,-0.015308290093746839,0.04674210608279465,0.011327641157081328,-0.3336621069496704,0.3336621069496704,4096,0.08332019642113253,-0.028262365594893226,0.08798304632527514,0.021573918714142423,-0.3270228971196465,-0.3270228971196465,4096,0.03308994800829057,-0.017609355340023107,0.037483783889604494,0.009172877138497263,-0.4890482993663246,0.4890482993663246
13,1,5,13,-4.0,1.565959967912268,4096,0.039913961297265224,0.06626657188554633,0.07735879300959823,0.018957542089878873,1.0286695926503016,,4096,0.04216433077646171,-0.01736452016420436,0.045599970946919866,0.01125284765210798,-0.3906625427362965,,4096,0.03617016696940595,-0.01609819779641824,0.03959081902268896,0.00982334385801316,-0.4187452313925855,0.4187452313925855,4096,-0.0626019649848753,-0.061676019239948275,0.08788024447652626,0.021770763544518804,-2.363644953906723,2.363644953906723,4096,-0.022005686717071513,0.0028370862230981883,0.022187818868180602,0.005416296423214962,3.013374791955155,3.013374791955155,4096,0.01990297089240286,0.027308125146992546,0.03379144787350258,0.008235920718682163,0.9409824922840004,-0.9409824922840004
14,1,6,14,-4.0,-1.7771064059706985,4096,-0.035676678198791195,0.044760527324291054,0.05723923631259164,0.013846358510751883,2.2437399953745594,,4096,0.0313723061629061,-0.082533698265085,0.08829514677087982,0.021214492471373792,-1.2075487313362665,,4096,-0.014055051550297482,-0.006809235695326571,0.015617623533560705,0.0037230838631599384,-2.690446925468383,2.690446925468383,4096,0.006158109135126984,0.003109981260680711,0.006898861613477951,0.0016460116764458468,0.46765721970486857,-0.4676572197048685,4096,-0.05911929756594396,-0.0009157046988578013,0.059126388861371684,0.014403347274576875,-3.1261047923073426,-3.1261047923073426,4096,-0.014628193012827306,-0.01840657617605551,0.023511403134340237,0.005732291062553656,-2.242313410014806,2.242313410014806
