beam_index,theta_cmd_deg,pair,phase_error_rad,resultant_length,weight
0,-6.0,C12,1.5125452238585487e-08,0.9999999999999998,484.22335106709875
0,-6.0,C14,1.741345603625416e-08,0.9999999999999988,339.4811134478718
0,-6.0,C23,-1.7141762394336006e-08,0.9999999999999997,472.9109702197729
0,-6.0,C34,-1.5088123120061698e-08,0.9999999999999996,436.2862197189168
1,-4.0,C12,-5.102667312987047e-09,0.999999999999999,396.41657346282193
1,-4.0,C14,8.684362553175483e-09,0.9999999999999967,487.32374639523005
1,-4.0,C23,4.098493626992963e-09,0.9999999999999993,440.4993945965367
1,-4.0,C34,-8.976063251125832e-09,0.9999999999999992,431.5219592915046
2,-2.0,C12,1.707795395390682e-08,0.9999999999999992,369.4696220773383
2,-2.0,C14,-5.840921979291042e-09,0.9999999999999997,633.1758776218708
2,-2.0,C23,9.887626922333725e-09,0.9999999999999993,442.11639838310987
2,-2.0,C34,1.9916623419051506e-08,0.9999999999999998,409.7885082053193
3,0.0,C12,0.0,1.0,502.3150583870231
3,0.0,C14,0.0,1.0,413.3599069016279
3,0.0,C23,0.0,1.0,625.4890359119238
3,0.0,C34,0.0,1.0,392.7663123184974
4,2.0,C12,1.1436808609911889e-08,0.9999999999999992,463.89824940463495
4,2.0,C14,-1.0261372995989248e-08,0.9999999999999994,568.3488225985795
4,2.0,C23,-1.1797512343300333e-09,0.9999999999999989,506.87045347796897
4,2.0,C34,3.1608113216797946e-09,0.9999999999999996,514.1249959916884
5,4.0,C12,7.958248346557868e-09,0.9999999999999996,520.9291134318551
5,4.0,C14,3.468475967353637e-08,0.9999999999999986,434.9054663159678
5,4.0,C23,-2.0955053373220827e-08,0.9999999999999994,446.10805534783947
5,4.0,C34,1.22410796932117e-08,0.9999999999999998,516.5362200806285
6,6.0,C12,-2.380558520491259e-09,0.9999999999999994,376.280025765913
6,6.0,C14,-4.809338270430272e-09,0.9999999999999999,465.4778554600479
6,6.0,C23,-3.519228389467166e-09,0.9999999999999998,522.4350903461194
6,6.0,C34,-2.4556321900160662e-08,0.9999999999999994,438.9748918599841
