beam_index,theta_cmd_deg,pair,phase_error_rad,resultant_length,weight
0,-6.0,C12,-0.3505207360768033,0.9999999999999997,484.2233492923259
0,-6.0,C14,-0.350520723677873,0.9999999999999993,339.48111701669444
0,-6.0,C23,-0.3505207431466591,0.9999999999999999,472.9109725494688
0,-6.0,C34,-0.3505207444173623,0.9999999999999994,436.2862183680155
1,-4.0,C12,-0.2339180179564704,0.9999999999999997,396.41657503150583
1,-4.0,C14,-0.2339180086878141,0.9999999999999964,487.3237484876522
1,-4.0,C23,-0.23391800356891854,0.9999999999999997,440.49939551733877
1,-4.0,C34,-0.2339180107739133,0.9999999999999992,431.5219620318461
2,-2.0,C12,-0.1170302961328536,0.9999999999999993,369.4696214583432
2,-2.0,C14,-0.11703030035450951,1.0,633.1758765574132
2,-2.0,C23,-0.1170302927420857,0.9999999999999998,442.1164030647608
2,-2.0,C34,-0.11703028040315287,0.9999999999999994,409.7885113311137
3,0.0,C12,0.0,1.0,445.8136277064643
3,0.0,C14,0.0,1.0,420.08264238326154
3,0.0,C23,0.0,1.0,607.0347069844659
3,0.0,C34,0.0,1.0,309.8779262025103
4,2.0,C12,0.11703031576279756,0.9999999999999991,463.8982523346417
4,2.0,C14,0.11703029149136113,0.9999999999999996,568.348824751691
4,2.0,C23,0.11703029579136993,0.9999999999999994,506.87045133704396
4,2.0,C34,0.11703030094630573,0.9999999999999998,514.1249936021695
5,4.0,C12,0.23391801865181935,0.9999999999999998,520.9291150130634
5,4.0,C14,0.2339180349872065,0.9999999999999996,434.90546903201687
5,4.0,C23,0.2339179892789899,0.9999999999999998,446.1080594701081
5,4.0,C34,0.23391802385055985,0.9999999999999996,516.5362215833737
6,6.0,C12,0.3505207239978983,0.9999999999999992,376.2800260910388
6,6.0,C14,0.3505207222401943,0.9999999999999999,465.47785692517624
6,6.0,C23,0.3505207334155007,0.9999999999999998,522.4350900576727
6,6.0,C34,0.35052071761152165,0.9999999999999997,438.9748939285521
