level,delay_error_ns,snr_db,method,method_family,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,fallback_rate,mean_runtime_sec,trials
level1,0.0,20.0,D1_ordinary_LS,spectral_D1_D2_D3,0.0007314681950162338,0.0959759369022939,0.09645664446353307,-0.018173686726794726,0.019636623116827196,0.0,0.00012858484900789334,100
level1,0.0,20.0,D2_weighted_LS,spectral_D1_D2_D3,0.0011916628778823703,0.09563718927132384,0.09611152986522921,-0.017645850825607132,0.020029176581371873,0.0,0.00011412761959945783,100
level1,0.0,20.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,0.0011600994629622037,0.09880663838989508,0.09929756300806648,-0.018301865261878502,0.02062206418780291,0.0,0.0011801207406097092,100
level1,0.0,20.0,cross_correlation,traditional_baseline,0.002462862447458067,0.025770499458211936,0.025781775547749772,-0.0025902727056504316,0.007515997600566565,0.0,0.0005013341319863684,100
level1,0.0,20.0,gcc_phat,traditional_baseline,0.007606332733171227,0.07649896766629968,0.07650335541833769,-0.00738804939846968,0.022600714864812133,0.0,0.0006268194515723735,100
level1,0.0,30.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.00035362872094034175,0.032427096111076706,0.03258851983715273,-0.0067408612399691885,0.006033603798088504,0.0,0.00012505431048339232,100
level1,0.0,30.0,D2_weighted_LS,spectral_D1_D2_D3,-0.0003594677931492134,0.03241440671911963,0.032575701204236154,-0.0067441879062933065,0.00602525231999488,0.0,0.00011203580914298072,100
level1,0.0,30.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.0012969305059391317,0.033095171246619697,0.03323634877517229,-0.007811135163634094,0.005217274151755831,0.0,0.0010392444912577048,100
level1,0.0,30.0,cross_correlation,traditional_baseline,-0.000605086547247994,0.00816346559996311,0.00818202272243391,-0.0022087335329138767,0.0009985604384178887,0.0,0.00048420893144793806,100
level1,0.0,30.0,gcc_phat,traditional_baseline,-0.011200363763383155,0.08566986253187699,0.08536243110549864,-0.027931092823339047,0.005530365296572739,0.0,0.000608759798342362,100
level1,0.0,35.0,D1_ordinary_LS,spectral_D1_D2_D3,0.00016446097672204507,0.02007046301827583,0.020170897085841008,-0.003788962205689185,0.004117884159133276,0.0,0.0001247379695996642,100
level1,0.0,35.0,D2_weighted_LS,spectral_D1_D2_D3,0.0001394112819128188,0.02006608607361104,0.02016668857519577,-0.0038131870475690897,0.004092009611394727,0.0,0.0001110349694499746,100
level1,0.0,35.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,9.170844699288572e-05,0.02041813788771845,0.02052079370062646,-0.003930293211747542,0.004113710105733313,0.0,0.0010343450101208873,100
level1,0.0,35.0,cross_correlation,traditional_baseline,-0.000522802676297987,0.004852209547023119,0.00484826479944457,-0.0014730451157404535,0.00042743976314447963,0.0,0.0004799807880772278,100
level1,0.0,35.0,gcc_phat,traditional_baseline,0.0024447344743596233,0.07533405235463772,0.07567369288911395,-0.01238703678962119,0.017276505738340435,0.0,0.0006054729508468881,100
level1,1.0,20.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.0052043884523694265,0.12051648946912631,0.12101063721003481,-0.028922037520160503,0.018513260615421648,0.0,0.00012408633017912507,100
level1,1.0,20.0,D2_weighted_LS,spectral_D1_D2_D3,-0.005213954254776165,0.12091698525168927,0.12141311065022584,-0.029010486667318074,0.018582578157765744,0.0,0.00011028349952539429,100
level1,1.0,20.0,D3_Huber_weighted_LS,spectral_D1_D2_D3,-0.0005265888182291967,0.11951502333976789,0.12011595201052912,-0.024068882809167056,0.02301570517270866,0.0,0.0010205094394041226,100
level1,1.0,20.0,cross_correlation,traditional_baseline,-0.6199955227124463,0.620432260486532,0.023392601544476116,-0.6245803883656332,-0.6154106570592593,0.0,0.000483383490354754,100
level1,1.0,20.0,gcc_phat,traditional_baseline,-0.8877265344738815,0.8906081556825557,0.07194615662990159,-0.90182772205595,-0.873625346891813,0.0,0.0006116847903467715,100
level1,1.0,30.0,D1_ordinary_LS,spectral_D1_D2_D3,-0.0019392457667293883,0.0414096454203328,0.041572597565917004,-0.010087325164026873,0.006208833630568097,0.0,0.00012569895887281745,100
