scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,level,method,status,estimate_ns,truth_ns,error_ns,runtime_sec,fallback_reason,snr_db,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,outlier_rate,fallback_rate,fallback_count,finite_estimate_count,trials,mean_runtime_sec,random_seed_namespace,sampling_rate_hz,bandwidth_hz,pulse_samples
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,3.1823213380139537,4.0,-0.8176786619860463,0.00128477398538962,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,cross_correlation,ok,1.0524996471292734,4.0,-2.9475003528707266,1.468881896988023,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p4ns,base,101,4.0,6.7,30.0,level2,gcc_phat,ok,0.08480339096996876,4.0,-3.915196609030031,1.547140333976131,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,D1_ordinary_LS,ok,-0.2537879738733125,-4.0,3.7462120261266874,0.0016772129747550935,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,D2_weighted_LS,ok,-0.2945186557531431,-4.0,3.705481344246857,0.00018675299361348152,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,D3_Huber_weighted_LS,ok,-0.38910501145759807,-4.0,3.6108949885424018,0.0014059529930818826,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,cross_correlation,ok,-1.107789895955872,-4.0,2.892210104044128,1.7670920910022687,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_m4ns,base,101,-4.0,6.7,30.0,level2,gcc_phat,ok,-0.10892032825068193,-4.0,3.891079671749318,1.5613736870000139,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p8ns,base,101,8.0,6.7,30.0,level2,D1_ordinary_LS,ok,5.922807242942102,8.0,-2.0771927570578983,0.0006697700009681284,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p30__delay_p8ns,base,101,8.0,6.7,30.0,level2,D2_weighted_LS,ok,5.913071873700761,8.0,-2.086928126299239,0.00015811901539564133,,,,,,,,,,,,,,,,,
