scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,condition,role,metric,value,status,denominator,definition
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,target_detection_pd,1.0,passed,5,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,period_detection_pd,1.0,passed,5,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,track_pd_all_visible,0.8,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,track_pd_after_confirmation,1.0,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,track_continuity,0.8,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,track_continuity_after_confirmation,1.0,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,position_rmse_m,137.67333497012422,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,velocity_rmse_mps_ground_speed,6.91249193839888,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A0_Ideal,ON,angle_rmse_deg,0.08201203047567575,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,target_detection_pd,1.0,passed,5,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,period_detection_pd,1.0,passed,5,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,track_pd_all_visible,0.8,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,track_pd_after_confirmation,1.0,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,track_continuity,0.8,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,track_continuity_after_confirmation,1.0,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,position_rmse_m,137.67333497012422,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,velocity_rmse_mps_ground_speed,6.91249193839888,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A1_Current_unknown_error,ON,angle_rmse_deg,0.08201203047567575,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A2_Known_error_correction_upper_bound,ON,target_detection_pd,1.0,passed,5,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A2_Known_error_correction_upper_bound,ON,period_detection_pd,1.0,passed,5,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A2_Known_error_correction_upper_bound,ON,track_pd_all_visible,0.8,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A2_Known_error_correction_upper_bound,ON,track_pd_after_confirmation,1.0,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
base__seed_101__v_p6d7__snr_p30__delay_p0ns,base,101,0.0,6.7,30.0,A2_Known_error_correction_upper_bound,ON,track_continuity,0.8,passed,,one target detection opportunity per visible truth period; hit if any production detection record matches that period's target
