level,case_id,delay_ns,boundary_class,mode,transform_mode,zero_padding,channel_indices,fallback_reason,correction_location,fusion_definition,pulse_compression_model,finite,complex_nmse,amplitude_error_rms,phase_rms_rad,group_delay_residual_ns,edge_sample_loss,energy_ratio,coherence,sample_count,interior_sample_count,reason
C3,four_channel_partial_channel,-1.0,packet_boundary,zero_padded,zero_padded,96,2,none,before_fusion_partial_channel_2,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,0.0027975300614168663,0.02668097106046817,0.10396013332499042,-0.26935265634955724,0.25425903684602075,0.9999107019569883,0.9985331721528098,1536,1152,closed_or_boundary_residual_measured
C3,fused_domain_control,-1.0,packet_boundary,zero_padded,zero_padded,96,F2,none,after_fusion,"F1=(C1+C3)/2,F2=(C2+C4)/2",fused_domain_no_matched_filter,True,3.1373315798125374e-07,0.000284482354317417,0.0009178319870366214,0.000620876728840518,0.25425903684602075,0.9998359840363794,0.9999993121353739,1536,1152,closed_or_boundary_residual_measured
C0,tone,2.0,interior,circular,circular,0,none,none,single_signal,none,not_applicable,True,1.5494274659449608e-31,3.5821094699185227e-16,1.6437756125757668e-16,-0.6833269486361996,0.0,0.9999999999999998,0.9999999999999999,256,256,closed_or_boundary_residual_measured
C1,known_lfm,2.0,pulse_boundary,zero_padded,zero_padded,128,none,none,single_pulse,none,raw_lfm_no_matched_filter,True,1.1816992622619322e-07,0.00024307985534416151,0.00024306802054410443,-0.2804955787550518,0.25,0.9999121084793636,0.9999987935786485,512,384,closed_or_boundary_residual_measured
C2,multi_pulse_clutter,2.0,packet_boundary,zero_padded,zero_padded,96,none,none,per_pulse,none,not_applicable_target_free_clutter,True,5.108766542252385e-06,0.0015576260591508772,0.004393673457234054,0.002402007058223871,0.26991364524409284,0.9993270344211586,0.9999890521098175,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_protocol,2.0,packet_boundary,zero_padded,zero_padded,96,"2,4",none,before_fusion_channels_2_and_4,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,6.929897360853989e-06,0.0013269313868120533,0.005977721256356667,-0.007490517758022607,0.252954408224371,0.9992686743364212,0.9999854145875818,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_partial_channel,2.0,packet_boundary,zero_padded,zero_padded,96,2,none,before_fusion_partial_channel_2,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,0.011211880332313696,0.053582889027803435,0.1739390844467755,0.3829208471721202,0.252954408224371,0.9970857143751887,0.9944193076809293,1536,1152,closed_or_boundary_residual_measured
C3,fused_domain_control,2.0,packet_boundary,zero_padded,zero_padded,96,F2,none,after_fusion,"F1=(C1+C3)/2,F2=(C2+C4)/2",fused_domain_no_matched_filter,True,6.9298973608539025e-06,0.0013269313868120285,0.0059777212563565186,-0.00749051775802312,0.252954408224371,0.9992686743364212,0.9999854145875818,1536,1152,closed_or_boundary_residual_measured
C0,tone,-2.0,interior,circular,circular,0,none,none,single_signal,none,not_applicable,True,1.7130037536820207e-31,3.8119734299181173e-16,1.8375264115064057e-16,1.724350301340855,0.0,0.9999999999999998,0.9999999999999999,256,256,closed_or_boundary_residual_measured
C1,known_lfm,-2.0,pulse_boundary,zero_padded,zero_padded,128,none,none,single_pulse,none,raw_lfm_no_matched_filter,True,1.2324096619849168e-07,0.000249578351499547,0.00024688357979716003,-0.3073026391188663,0.25,0.9999121072817586,0.999998783732068,512,384,closed_or_boundary_residual_measured
C2,multi_pulse_clutter,-2.0,packet_boundary,zero_padded,zero_padded,96,none,none,per_pulse,none,not_applicable_target_free_clutter,True,2.4336464362544655e-05,0.0034725284459841883,0.011282012661184527,0.005290151034439517,0.24986277132899007,0.9984987489274744,0.9999639550307798,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_protocol,-2.0,packet_boundary,zero_padded,zero_padded,96,"2,4",none,before_fusion_channels_2_and_4,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,3.729604072823241e-06,0.0009784810186974553,0.003471620206568587,0.0004481648040746754,0.24796381938608397,0.9994559737146482,0.9999895900181224,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_partial_channel,-2.0,packet_boundary,zero_padded,zero_padded,96,2,none,before_fusion_partial_channel_2,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,0.012089657794096926,0.054085651103378755,0.19496280101379862,-0.4259901494540347,0.24796381938608397,1.0008250941731134,0.9939682295023791,1536,1152,closed_or_boundary_residual_measured
C3,fused_domain_control,-2.0,packet_boundary,zero_padded,zero_padded,96,F2,none,after_fusion,"F1=(C1+C3)/2,F2=(C2+C4)/2",fused_domain_no_matched_filter,True,3.7296040728232396e-06,0.0009784810186974516,0.0034716202065686627,0.00044816480407515577,0.24796381938608397,0.9994559737146482,0.9999895900181224,1536,1152,closed_or_boundary_residual_measured
C0,tone,4.0,interior,circular,circular,0,none,none,single_signal,none,not_applicable,True,1.8708119825363853e-31,3.7463601628409914e-16,2.3117929119469707e-16,0.73150012341701,0.0,0.9999999999999998,0.9999999999999999,256,256,closed_or_boundary_residual_measured
C1,known_lfm,4.0,pulse_boundary,zero_padded,zero_padded,128,none,none,single_pulse,none,raw_lfm_no_matched_filter,True,1.4420237255368958e-06,0.0008466992632912388,0.0008515415824910156,-1.1825932049932797,0.25,0.9996821679079738,0.9999823851487445,512,384,closed_or_boundary_residual_measured
C2,multi_pulse_clutter,4.0,packet_boundary,zero_padded,zero_padded,96,none,none,per_pulse,none,not_applicable_target_free_clutter,True,7.418021158091113e-05,0.0059483700868383305,0.014501251346390052,0.005730843352499614,0.23523211333839014,0.9983877480959716,0.9998792120393459,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_protocol,4.0,packet_boundary,zero_padded,zero_padded,96,"2,4",none,before_fusion_channels_2_and_4,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,4.30046551283317e-05,0.0032420544178024618,0.015922928235950738,0.010421063329410693,0.2373528286727191,0.9987866619467374,0.9999016629853882,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_partial_channel,4.0,packet_boundary,zero_padded,zero_padded,96,2,none,before_fusion_partial_channel_2,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,0.042622392589702955,0.09967468167183687,0.32638284577252585,0.9616945198671325,0.2373528286727191,1.0113799771655663,0.9783284429621858,1536,1152,closed_or_boundary_residual_measured
C3,fused_domain_control,4.0,packet_boundary,zero_padded,zero_padded,96,F2,none,after_fusion,"F1=(C1+C3)/2,F2=(C2+C4)/2",fused_domain_no_matched_filter,True,4.300465512833159e-05,0.0032420544178024544,0.015922928235950286,0.010421063329410589,0.2373528286727191,0.9987866619467374,0.9999016629853882,1536,1152,closed_or_boundary_residual_measured
C0,tone,-4.0,interior,circular,circular,0,none,none,single_signal,none,not_applicable,True,2.0249876027655007e-31,4.158128915237767e-16,2.0300785995341045e-16,0.05186656926410828,0.0,0.9999999999999998,0.9999999999999999,256,256,closed_or_boundary_residual_measured
C1,known_lfm,-4.0,pulse_boundary,zero_padded,zero_padded,128,none,none,single_pulse,none,raw_lfm_no_matched_filter,True,1.570175785562104e-06,0.0008931102797140816,0.0008789330740930375,-1.404100779665372,0.25,0.9996825225025425,0.9999821315071626,512,384,closed_or_boundary_residual_measured
C2,multi_pulse_clutter,-4.0,packet_boundary,zero_padded,zero_padded,96,none,none,per_pulse,none,not_applicable_target_free_clutter,True,8.010058207503288e-05,0.006468469915798545,0.016464499214558594,-0.010864632379964264,0.23974757176917372,0.9976353427973719,0.9998245434452184,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_protocol,-4.0,packet_boundary,zero_padded,zero_padded,96,"2,4",none,before_fusion_channels_2_and_4,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,3.752955385731117e-05,0.003113020260880692,0.010540048555198274,0.0032102918956644026,0.23791631401779023,0.9990763329542433,0.9999129651322066,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_partial_channel,-4.0,packet_boundary,zero_padded,zero_padded,96,2,none,before_fusion_partial_channel_2,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,0.04723298382536572,0.10740710275073802,0.39943704086698356,-1.0323450387266617,0.23791631401779023,1.0041015980433372,0.9765770312217142,1536,1152,closed_or_boundary_residual_measured
C3,fused_domain_control,-4.0,packet_boundary,zero_padded,zero_padded,96,F2,none,after_fusion,"F1=(C1+C3)/2,F2=(C2+C4)/2",fused_domain_no_matched_filter,True,3.75295538573112e-05,0.003113020260880694,0.010540048555198045,0.0032102918956641063,0.23791631401779023,0.9990763329542433,0.9999129651322065,1536,1152,closed_or_boundary_residual_measured
C0,tone,8.0,interior,circular,circular,0,none,none,single_signal,none,not_applicable,True,1.6113519231564867e-31,3.4708344532896065e-16,1.9934572688210377e-16,-0.1352513866822332,0.0,0.9999999999999998,0.9999999999999999,256,256,closed_or_boundary_residual_measured
C1,known_lfm,8.0,pulse_boundary,zero_padded,zero_padded,128,none,none,single_pulse,none,raw_lfm_no_matched_filter,True,7.620961178211947e-06,0.0019345203447210231,0.0019694124277818813,-13.98054455199586,0.25,0.9991047612000528,0.9998019713223593,512,384,closed_or_boundary_residual_measured
C2,multi_pulse_clutter,8.0,packet_boundary,zero_padded,zero_padded,96,none,none,per_pulse,none,not_applicable_target_free_clutter,True,0.0006784078817606062,0.019069361650917566,0.05582034438704579,0.0029516124093425587,0.22013338992160542,0.9943245706751237,0.9987445039839715,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_protocol,8.0,packet_boundary,zero_padded,zero_padded,96,"2,4",none,before_fusion_channels_2_and_4,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,0.0008287474990083574,0.015066861565359859,0.050405859380024544,-0.0020294593045630384,0.24072496044821481,0.9955348047503422,0.9987144117399704,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_partial_channel,8.0,packet_boundary,zero_padded,zero_padded,96,2,none,before_fusion_partial_channel_2,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,0.15306318215947215,0.18678804812877747,0.6296949967383744,-15.344061469730619,0.24072496044821481,0.9899327916360507,0.9189996167260625,1536,1152,closed_or_boundary_residual_measured
C3,fused_domain_control,8.0,packet_boundary,zero_padded,zero_padded,96,F2,none,after_fusion,"F1=(C1+C3)/2,F2=(C2+C4)/2",fused_domain_no_matched_filter,True,0.0008287474990083569,0.01506686156535985,0.050405859380024606,-0.002029459304563071,0.24072496044821481,0.9955348047503423,0.9987144117399703,1536,1152,closed_or_boundary_residual_measured
C0,tone,-8.0,interior,circular,circular,0,none,none,single_signal,none,not_applicable,True,1.5655350554277534e-31,3.4631963167963075e-16,1.8830448965709886e-16,-0.17242754097494636,0.0,0.9999999999999998,1.0,256,256,closed_or_boundary_residual_measured
C1,known_lfm,-8.0,pulse_boundary,zero_padded,zero_padded,128,none,none,single_pulse,none,raw_lfm_no_matched_filter,True,9.101236988046307e-06,0.0021606937281421334,0.0021053510792649745,-9.363861451919908,0.25,0.9991103533602741,0.9997987597771999,512,384,closed_or_boundary_residual_measured
C2,multi_pulse_clutter,-8.0,packet_boundary,zero_padded,zero_padded,96,none,none,per_pulse,none,not_applicable_target_free_clutter,True,0.0005118468280575391,0.01593710525612313,0.04777610596014001,-0.05253342468411794,0.2488111259138897,0.9952813241342522,0.9988911337208001,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_protocol,-8.0,packet_boundary,zero_padded,zero_padded,96,"2,4",none,before_fusion_channels_2_and_4,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,0.000713930196339494,0.01276231510271134,0.04470930581182607,0.007912686310327289,0.25434834698570324,0.9955929978857964,0.9986764558237038,1536,1152,closed_or_boundary_residual_measured
C3,four_channel_partial_channel,-8.0,packet_boundary,zero_padded,zero_padded,96,2,none,before_fusion_partial_channel_2,"F1=(C1+C3)/2,F2=(C2+C4)/2",raw_protocol_iq_no_matched_filter,True,0.17794196308442306,0.18702406845250363,0.5689066146166223,-2.0288053995018305,0.25434834698570324,1.003757960830311,0.9120762411688972,1536,1152,closed_or_boundary_residual_measured
C3,fused_domain_control,-8.0,packet_boundary,zero_padded,zero_padded,96,F2,none,after_fusion,"F1=(C1+C3)/2,F2=(C2+C4)/2",fused_domain_no_matched_filter,True,0.0007139301963394939,0.012762315102711348,0.04470930581182595,0.007912686310327805,0.25434834698570324,0.9955929978857965,0.9986764558237038,1536,1152,closed_or_boundary_residual_measured
