case_id,scene,condition,case_value_deg,yaw_true_deg,yaw_reported_deg,yaw_true_minus_reported_deg,servo_true_minus_reported_deg,pitch_deg,roll_deg,seed,texture,range_center_m,branch,status,decision,estimate_deg,applied_correction_deg,correction_source,known_yaw_error_used,target_truth_used,input_role,input_paths,causal_data_sources
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,low_texture,7500.0,A0_Current,CURRENT,KEEP_CURRENT,,0.0,reported_geometry_current,False,False,reported_geometry_current,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin'],reported geometry
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,low_texture,7500.0,AK_Known_Correction,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_yaw_or_servo_error_evaluation_only,True,False,evaluation_only_known_attitude_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin'],known attitude error
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,low_texture,7500.0,A1_Blind_Deterministic,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,0.0,fallback_current,False,False,OFF_C_PLUS_N_TARGET_FREE_ONLY,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_001/off/data/stage2_statistical_newprotocol_period_0000.bin'],"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']"
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,low_texture,10000.0,A0_Current,CURRENT,KEEP_CURRENT,,0.0,reported_geometry_current,False,False,reported_geometry_current,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin'],reported geometry
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,low_texture,10000.0,AK_Known_Correction,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_yaw_or_servo_error_evaluation_only,True,False,evaluation_only_known_attitude_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin'],known attitude error
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,low_texture,10000.0,A1_Blind_Deterministic,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,0.0,fallback_current,False,False,OFF_C_PLUS_N_TARGET_FREE_ONLY,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_002/off/data/stage2_statistical_newprotocol_period_0000.bin'],"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']"
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,high_texture,7500.0,A0_Current,CURRENT,KEEP_CURRENT,,0.0,reported_geometry_current,False,False,reported_geometry_current,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_003/off/data/stage2_statistical_newprotocol_period_0000.bin'],reported geometry
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,high_texture,7500.0,AK_Known_Correction,KNOWN_EVALUATION,NO_CORRECTION_NEEDED,0.0,0.0,known_yaw_or_servo_error_evaluation_only,True,False,evaluation_only_known_attitude_error,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_003/off/data/stage2_statistical_newprotocol_period_0000.bin'],known attitude error
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,high_texture,7500.0,A1_Blind_Deterministic,FALLBACK_MODEL_MISMATCH,KEEP_CURRENT,,0.0,fallback_current,False,False,OFF_C_PLUS_N_TARGET_FREE_ONLY,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_003/off/data/stage2_statistical_newprotocol_period_0000.bin'],"['six_pair_clutter_phase', 'doppler_ridge_displacement', 'p38_phase_slope', 'multi_beam_power_secondary', 'reported_angle_geometry_platform']"
yaw_target_free_baseline_p0p000deg_seed_101,target_free,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,high_texture,10000.0,A0_Current,CURRENT,KEEP_CURRENT,,0.0,reported_geometry_current,False,False,reported_geometry_current,['/home/shy/AIR/SAR+AI/project/PGRCC/.worktrees/unknown-system-error-next-stage/outputs/yaw_error_formal_compact_20260915/cases/case_004/off/data/stage2_statistical_newprotocol_period_0000.bin'],reported geometry
