branch,expected_periods,truth_visible_periods,detection_snapshot_periods,raw_detection_count,raw_detection_pd,raw_empirical_false_hit_fraction,eligible_protocol_payload_count,matched_protocol_payload_count,matched_protocol_period_count,matched_protocol_periods,false_track_count,false_track_rate,track_pd_all_visible,track_pd_after_confirmation,track_continuity,track_continuity_after_confirmation,track_id_switch_count,angle_rmse_deg,velocity_rmse_mps_ground_speed,position_rmse_m,track_debug_payload_count,track_debug_detection_rows,track_debug_state_rows,track_audit_status,track_audit_total_violations,protocol_target_failures,seed,case_status
Current,3,3,3,109,1.0,0.9724770642201835,34,4,2,"[1, 2]",30,0.8823529411764706,0.6666666666666666,1.0,0.6666666666666666,1.0,0,0.014965200611398135,9.57670192420009,23.519811694730194,34,109,172,pass,0,{},101,completed
blind_calibrated,3,3,3,109,1.0,0.9724770642201835,34,4,2,"[1, 2]",30,0.8823529411764706,0.6666666666666666,1.0,0.6666666666666666,1.0,0,0.014965200611398135,9.57670192420009,23.519811694730194,34,109,172,pass,0,{},101,completed
known_error_calibrated,3,3,3,109,1.0,0.9724770642201835,34,4,2,"[1, 2]",30,0.8823529411764706,0.6666666666666666,1.0,0.6666666666666666,1.0,0,0.014965200611398135,9.57670192420009,23.519811694730194,34,109,172,pass,0,{},101,completed
Current,3,3,3,97,1.0,0.9690721649484536,30,5,2,"[1, 2]",25,0.8333333333333334,0.6666666666666666,1.0,0.6666666666666666,1.0,1,0.026288180389502605,4.4263984314503535,40.358374824931765,30,97,148,pass,0,{},202,completed
blind_calibrated,3,3,3,97,1.0,0.9690721649484536,30,5,2,"[1, 2]",25,0.8333333333333334,0.6666666666666666,1.0,0.6666666666666666,1.0,1,0.026288180389502605,4.4263984314503535,40.358374824931765,30,97,148,pass,0,{},202,completed
known_error_calibrated,3,3,3,97,1.0,0.9690721649484536,30,5,2,"[1, 2]",25,0.8333333333333334,0.6666666666666666,1.0,0.6666666666666666,1.0,1,0.026288180389502605,4.4263984314503535,40.358374824931765,30,97,148,pass,0,{},202,completed
Current,3,3,3,113,1.0,0.9734513274336283,34,4,2,"[1, 2]",30,0.8823529411764706,0.6666666666666666,1.0,0.6666666666666666,1.0,0,0.020495385995551167,3.5218117696914732,31.884524784382073,34,113,175,pass,0,{},303,completed
blind_calibrated,3,3,3,113,1.0,0.9734513274336283,34,4,2,"[1, 2]",30,0.8823529411764706,0.6666666666666666,1.0,0.6666666666666666,1.0,0,0.020495385995551167,3.5218117696914732,31.884524784382073,34,113,175,pass,0,{},303,completed
known_error_calibrated,3,3,3,113,1.0,0.9734513274336283,34,4,2,"[1, 2]",30,0.8823529411764706,0.6666666666666666,1.0,0.6666666666666666,1.0,0,0.020495385995551167,3.5218117696914732,31.884524784382073,34,113,175,pass,0,{},303,completed
