family,level,value,seed_count,all_status_pass,baseline_regression_rate,failure_type,failure_flag,Pd_mean,Pd_std_population,Pd_min,Pd_max,visible_target_count_mean,visible_target_count_std_population,visible_target_count_min,visible_target_count_max,detection_count_mean,detection_count_std_population,detection_count_min,detection_count_max,matched_target_count_mean,matched_target_count_std_population,matched_target_count_min,matched_target_count_max,false_alarm_count_mean,false_alarm_count_std_population,false_alarm_count_min,false_alarm_count_max,target_loss_mean,target_loss_std_population,target_loss_min,target_loss_max,Pfa_mean,Pfa_std_population,Pfa_min,Pfa_max,p38_inlier_ratio_mean,p38_inlier_ratio_std_population,p38_inlier_ratio_min,p38_inlier_ratio_max,cfar_margin_mean,cfar_margin_std_population,cfar_margin_min,cfar_margin_max,rho_median_mean,rho_median_std_population,rho_median_min,rho_median_max,coherence_gate_pass_fraction_mean,coherence_gate_pass_fraction_std_population,coherence_gate_pass_fraction_min,coherence_gate_pass_fraction_max,coherence_gate_bypass_fraction_mean,coherence_gate_bypass_fraction_std_population,coherence_gate_bypass_fraction_min,coherence_gate_bypass_fraction_max,phase_rmse_rad_mean,phase_rmse_rad_std_population,phase_rmse_rad_min,phase_rmse_rad_max,csi_coherence_mean,csi_coherence_std_population,csi_coherence_min,csi_coherence_max,csi_rmse_rad_mean,csi_rmse_rad_std_population,csi_rmse_rad_min,csi_rmse_rad_max,csi_cancellation_db_mean,csi_cancellation_db_std_population,csi_cancellation_db_min,csi_cancellation_db_max,cfar_selected_mean,cfar_selected_std_population,cfar_selected_min,cfar_selected_max
M1_fractional_channel_delay,moderate,4.166666666666667,3,True,0.0,Type_I_calibration_model_failure,candidate_failure_boundary,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,46.333333333333336,4.4969125210773475,41.0,52.0,1.0,0.0,1.0,1.0,45.333333333333336,4.4969125210773475,40.0,51.0,-18.487026572898813,0.13987541453139346,-18.67924879424497,-18.350472161160468,0.00451684233234714,0.00031373730785444373,0.004274146326429981,0.004959858851084813,1.0,0.0,1.0,1.0,2.167775256188809,0.3288604567206588,1.865469516090668,2.625003655510585,0.9693589904418608,0.0007525580182078008,0.9685404814144993,0.9703573524035076,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.30077122352730995,0.016305401209996802,0.2795372419338727,0.31917523443416207,0.9965692782359756,0.00026210857735031647,0.996322840897799,0.996932294399307,0.08907073983975787,0.0045666578914328754,0.0826566676336514,0.0929306961119119,21.643916011016334,0.34370885659390743,21.325964853279,22.1213000745737,46.333333333333336,4.4969125210773475,41.0,52.0
M1_fractional_channel_delay,strong,8.333333333333334,3,True,0.0,Type_I_calibration_model_failure,candidate_failure_boundary,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,25.333333333333332,3.39934634239519,22.0,30.0,1.0,0.0,1.0,1.0,24.333333333333332,3.39934634239519,21.0,29.0,-9.623004699197494,0.06313130827378882,-9.69660022435175,-9.542433461381448,0.003889556623931624,0.0001811021787678687,0.003715560281065089,0.004139315212031558,1.0,0.0,1.0,1.0,0.2821192753209951,0.09802670496357473,0.1675112188161486,0.4069703047441589,0.867366388454875,0.00028571194926321113,0.8669654364224335,0.867610166638345,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7650034517922709,0.011732084487957964,0.7509746831990123,0.7796897294970803,0.9758546116131126,0.0019760850615769465,0.973068868264005,0.977440080667083,0.24889338255597768,0.00707213681591637,0.241208050593399,0.258279011028867,13.172032889759334,0.34480605594997465,12.6867662322749,13.4561876308099,25.333333333333332,3.39934634239519,22.0,30.0
M1_fractional_channel_delay,weak,2.083333333333333,3,True,0.0,Type_I_calibration_model_failure,candidate_failure_boundary,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,57.666666666666664,2.3570226039551585,56.0,61.0,1.0,0.0,1.0,1.0,56.666666666666664,2.3570226039551585,55.0,60.0,-24.751547770605256,0.19705470751968365,-25.02798972756998,-24.582819088904895,0.004570132725180802,0.0001652859232177031,0.004449426775147929,0.004803839990138067,1.0,0.0,1.0,1.0,3.218561715291759,0.344708770413991,2.920973871883512,3.701746592603551,0.9840888542053171,0.0007201451835785646,0.9830759926144435,0.9846874651311871,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2166205211973249,0.009694313974051223,0.2038149208365391,0.22726384430432828,0.9979975686589536,0.00013921844086598544,0.997811633139689,0.998146604666486,0.06612540177771316,0.002411497761298074,0.0630184993336038,0.0688967816024408,23.97521793527133,0.30438693611652695,23.5731573793119,24.3094307658764,57.666666666666664,2.3570226039551585,56.0,61.0
M1_fractional_channel_delay,zero,0.0,3,True,1.0,none,baseline_regression,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,63.666666666666664,3.681787005729087,59.0,68.0,1.0,0.0,1.0,1.0,62.666666666666664,3.681787005729087,58.0,67.0,-36.23066427313813,0.6491920826202574,-36.995054750167775,-35.40806474402768,0.004584257889546351,0.00019522421359853144,0.004430165187376726,0.004859698594674556,1.0,0.0,1.0,1.0,3.7503366807301597,0.23868358812379276,3.5552607361109962,4.086440817305922,0.9875878909783133,0.00033050318525163527,0.9872804299038348,0.9880464973902173,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18909048413870855,0.007681969245841184,0.17848316710917927,0.196427021478531,0.9983603883412181,0.00014672099156460644,0.998166553220252,0.998521427142009,0.05954652549016167,0.0027727217162275245,0.0560718574794563,0.062857705178863,24.849462959929966,0.3909160756802778,24.3406945043149,25.2911679320938,63.666666666666664,3.681787005729087,59.0,68.0
M2_pulse_varying_differential_phase,moderate,0.2,3,True,0.0,Type_I_calibration_model_failure,candidate_failure_boundary,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,57.333333333333336,1.699673171197595,55.0,59.0,1.0,0.0,1.0,1.0,56.333333333333336,1.699673171197595,54.0,58.0,-30.365075562507403,1.1456122785387117,-31.3749170207959,-28.76297371296903,0.00453481981426693,0.0001523357670507791,0.004416682075936883,0.004749907544378699,1.0,0.0,1.0,1.0,3.5919454657411727,0.2742053522044327,3.2444944033795022,3.9148057756094268,0.9861569189186724,0.0005791166182677071,0.9857197756671003,0.9869752766892922,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.20338971067455905,0.008423032772867803,0.19151696934525914,0.21016258097152088,0.9980491058436617,0.0001655880170875055,0.997834437380234,0.998237478185001,0.06539988739543211,0.0030458110605281743,0.0615333715597975,0.0689772222561702,24.04322262544117,0.3809072179804045,23.5695468311076,24.5022291397914,57.333333333333336,1.699673171197595,55.0,59.0
M2_pulse_varying_differential_phase,strong,0.5,3,True,0.0,Type_I_calibration_model_failure,candidate_failure_boundary,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,44.0,1.4142135623730951,42.0,45.0,1.0,0.0,1.0,1.0,43.0,1.4142135623730951,41.0,44.0,-23.55358000232667,1.380415338110347,-24.718072080892874,-21.614393136127052,0.004030166214661407,0.0001620748127175731,0.00384461291913215,0.004239475468441814,1.0,0.0,1.0,1.0,2.2398732714592136,0.06072619792370463,2.1635977757962235,2.3121876669090358,0.972735149862349,0.0011882877965286311,0.9710547110194537,0.9735870227182543,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2843462356989998,0.00395191308183829,0.27890451323951504,0.2881703503062857,0.996250905156709,0.0001598833577105726,0.996056030993494,0.996447650231412,0.09327315337205146,0.0021232045338164243,0.0904247580078701,0.0955201384663031,21.13306145917387,0.2039907496968604,20.9192022401485,21.4076708670262,44.0,1.4142135623730951,42.0,45.0
M2_pulse_varying_differential_phase,weak,0.05,3,True,0.0,Type_I_calibration_model_failure,candidate_failure_boundary,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,60.333333333333336,4.189935029992178,56.0,66.0,1.0,0.0,1.0,1.0,59.333333333333336,4.189935029992178,55.0,65.0,-35.369194418562316,0.6861233930154351,-36.12454945912825,-34.46404458840588,0.004586184048323471,0.00016741707016941604,0.004443648298816568,0.00482117541913215,1.0,0.0,1.0,1.0,3.6150378806611614,0.15299924302643514,3.4582427494859216,3.8225656815920104,0.987950758433627,0.0005611917893982898,0.9871571186084585,0.9883500698642108,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18958805704197548,0.00805466457710745,0.17829713144928536,0.1965383882683991,0.9983476902073273,0.000152804470128758,0.998146283040561,0.99851621837341,0.05979788650759127,0.0029428459995605853,0.0561137442240593,0.0633165123283682,24.80835932109157,0.4073039009187978,24.2823529966846,25.2746669632467,60.333333333333336,4.189935029992178,56.0,66.0
M2_pulse_varying_differential_phase,zero,0.0,3,True,1.0,none,baseline_regression,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,63.666666666666664,3.681787005729087,59.0,68.0,1.0,0.0,1.0,1.0,62.666666666666664,3.681787005729087,58.0,67.0,-36.23066427313813,0.6491920826202574,-36.995054750167775,-35.40806474402768,0.004584257889546351,0.00019522421359853144,0.004430165187376726,0.004859698594674556,1.0,0.0,1.0,1.0,3.7503366807301597,0.23868358812379276,3.5552607361109962,4.086440817305922,0.9875878909783133,0.00033050318525163527,0.9872804299038348,0.9880464973902173,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18909048413870855,0.007681969245841184,0.17848316710917927,0.196427021478531,0.9983603883412181,0.00014672099156460644,0.998166553220252,0.998521427142009,0.05954652549016167,0.0027727217162275245,0.0560718574794563,0.062857705178863,24.849462959929966,0.3909160756802778,24.3406945043149,25.2911679320938,63.666666666666664,3.681787005729087,59.0,68.0
M3_internal_clutter_motion,moderate_motion,0.95,3,True,0.0,Type_II_decorrelation_failure,candidate_failure_boundary,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.666666666666667,1.247219128924647,3.0,6.0,0.0,0.0,0.0,0.0,4.666666666666667,1.247219128924647,3.0,6.0,-37.229156980030254,1.9992355092966985,-39.05918576781157,-34.447686074626944,0.0038253513313609468,8.580959887423356e-05,0.003704003328402367,0.0038869884122287967,0.9829059829059826,0.012087295404898389,0.974358974358974,1.0,10.67011293960286,1.0634236797814005,9.263249597191457,11.8338233697297,0.948709255374656,0.0014627671736040725,0.9469572418858522,0.9505378209138562,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.46734748328140685,0.0006104836553112494,0.4666294815279671,0.46812168357003187,0.967286023923212,0.0014088967422682475,0.965663106683647,0.969098526883023,0.262700597537125,0.005752849426260517,0.255203028341459,0.269184844965813,11.842156044943167,0.18758906444909046,11.6263422238326,12.0836772571827,4.666666666666667,1.247219128924647,3.0,6.0
M3_internal_clutter_motion,static_regression,1.0,3,True,1.0,none,baseline_regression,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,63.666666666666664,3.681787005729087,59.0,68.0,1.0,0.0,1.0,1.0,62.666666666666664,3.681787005729087,58.0,67.0,-36.23066427313813,0.6491920826202574,-36.995054750167775,-35.40806474402768,0.004584257889546351,0.00019522421359853144,0.004430165187376726,0.004859698594674556,1.0,0.0,1.0,1.0,3.7503366807301597,0.23868358812379276,3.5552607361109962,4.086440817305922,0.9875878909783133,0.00033050318525163527,0.9872804299038348,0.9880464973902173,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18909048413870855,0.007681969245841184,0.17848316710917927,0.196427021478531,0.9983603883412181,0.00014672099156460644,0.998166553220252,0.998521427142009,0.05954652549016167,0.0027727217162275245,0.0560718574794563,0.062857705178863,24.849462959929966,0.3909160756802778,24.3406945043149,25.2911679320938,63.666666666666664,3.681787005729087,59.0,68.0
