seed,family,level,value,status,same_as_zero_baseline,source_root,Pd,visible_target_count,detection_count,matched_target_count,false_alarm_count,target_loss,Pfa,p38_inlier_ratio,cfar_margin,rho_median,coherence_gate_pass_fraction,coherence_gate_bypass_fraction,phase_rmse_rad,csi_coherence,csi_rmse_rad,csi_cancellation_db,cfar_selected
2026091012,M1_fractional_channel_delay,moderate,4.166666666666667,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,1.0,1.0,46.0,1.0,45.0,-18.431358763291005,0.004274146326429981,1.0,2.0128525969651734,0.9703573524035076,1.0,0.0,0.30360119421389514,0.996322840897799,0.0916248557737103,21.325964853279,46.0
2026091012,M1_fractional_channel_delay,strong,8.333333333333334,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,1.0,1.0,24.0,1.0,23.0,-9.629980411859286,0.003813794378698225,1.0,0.27187630240267785,0.8669654364224335,1.0,0.0,0.7643459426807205,0.973068868264005,0.258279011028867,12.6867662322749,24.0
2026091012,M2_pulse_varying_differential_phase,zero,0.0,pass,True,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,1.0,1.0,68.0,1.0,67.0,-36.995054750167775,0.004462909886587771,1.0,3.6093084887735607,0.9880464973902173,1.0,0.0,0.19236126382841534,0.998166553220252,0.062857705178863,24.3406945043149,68.0
2026091012,M2_pulse_varying_differential_phase,weak,0.05,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,1.0,1.0,66.0,1.0,65.0,-36.12454945912825,0.0044937284270216964,1.0,3.5643052109055517,0.9871571186084585,1.0,0.0,0.193928651408242,0.998146283040561,0.0633165123283682,24.2823529966846,66.0
2026091012,M2_pulse_varying_differential_phase,moderate,0.2,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,1.0,1.0,59.0,1.0,58.0,-31.3749170207959,0.004437869822485207,1.0,3.2444944033795022,0.9857757043996248,1.0,0.0,0.20848958170689713,0.997834437380234,0.0689772222561702,23.5695468311076,59.0
2026091012,M2_pulse_varying_differential_phase,strong,0.5,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,1.0,1.0,45.0,1.0,44.0,-24.718072080892874,0.00384461291913215,1.0,2.3121876669090358,0.9735637158493393,1.0,0.0,0.28596384355119875,0.996056030993494,0.0955201384663031,20.9192022401485,45.0
2026091012,M3_internal_clutter_motion,static_regression,1.0,pass,True,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,1.0,1.0,68.0,1.0,67.0,-36.995054750167775,0.004462909886587771,1.0,3.6093084887735607,0.9880464973902173,1.0,0.0,0.19236126382841534,0.998166553220252,0.062857705178863,24.3406945043149,68.0
2026091012,M3_internal_clutter_motion,weak_motion,0.99,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,1.0,1.0,2.0,1.0,1.0,-38.26832656424305,0.003950551651873767,1.0,10.84556167134633,0.9785550865514165,1.0,0.0,0.33722349220926057,0.990635552894371,0.14130239988029,17.2678298932299,2.0
2026091012,M3_internal_clutter_motion,moderate_motion,0.95,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,0.0,1.0,6.0,0.0,6.0,-39.05918576781157,0.003704003328402367,1.0,9.263249597191457,0.9486327033242595,1.0,0.0,0.4672912847462215,0.965663106683647,0.269184844965813,11.6263422238326,6.0
2026091012,M3_internal_clutter_motion,strong_motion,0.8,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012,0.0,1.0,6.0,0.0,6.0,-38.22343959570917,0.004316521819526627,1.0,7.743329385018481,0.8954343777707847,1.0,0.0,0.5947485469123093,0.92534842579105,0.4027264023631,8.25927858114082,6.0
2026091013,M1_fractional_channel_delay,zero,0.0,pass,True,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,1.0,1.0,59.0,1.0,58.0,-36.28887332521893,0.004430165187376726,1.0,3.5552607361109962,0.9874367456408878,1.0,0.0,0.196427021478531,0.998393184661393,0.0597100138121657,24.9165264433812,59.0
2026091013,M1_fractional_channel_delay,weak,2.083333333333333,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,1.0,1.0,56.0,1.0,55.0,-24.582819088904895,0.004449426775147929,1.0,2.920973871883512,0.984503104870321,1.0,0.0,0.22726384430432828,0.998034468170686,0.0664609243970949,24.0430656606257,56.0
2026091013,M1_fractional_channel_delay,moderate,4.166666666666667,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,1.0,1.0,41.0,1.0,40.0,-18.350472161160468,0.004316521819526627,1.0,1.865469516090668,0.9691791375075754,1.0,0.0,0.31917523443416207,0.996452699410821,0.0929306961119119,21.4844831051963,41.0
2026091013,M1_fractional_channel_delay,strong,8.333333333333334,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,1.0,1.0,22.0,1.0,21.0,-9.542433461381448,0.003715560281065089,1.0,0.1675112188161486,0.8675235623038463,1.0,0.0,0.7796897294970803,0.977440080667083,0.247193086045667,13.4561876308099,22.0
2026091013,M2_pulse_varying_differential_phase,zero,0.0,pass,True,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,1.0,1.0,59.0,1.0,58.0,-36.28887332521893,0.004430165187376726,1.0,3.5552607361109962,0.9874367456408878,1.0,0.0,0.196427021478531,0.998393184661393,0.0597100138121657,24.9165264433812,59.0
2026091013,M2_pulse_varying_differential_phase,weak,0.05,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,1.0,1.0,56.0,1.0,55.0,-35.51898920815282,0.004443648298816568,1.0,3.4582427494859216,0.9883450868282116,1.0,0.0,0.1965383882683991,0.998380569208011,0.0599634029703463,24.8680580033434,56.0
2026091013,M2_pulse_varying_differential_phase,moderate,0.2,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,1.0,1.0,58.0,1.0,57.0,-30.957335953757283,0.004416682075936883,1.0,3.9148057756094268,0.9857197756671003,1.0,0.0,0.21016258097152088,0.99807540196575,0.0656890683703286,24.0578919054245,58.0
2026091013,M2_pulse_varying_differential_phase,strong,0.5,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,1.0,1.0,42.0,1.0,41.0,-24.328274789960084,0.004006410256410256,1.0,2.1635977757962235,0.9710547110194537,1.0,0.0,0.2881703503062857,0.996249034245221,0.0938745636419812,21.0723112703469,42.0
2026091013,M3_internal_clutter_motion,static_regression,1.0,pass,True,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,1.0,1.0,59.0,1.0,58.0,-36.28887332521893,0.004430165187376726,1.0,3.5552607361109962,0.9874367456408878,1.0,0.0,0.196427021478531,0.998393184661393,0.0597100138121657,24.9165264433812,59.0
2026091013,M3_internal_clutter_motion,weak_motion,0.99,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,0.0,1.0,6.0,0.0,6.0,-37.57712758799238,0.004052638067061144,0.974358974358974,7.582107489412567,0.9794673957803856,1.0,0.0,0.35770561525135136,0.991291044176666,0.137884100821877,17.5378020773797,6.0
2026091013,M3_internal_clutter_motion,moderate_motion,0.95,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,0.0,1.0,5.0,0.0,5.0,-34.447686074626944,0.0038869884122287967,0.9743589743589741,10.913265851887424,0.9505378209138562,1.0,0.0,0.4666294815279671,0.969098526883023,0.255203028341459,12.0836772571827,5.0
2026091013,M3_internal_clutter_motion,strong_motion,0.8,pass,False,/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091013,0.0,1.0,8.0,0.0,8.0,-30.551876429939906,0.0045187684911242604,1.0,7.725248799579844,0.8936882102626135,1.0,0.0,0.5905118807643703,0.931393200839012,0.384584620508983,8.62597108276007,8.0
